full_id,osm_id,osm_type,landuse,name,place,place_se,type,admin_leve,boundary,wikidata,wikipedia,official_n,operator,alt_name,wood,designatio,constructi,leaf_cycle,leaf_type,leisure,info,info1,block area,block name,left,top,right,bottom,id,fishnet-area,fishnet-ID
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,862863.0750757124042138,-3668328.7063381741754711,863063.0750757124042138,-3668528.7063381741754711,"1156",40000.0344911908,"1156"
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,862863.0750757124042138,-3668528.7063381741754711,863063.0750757124042138,-3668728.7063381741754711,"1157",39999.9506332933,"1157"
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,863263.0750757124042138,-3668328.7063381741754711,863463.0750757124042138,-3668528.7063381741754711,"1232",40000.0005174131,"1232"
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,863263.0750757124042138,-3668528.7063381741754711,863463.0750757124042138,-3668728.7063381741754711,"1233",39999.9710158589,"1233"
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,863063.0750757124042138,-3668328.7063381741754711,863263.0750757124042138,-3668528.7063381741754711,"1194",39999.9716334538,"1194"
r1952414,"1952414",relation,residential,Fiolen,city_block,kvarter,multipolygon,,,,,,,,,,,,,,,,"62284",Fiolen,863063.0750757124042138,-3668528.7063381741754711,863263.0750757124042138,-3668728.7063381741754711,"1195",40000.049830521,"1195"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857263.0750757124042138,-3668528.7063381741754711,857463.0750757124042138,-3668728.7063381741754711,"93",39999.9821977527,"93"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857263.0750757124042138,-3667928.7063381741754711,857463.0750757124042138,-3668128.7063381741754711,"90",39999.9614513867,"90"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857263.0750757124042138,-3668128.7063381741754711,857463.0750757124042138,-3668328.7063381741754711,"91",40000.0416545592,"91"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857263.0750757124042138,-3667728.7063381741754711,857463.0750757124042138,-3667928.7063381741754711,"89",39999.9800915501,"89"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3669128.7063381741754711,858063.0750757124042138,-3669328.7063381741754711,"210",39999.9967572342,"210"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3669328.7063381741754711,858063.0750757124042138,-3669528.7063381741754711,"211",39999.9869254479,"211"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3668728.7063381741754711,858063.0750757124042138,-3668928.7063381741754711,"208",40000.0718281466,"208"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3668928.7063381741754711,858063.0750757124042138,-3669128.7063381741754711,"209",39999.9764849486,"209"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3668328.7063381741754711,858063.0750757124042138,-3668528.7063381741754711,"206",39999.977323959,"206"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3668528.7063381741754711,858063.0750757124042138,-3668728.7063381741754711,"207",39999.9545307402,"207"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3667928.7063381741754711,858063.0750757124042138,-3668128.7063381741754711,"204",39999.9695117292,"204"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3668128.7063381741754711,858063.0750757124042138,-3668328.7063381741754711,"205",40000.0726509846,"205"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,857863.0750757124042138,-3667728.7063381741754711,858063.0750757124042138,-3667928.7063381741754711,"203",39999.9931620303,"203"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,858463.0750757124042138,-3668728.7063381741754711,858663.0750757124042138,-3668928.7063381741754711,"322",40000.0058164793,"322"
r2473132,"2473132",relation,,Gunnesbo,neighbourhood,,boundary,"10",administrative,Q10510893,sv:Gunnesbo,,,,,,,,,,,,"1937600",Gunnesbo,858463.0750757124042138,-3668928.7063381741754711,858663.0750757124042138,-3669128.7063381741754711,"323",39999.9653461467,"323"
