52,yes,1
54,yes,2
55,yes,6
56,yes,2
57,yes,1
89,yes,30
90,yes,40
91,yes,22
92,yes,4
93,yes,8
94,yes,10
95,yes,2
96,yes,1
97,yes,7
98,yes,7
99,yes,1
102,yes,2
103,yes,8
104,yes,36
126,yes,6
127,yes,86
128,yes,80
129,yes,84
130,yes,91
130,garages,4
131,yes,14
131,garages,2
132,yes,13
133,yes,9
134,yes,7
134,roof,1
135,yes,16
135,roof,2
136,yes,8
137,yes,3
140,yes,2
141,yes,18
142,yes,23
163,yes,3
164,yes,12
165,yes,79
166,yes,76
167,yes,17
168,yes,58
168,garages,5
169,yes,111
170,yes,17
171,yes,10
172,yes,5
173,yes,5
173,roof,2
173,construction,1
173,no,1
174,yes,4
174,no,1
175,yes,3
177,yes,1
178,yes,15
178,garages,14
179,yes,39
179,garages,8
179,residential,8
179,construction,6
180,yes,34
201,yes,7
202,yes,14
203,yes,39
204,yes,38
205,yes,9
205,school,3
206,yes,116
206,garages,3
207,yes,80
208,yes,37
209,yes,14
210,yes,11
210,roof,1
211,yes,3
212,yes,4
215,yes,57
215,garages,1
216,yes,65
216,garages,5
216,garage,2
217,yes,50
217,residential,22
217,construction,4
217,garage,3
218,yes,23
239,yes,52
239,garage,5
240,yes,61
241,yes,115
242,yes,84
243,yes,14
243,school,4
244,yes,98
244,school,4
245,yes,87
246,yes,11
247,yes,4
248,yes,6
249,yes,3
250,yes,6
251,yes,3
252,yes,6
252,garages,1
253,yes,24
253,garages,5
254,yes,82
255,yes,43
256,yes,32
276,yes,3
277,yes,50
277,garage,7
278,yes,30
278,garage,3
279,yes,40
280,yes,86
281,yes,34
282,yes,14
282,school,1
283,yes,25
284,yes,26
285,yes,7
286,yes,5
287,yes,3
287,sports_hall,1
288,yes,14
289,yes,12
290,yes,7
290,ruins,1
291,yes,28
292,yes,13
293,yes,6
293,garages,2
294,yes,6
297,yes,2
314,yes,3
315,yes,19
316,yes,188
317,yes,44
317,apartments,2
318,yes,8
319,yes,86
320,yes,28
321,yes,58
321,church,1
322,yes,67
322,church,1
323,yes,82
323,garage,1
324,yes,14
324,sports_hall,1
325,yes,9
326,yes,13
327,yes,20
328,yes,12
328,ruins,1
329,yes,115
330,yes,40
330,roof,1
331,yes,32
332,yes,46
333,yes,48
335,yes,11
336,yes,7
353,yes,4
354,yes,8
355,yes,22
355,apartments,2
355,garages,2
356,yes,37
357,yes,30
358,yes,52
359,yes,57
360,yes,39
361,yes,38
362,yes,23
362,garages,2
362,sports_hall,1
363,yes,7
364,yes,16
364,roof,1
365,yes,23
366,yes,21
367,yes,41
368,yes,32
368,roof,1
369,yes,18
370,yes,82
371,yes,35
373,yes,7
374,yes,4
392,yes,1
393,yes,7
394,yes,25
395,yes,24
396,yes,55
397,yes,56
398,yes,43
399,yes,52
400,yes,15
401,yes,10
402,yes,24
403,yes,15
403,construction,1
404,yes,30
404,garages,2
404,construction,1
405,yes,50
406,yes,48
407,yes,30
408,yes,61
408,school,1
409,yes,32
409,school,1
410,yes,8
411,yes,6
413,yes,3
429,yes,8
430,yes,3
432,yes,10
433,yes,39
434,yes,27
435,yes,40
436,yes,45
437,yes,20
438,yes,5
439,yes,4
440,yes,15
440,garage,1
441,yes,58
442,yes,46
442,construction,1
442,garages,1
443,yes,34
444,yes,20
445,yes,25
446,yes,40
446,school,1
447,yes,37
447,school,1
448,yes,4
449,yes,3
450,yes,42
451,yes,1
452,yes,1
466,yes,13
467,yes,59
468,yes,85
469,yes,23
471,yes,1
473,yes,26
474,yes,44
475,yes,30
476,yes,6
476,school,1
477,yes,6
477,roof,1
477,school,1
478,yes,12
478,apartments,2
478,garage,1
479,yes,59
480,yes,53
481,yes,3
481,sports_hall,1
482,yes,12
482,school,2
482,roof,1
482,sports_hall,1
483,yes,19
483,school,4
484,yes,58
485,yes,9
486,yes,29
487,yes,5
488,yes,10
489,yes,7
489,garages,1
490,yes,8
504,yes,64
505,yes,120
506,yes,117
507,yes,80
508,yes,5
510,yes,29
510,garages,4
511,yes,51
512,yes,28
513,yes,34
514,yes,5
514,school,1
515,yes,10
515,construction,2
516,yes,8
516,construction,3
516,apartments,1
517,yes,10
517,apartments,6
517,shed,2
518,yes,43
518,apartments,1
519,yes,50
520,yes,46
520,school,1
521,yes,8
521,school,1
522,yes,2
522,garage,1
522,sports_hall,1
523,yes,4
523,sports_hall,2
524,yes,9
524,stand,2
524,garage,1
525,yes,12
526,yes,12
527,yes,21
527,garages,6
528,yes,41
528,construction,6
529,yes,3
530,yes,4
542,yes,50
543,yes,45
544,yes,39
545,yes,49
546,yes,1
548,yes,3
549,yes,33
