,left,top,right,bottom,Unnamed: 4,fishnet-ID,building-area-sum,building_density,building_type,bu-sum-in-block,block area,bu_den_N,bu_typ_N,blo_sum_N
73,857063.0751,,857263.0751,,73,74,0,0.0,0.0,0.0,0.0,,,
74,857063.0751,,857263.0751,,74,75,0,0.0,0.0,0.0,0.0,,,
75,857063.0751,,857263.0751,,75,76,0,0.0,0.0,0.0,0.0,,,
76,857263.0751,,857463.0751,,76,77,0,0.0,0.0,0.0,0.0,,,
77,857263.0751,,857463.0751,,77,78,0,0.0,0.0,0.0,0.0,,,
78,857263.0751,,857463.0751,,78,79,0,0.0,0.0,0.0,0.0,,,
79,857263.0751,,857463.0751,,79,80,0,0.0,0.0,0.0,0.0,,,
80,857263.0751,,857463.0751,,80,81,0,0.0,0.0,0.0,0.0,,,
81,857263.0751,,857463.0751,,81,82,0,0.0,0.0,0.0,0.0,,,
82,857263.0751,,857463.0751,,82,83,0,0.0,0.0,0.0,0.0,,,
83,857263.0751,,857463.0751,,83,84,0,0.0,0.0,0.0,0.0,,,
84,857263.0751,,857463.0751,,84,85,0,0.0,0.0,0.0,0.0,,,
85,857263.0751,,857463.0751,,85,86,0,0.0,0.0,0.0,0.0,,,
86,857263.0751,,857463.0751,,86,87,0,0.0,0.0,0.0,0.0,,,
87,857263.0751,,857463.0751,,87,88,0,0.0,0.0,0.0,0.0,,,
88,857263.0751,,857463.0751,,88,89,3067,0.076675,1.0,1.0,46955.0,0.038505110518100794,0.0,0.0
89,857263.0751,,857463.0751,,89,90,5707,0.142675,1.0,2.0,56821.0,0.07173606565631135,0.0,0.08333333333333333
90,857263.0751,,857463.0751,,90,91,4305,0.107625,1.0,2.0,160416.0,0.054088414480640445,0.0,0.08333333333333333
91,857263.0751,,857463.0751,,91,92,31087,0.777175,1.0,3.0,118188.0,0.3912063843713811,0.0,0.16666666666666666
92,857263.0751,,857463.0751,,92,93,21158,0.52895,1.0,1.0,254144.0,0.2662252655958915,0.0,0.0
93,857263.0751,,857463.0751,,93,94,6293,0.157325,1.0,3.0,123418.0,0.07911233069835355,0.0,0.16666666666666666
94,857263.0751,,857463.0751,,94,95,4455,0.111375,1.0,3.0,53411.0,0.05597653693167514,0.0,0.16666666666666666
95,857263.0751,,857463.0751,,95,96,755,0.018875,1.0,1.0,116870.0,0.009402849806152762,0.0,0.0
96,857263.0751,,857463.0751,,96,97,14369,0.359225,1.0,2.0,80884.0,0.18076884346206135,0.0,0.08333333333333333
97,857263.0751,,857463.0751,,97,98,19888,0.4972,1.0,2.0,80884.0,0.25023916217713105,0.0,0.08333333333333333
98,857263.0751,,857463.0751,,98,99,4435,0.110875,1.0,1.0,116870.0,0.05572478727153718,0.0,0.0
99,857263.0751,,857463.0751,,99,100,0,0.0,0.0,0.0,0.0,,,
100,857263.0751,,857463.0751,,100,101,0,0.0,0.0,0.0,0.0,,,
101,857263.0751,,857463.0751,,101,102,1464,0.0366,1.0,0.0,0.0,0.018327375258043403,0.0,
102,857263.0751,,857463.0751,,102,103,2028,0.0507,1.0,0.0,0.0,0.025426715673933842,0.0,
103,857263.0751,,857463.0751,,103,104,3067,0.076675,1.0,0.0,0.0,0.038505110518100794,0.0,
104,857263.0751,,857463.0751,,104,105,0,0.0,0.0,0.0,0.0,,,
105,857263.0751,,857463.0751,,105,106,0,0.0,0.0,0.0,0.0,,,
106,857263.0751,,857463.0751,,106,107,0,0.0,0.0,0.0,0.0,,,
107,857263.0751,,857463.0751,,107,108,0,0.0,0.0,0.0,0.0,,,
108,857263.0751,,857463.0751,,108,109,0,0.0,0.0,0.0,0.0,,,
109,857263.0751,,857463.0751,,109,110,0,0.0,0.0,0.0,0.0,,,
110,857263.0751,,857463.0751,,110,111,0,0.0,0.0,0.0,0.0,,,
111,857263.0751,,857463.0751,,111,112,0,0.0,0.0,0.0,0.0,,,
112,857263.0751,,857463.0751,,112,113,0,0.0,0.0,0.0,0.0,,,
113,857263.0751,,857463.0751,,113,114,0,0.0,0.0,0.0,0.0,,,
114,857463.0751,,857663.0751,,114,115,0,0.0,0.0,0.0,0.0,,,
115,857463.0751,,857663.0751,,115,116,0,0.0,0.0,0.0,0.0,,,
116,857463.0751,,857663.0751,,116,117,0,0.0,0.0,0.0,0.0,,,
117,857463.0751,,857663.0751,,117,118,0,0.0,0.0,0.0,0.0,,,
118,857463.0751,,857663.0751,,118,119,0,0.0,0.0,0.0,0.0,,,
119,857463.0751,,857663.0751,,119,120,0,0.0,0.0,0.0,0.0,,,
120,857463.0751,,857663.0751,,120,121,0,0.0,0.0,0.0,0.0,,,
121,857463.0751,,857663.0751,,121,122,0,0.0,0.0,0.0,0.0,,,
122,857463.0751,,857663.0751,,122,123,0,0.0,0.0,0.0,0.0,,,
123,857463.0751,,857663.0751,,123,124,0,0.0,0.0,0.0,0.0,,,
124,857463.0751,,857663.0751,,124,125,0,0.0,0.0,0.0,0.0,,,
125,857463.0751,,857663.0751,,125,126,733,0.018325,1.0,1.0,47745.0,0.009125925180001009,0.0,0.0
126,857463.0751,,857663.0751,,126,127,9755,0.243875,1.0,2.0,47350.0,0.12269019686823424,0.0,0.08333333333333333
127,857463.0751,,857663.0751,,127,128,9098,0.22745,1.0,4.0,51379.0,0.11442022053270229,0.0,0.25
128,857463.0751,,857663.0751,,128,129,11965,0.299125,1.0,2.0,55409.0,0.1505085343134787,0.0,0.08333333333333333
129,857463.0751,,857663.0751,,129,130,8223,0.205575,2.0,4.0,99318.0,0.10340617290166658,0.2,0.25
130,857463.0751,,857663.0751,,130,131,23657,0.591425,2.0,2.0,148426.0,0.2976813856301294,0.2,0.08333333333333333
131,857463.0751,,857663.0751,,131,132,8155,0.203875,1.0,2.0,175265.0,0.10255022405719752,0.0,0.08333333333333333
132,857463.0751,,857663.0751,,132,133,8791,0.219775,1.0,3.0,54185.0,0.11055586324958461,0.0,0.16666666666666666
133,857463.0751,,857663.0751,,133,134,7027,0.175675,2.0,3.0,61013.0,0.08835154322541665,0.2,0.16666666666666666
134,857463.0751,,857663.0751,,134,135,22697,0.567425,2.0,3.0,95761.0,0.28559740194350736,0.2,0.16666666666666666
135,857463.0751,,857663.0751,,135,136,28871,0.721775,1.0,3.0,95761.0,0.36331252202809533,0.0,0.16666666666666666
136,857463.0751,,857663.0751,,136,137,14427,0.360675,1.0,1.0,116870.0,0.18149891747646144,0.0,0.0
137,857463.0751,,857663.0751,,137,138,0,0.0,0.0,0.0,0.0,,,
138,857463.0751,,857663.0751,,138,139,0,0.0,0.0,0.0,0.0,,,
139,857463.0751,,857663.0751,,139,140,1464,0.0366,1.0,0.0,0.0,0.018327375258043403,0.0,
140,857463.0751,,857663.0751,,140,141,1674,0.04185,1.0,0.0,0.0,0.02097074668949197,0.0,
141,857463.0751,,857663.0751,,141,142,1988,0.0497,1.0,0.0,0.0,0.024923216353657924,0.0,
142,857463.0751,,857663.0751,,142,143,0,0.0,0.0,0.0,0.0,,,
143,857463.0751,,857663.0751,,143,144,0,0.0,0.0,0.0,0.0,,,
144,857463.0751,,857663.0751,,144,145,0,0.0,0.0,0.0,0.0,,,
145,857463.0751,,857663.0751,,145,146,0,0.0,0.0,0.0,0.0,,,
146,857463.0751,,857663.0751,,146,147,0,0.0,0.0,0.0,0.0,,,
147,857463.0751,,857663.0751,,147,148,0,0.0,0.0,0.0,0.0,,,
148,857463.0751,,857663.0751,,148,149,0,0.0,0.0,0.0,0.0,,,
149,857463.0751,,857663.0751,,149,150,0,0.0,0.0,0.0,0.0,,,
150,857463.0751,,857663.0751,,150,151,0,0.0,0.0,0.0,0.0,,,
151,857463.0751,,857663.0751,,151,152,0,0.0,0.0,0.0,0.0,,,
152,857663.0751,,857863.0751,,152,153,0,0.0,0.0,0.0,0.0,,,
153,857663.0751,,857863.0751,,153,154,0,0.0,0.0,0.0,0.0,,,
154,857663.0751,,857863.0751,,154,155,0,0.0,0.0,0.0,0.0,,,
155,857663.0751,,857863.0751,,155,156,0,0.0,0.0,0.0,0.0,,,
156,857663.0751,,857863.0751,,156,157,0,0.0,0.0,0.0,0.0,,,
157,857663.0751,,857863.0751,,157,158,0,0.0,0.0,0.0,0.0,,,
158,857663.0751,,857863.0751,,158,159,0,0.0,0.0,0.0,0.0,,,
159,857663.0751,,857863.0751,,159,160,0,0.0,0.0,0.0,0.0,,,
160,857663.0751,,857863.0751,,160,161,0,0.0,0.0,0.0,0.0,,,
161,857663.0751,,857863.0751,,161,162,0,0.0,0.0,0.0,0.0,,,
162,857663.0751,,857863.0751,,162,163,1433,0.035825,1.0,0.0,0.0,0.01793716328482957,0.0,
163,857663.0751,,857863.0751,,163,164,1757,0.043925,1.0,1.0,47745.0,0.022015507779064497,0.0,0.0
164,857663.0751,,857863.0751,,164,165,8404,0.2101,1.0,4.0,29690.0,0.10568450732591511,0.0,0.25
165,857663.0751,,857863.0751,,165,166,13150,0.32875,1.0,4.0,38253.0,0.16542470167665274,0.0,0.25
166,857663.0751,,857863.0751,,166,167,4391,0.109775,1.0,1.0,44130.0,0.05517093801923367,0.0,0.0
167,857663.0751,,857863.0751,,167,168,9851,0.246275,2.0,3.0,35147.0,0.12389859523689642,0.2,0.16666666666666666
168,857663.0751,,857863.0751,,168,169,12168,0.3042,1.0,4.0,81953.0,0.15306379336387899,0.0,0.25
169,857663.0751,,857863.0751,,169,170,6156,0.1539,1.0,5.0,93034.0,0.07738784552640854,0.0,0.3333333333333333
170,857663.0751,,857863.0751,,170,171,14732,0.3683,1.0,4.0,70494.0,0.1853380997935653,0.0,0.25
171,857663.0751,,857863.0751,,171,172,16123,0.403075,1.0,6.0,73793.0,0.20284728865616033,0.0,0.4166666666666667
172,857663.0751,,857863.0751,,172,173,12313,0.307825,4.0,2.0,121192.0,0.15488897839987917,0.6,0.08333333333333333
173,857663.0751,,857863.0751,,173,174,35901,0.897525,2.0,3.0,95761.0,0.4518025275665878,0.2,0.16666666666666666
174,857663.0751,,857863.0751,,174,175,5200,0.13,1.0,1.0,116870.0,0.06535421177181411,0.0,0.0
175,857663.0751,,857863.0751,,175,176,0,0.0,0.0,0.0,0.0,,,
176,857663.0751,,857863.0751,,176,177,481,0.012025,1.0,1.0,28220.0,0.005953879462262725,0.0,0.0
