fishnet-ID,osm_id,admin_leve,block area,left,top,right,bottom,id,fishnet-area
15,121821827.0,,254144.0,856863.0750757123,-3668128.7063381746,857063.0750757124,-3668328.706338175,15,39999.9347892151
16,121821827.0,,254144.0,856863.0750757123,-3668328.706338175,857063.0750757124,-3668528.706338175,16,40000.041507981405
53,121821827.0,,254144.0,857063.0750757124,-3668128.7063381746,857263.0750757124,-3668328.706338175,53,40000.0343005969
54,121821827.0,,254144.0,857063.0750757124,-3668328.706338175,857263.0750757124,-3668528.706338175,54,39999.9389897435
55,121821827.0,,254144.0,857063.0750757124,-3668528.706338175,857263.0750757124,-3668728.7063381746,55,40000.0399704288
56,121821824.66666667,,123418.33333333333,857063.0750757124,-3668728.7063381746,857263.0750757124,-3668928.7063381746,56,39999.9608870321
57,121821822.0,,19725.0,857063.0750757124,-3668928.7063381746,857263.0750757124,-3669128.706338175,57,40000.0069593413
89,114236414.0,,46955.0,857263.0750757124,-3667728.7063381756,857463.0750757124,-3667928.706338175,89,39999.9800915501
90,139578566.5,,56821.0,857263.0750757124,-3667928.706338175,857463.0750757124,-3668128.7063381746,90,39999.9614513867
91,143371273.0,,160415.5,857263.0750757124,-3668128.7063381746,857463.0750757124,-3668328.706338175,91,40000.0416545592
92,133660511.66666667,,118188.0,857263.0750757124,-3668328.706338175,857463.0750757124,-3668528.706338175,92,39999.9905284898
93,121821827.0,,254144.0,857263.0750757124,-3668528.706338175,857463.0750757124,-3668728.7063381746,93,39999.9821977527
94,121821824.66666667,,123418.33333333333,857263.0750757124,-3668728.7063381746,857463.0750757124,-3668928.7063381746,94,40000.0015997444
95,121821822.66666667,,53410.666666666664,857263.0750757124,-3668928.7063381746,857463.0750757124,-3669128.706338175,95,40000.0422496669
96,121821817.0,,116870.0,857263.0750757124,-3669128.706338175,857463.0750757124,-3669328.706338175,96,39999.9731140181
97,121821820.0,,80884.0,857263.0750757124,-3669328.706338175,857463.0750757124,-3669528.706338175,97,40000.0243838758
98,121821820.0,,80884.0,857263.0750757124,-3669528.706338175,857463.0750757124,-3669728.706338175,98,39999.9602608804
99,121821817.0,,116870.0,857263.0750757124,-3669728.706338175,857463.0750757124,-3669928.706338175,99,40000.0053287594
126,114236410.0,,47745.0,857463.0750757124,-3667528.706338175,857663.0750757123,-3667728.7063381756,126,40000.0919554117
127,114236412.0,,47350.0,857463.0750757124,-3667728.7063381756,857663.0750757123,-3667928.706338175,127,39999.997966805
128,139578565.75,,51379.25,857463.0750757124,-3667928.706338175,857663.0750757123,-3668128.7063381746,128,39999.9691833709
129,164920719.5,,55408.5,857463.0750757124,-3668128.7063381746,857663.0750757123,-3668328.706338175,129,39999.9513111623
130,128805130.25,,99318.0,857463.0750757124,-3668328.706338175,857663.0750757123,-3668528.706338175,130,40000.0585411967
131,118030406.5,,148426.0,857463.0750757124,-3668528.706338175,857663.0750757123,-3668728.7063381746,131,39999.990509237
132,121821826.0,,175265.0,857463.0750757124,-3668728.7063381746,857663.0750757123,-3668928.7063381746,132,40000.0101022162
133,121821825.66666667,,54184.666666666664,857463.0750757124,-3668928.7063381746,857663.0750757124,-3669128.706338175,133,39999.9630124019
134,121821823.0,,61012.666666666664,857463.0750757124,-3669128.706338175,857663.0750757124,-3669328.706338175,134,40000.0531168077
135,121821819.66666667,,95760.66666666667,857463.0750757124,-3669328.706338175,857663.0750757124,-3669528.706338175,135,39999.9408240969
136,121821819.66666667,,95760.66666666667,857463.0750757124,-3669528.706338175,857663.0750757124,-3669728.706338175,136,40000.023833588595
137,121821817.0,,116870.0,857463.0750757124,-3669728.706338175,857663.0750757123,-3669928.706338175,137,40000.036335008
164,114236410.0,,47745.0,857663.0750757123,-3667528.706338175,857863.0750757124,-3667728.7063381756,164,39999.9529100841
165,126907492.75,,29690.0,857663.0750757123,-3667728.7063381756,857863.0750757124,-3667928.706338175,165,40000.021994375
166,126909151.25,,38252.5,857663.0750757123,-3667928.706338175,857863.0750757124,-3668128.7063381746,166,40000.0270239537
167,164920720.0,,44130.0,857663.0750757123,-3668128.7063381746,857863.0750757124,-3668328.706338175,167,39999.9916680318
168,114240343.33333333,,35147.333333333336,857663.0750757124,-3668328.706338175,857863.0750757124,-3668528.706338175,168,39999.9801752355
169,116134695.75,,81952.5,857663.0750757123,-3668528.706338175,857863.0750757124,-3668728.7063381746,169,40000.0265155777
170,118788691.0,,93034.2,857663.0750757123,-3668728.7063381746,857863.0750757124,-3668928.7063381746,170,39999.9696022942
171,121821827.75,,70494.0,857663.0750757123,-3668928.7063381746,857863.0750757124,-3669128.706338175,171,40000.0545744227
