OneRedPhoneBox,Aug 2018,5,"comfortable, breakfast included, highly recommend ","Everything at the Hotell Nordic was lovely. Breakfast was large including hot items- eggs, sausages- plus the usual cold cuts, cheese, breads, and espresso machine for much better morning coffee than usual! Big room with kitchenette, friendly and helpful staff, and right in city…",,,,Date of stay: August 2018,"[All, languages]",219
Eva A,Aug 2018,4,Mysigt hotell,"Mycket fräscht hotell i centrala lund. Jättebra frukost, om än matsalen var liten och trång. Som tur fint väder så man kunde sitta ute på den mysiga innergården. Rena rum med kokmöjligheter. Rekommenderas verkligen! ",,,,Date of stay: August 2018,"[All, languages]",219
Hans_uddevalla,Aug 2018,4,"Bekvämt, mysigt och bra standard",Vi hade ett rum med balkong mot innergården. Stilla och tyst. Dock var balkongen för liten. Rummet var väldigt bra med sköna sängar och hade luftkonditionering. Även ett litet pentry fanns. Med tanke på att rummet kostade ca. 1500 kr/natt så hade man stora förväntningar på…,,,,Date of stay: August 2018,"[All, languages]",219
Isida,Aug 2018,4,Trevligt hotell,"Detta hotell ligger väldigt centralt i Lund, nära till allt. Personalen är väldigt tillmötesgående och trevliga. Vi valde ett rum med balkong vilket vi tyckte var trevligt. Sängarna är jättebekväma och sköna och det finns AC på rummet. Vi hade också ett eget litet pentry så vi…",,,,Date of stay: August 2018,"[All, languages]",219
Hilde_K65,Aug 2018,5,Fantastic Location!,Hotell Nordic Link is situated in Lund's centre really close to Mårtenstorget and many other attractions are all within easy walking distance. What is a HUGE plus is that paking is available directly behind the hotel which has direct access (on the second floor) and an elevator.…,,,,Date of stay: July 2018,"[All, languages]",219
to_experience_new,Aug 2018,3,They took their chances,"We were going to the student carnival (every fourth year) and there wasn’t that many places to choose from – the prices were high, especially here. They must have raised the price considerably for this weekend, which is a pity. The hotel was good, service as well, the room…",,,,Date of stay: May 2018,"[All, languages]",219
Douglas645,Jul 2018,4,Good hotel ,We enjoyed our stay. The staff are very helpful especially the lady at breakfast who checked ingredients regarding a nut allergy. The breakfast spread was good. There is free tea and coffee available all day. Our room even came with a kitchenette. An easy stroll to the centre. ,,,,Date of stay: July 2018,"[All, languages]",219
Jejse,Jun 2018,5,Centralt i bymidten,"Skønt nyrenoveret hotel med en skøn atmosfære i de gamle bygninger. Overalt flot og følsomt renoveret. Dejligt værelse med fuldt udrustet køkkendel, med køleskab osv, så her er det muligt selv at stå for bespisningen. Indkøbsmuligheder indenfor gå afstand. Dejligt badeværelse.…",,,,Date of stay: June 2018,"[All, languages]",219
gifr00,Jun 2018,5,Härliga små lägenheter med perfekt läge,"Jättefina lägenheter med allt man behöver.  Läget är perfekt, mitt i stan med parkering utomhus på gård bakom hotellet för190 kr per dygn. Trevlig personal och en riktigt god frukost ingick. Rekommenderas! Det enda negativa var de för tjocka täckena som blev alldeles för varma…",,,,Date of stay: June 2018,"[All, languages]",219
Gianni,Jun 2018,5,Best stay for work travel,"I've been several times now, definitely a good place to stay when traveling in lund. Close to the very centre which is nice and full of restaurants. The personnel is very helpful. Recommended. I'll be back.",,,,Date of stay: June 2018,"[All, languages]",219
Lena A,Jun 2018,4,Bra och trevligt,Bra läge och mycket trevlig personal. Fint rum och mycket bra säng. Bra frukost. Lätt med bil då parkeringen ligger bredvid. Rummet hade ett pentry och Coop låg alldeles intill vilket gjorde livet lättare. Rekommenderas. ,,,,Date of stay: June 2018,"[All, languages]",219
ilegind,Jun 2018,4,Centralt beliggende hotel,Dejligt hotel med venlig betjening! Værelset var ikke så stort men dog alligevel med et mindre køkken! God morgenmadsbuffet. Mulighed for at sidde udenfor i gårdhave. God beliggenhed meget tæt på torvet. Parkering på taget er temmelig dyrt!😕😕,,,,Date of stay: May 2018,"[All, languages]",219
Maria L,May 2018,4,Bra hotell,"Centralt beläget hotell i nära Mårtenstorget i Lund! Trevlig personal, sköna sängar och fräscha rum! Närhet till botaniska trädgården och domkyrkan! Frukosten helt ok! Kan rekommendera detta hotell om man ska till Lund!","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded May 25, 2018","Responded May 25, 2018",Tack Maria för ditt fina betyg och feedback! Så roligt att du uppskattade vårt hotell och närheten till sevärdigheterna i Lund. Varmt välkommen tillbaka! Mvh ,Date of stay: May 2018,"[All, languages]",219
