Alexandra H,Nov 2018,5,Great room and friendly reception,"Very nice hotel, not far from the town centre.I was upgraded to a very nice superior room without even asking for it. Nice surprise!Dinner meal could be improved. Breakfast was very good. Will definitely come back.","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Nov 19, 2018","Responded Nov 19, 2018","Dear Alexandra,  wow - what a lovely review! Thank you very much for the feedback you left us, we really appreciate it.   We look forward to your next visit and hope that you will enjoy the dinner as mush as the breakfast - we will work hard on that one! :)   Wishing you a marvelous start of the winter season  Kind regards Sarka Front desk",Date of stay: November 2018,"[All, languages]",656
danielwK2698JA,Oct 2018,5,Nära till allt!,Nära till allt! Rent och fräscht med trevligt bemötande personal. Rummen är moderna och luftigt ljusa. Buffén på kvällen är superb! När dessutom tillbygget är klart så finns det parkeringsplatser till alla. ,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Nov 2, 2018","Responded Nov 2, 2018","Hej Daniel,  tack så mycket för den här fantastiska recensionen och det högsta betyget!  Det känns väldigt roligt att få veta att ni har haft en bra vistelse här och varit nöja med så mycket. Som du säger så öppnar vi den nya delen snart och där finns det mycket att se fram emot!  Önskar er en mycket fin november månad och varmt välkomna tillbaka  Med vänliga hälsningar Sarka  Receptionen",Date of stay: October 2018,"[All, languages]",656
Bo E,Oct 2018,5,I rymden på Planetstaden,Ett utomordentligt trevligt hotell med utmärkt service. Allt fungerar på topp och då framförallt kvalitén i att få sova gott. Något hotell som vill försöka slå frukost- och kvällsbuffén? Tror inte det eftersom min bedömning är att det inte går att slå! :) Alla på hotellet gör…,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Nov 2, 2018","Responded Nov 2, 2018","Hej Bo,  vilken härlig recension - tack så hemskt mycket!  Vi blir så glada över dina ord. Så roligt att höra att ni har sovit och ätit gott hos oss samt varit nöjda med service.  Önskar er hjärtligt välkomna åter!  Med vänliga hälningar Sarka Receptionen",Date of stay: October 2018,"[All, languages]",656
barohel,Oct 2018,5,Nice place to relax,"We checked in here after a a very busy day, and truly enjoyed the calm atmosphere which engulphed us at our arrival. Superb dinner buffe, wiith just what you want without overdoing it. also breakfast was very good. and although I like kids, when you are in the middle of a super…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 29, 2018","Responded Oct 29, 2018","Dear Barohel,  how lovely of you to let us know that you had a nice time here! Thank you very much for the time you took to write this amazing review.  Isn't it great to spend a couple of calm days away from the busy everyday life and enjoy the peace and quiet of the area.  We can't wait to welcome you back!  Wishing you a beautiful autumn  Kind regards Sarka Front desk  ",Date of stay: September 2018,"[All, languages]",656
davidecattaneo3,Oct 2018,5,Good stay good place good room,I like the riom I got and I like the formula all included with the dinner and the breakfast all-in-all Room fineService fineOverall I recommend this hotel as the best buy for price in the whole Lund area ... ,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 29, 2018","Responded Oct 29, 2018","Dear David,  thank you so much for sharing your positive experience here on TripAdvisor!  Reading your review made us really happy and we would love to welcome you back soon.  Team Planetstaden wishes you an amazing autumn!  Kind regards Sarka  Front desk",Date of stay: October 2018,"[All, languages]",656
kim Emil R,Oct 2018,5,Excellent short trip in Lund,"Unusually nice city break. Excellent food and great value for money in this design hotel. The sauna had windows, so you could see the sky. The room was well equiped and had a fridge, so you could get icecold water after the sauna,","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 29, 2018","Responded Oct 29, 2018","Dear Kim Emil,  how lovely to hear that you had a nice time here! Many thanks for taking the time to write us a review.   Enjoying the view after a healthy sauna session and a cold drink sounds great. If you ever feel like doing that again, please feel free to pay us a visit! :)  We wish you a splendid autumn!  Kind regards Sarka  Front desk",Date of stay: October 2018,"[All, languages]",656
alirezaerfani,Oct 2018,5,Excellant!,"Fantastic stay. Very nice and welcoming front desk. Nice atmosphier. Great dinner & breakfast. Clean room with fantastic toileteries. pleasant sleep. but gym treadmill shall be serviced. Great location, easy going by walk to Lund central. Fairly nice decoration.","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 29, 2018","Responded Oct 29, 2018","Dear Ali Reza,  thank you very much for writing us such a lovely review!  It's fantastic to hear that your stay was pleasant and that you ate and slept well. As for the current condition of the gym, please accept our apology. The hotel is expanding and we look forward to introducing our guest to the new, amazing work-out possibilities soon.   We'd be delighted to have the opportunity to welcome you back soon!  Wishing you a pleasant month of November  Kind regards Sarka  Front desk  ",Date of stay: October 2018,"[All, languages]",656
モモ2016,Oct 2018,3,ホテルは良い,ホテルは良いと思います。部屋も綺麗で窓からの日差しが暖かく嬉しいです。夕食は無料でついてくるみたいですが、ビジネスで来ているので利用はしないと思います。街の中心部からは外れているので、車がないと厳しいと思います。,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Nov 6, 2018","Responded Nov 6, 2018","Dear Mikan Momo,  thank you so much for sharing your experience here on TripAdvisor and giving us helpful feedback!  We are happy to hear that you were satisfied with the standard of your room. It's a pity that you did not have the time to eat dinner at the hotel (we have heard from reliable sources that the food is excellent :) ).  Hoping to welcome you back soon and wishing you a splendid winter  Kind regards Sarka Front desk",Date of stay: October 2018,"[All, languages]",656
kindon2016,Oct 2018,3,夕食,クオリティはともあれ、夕食ビュッフェが無料でついてきます。いつきても受け付けで待たされのには辟易しますが、清潔な北欧のビジネスホテルです。,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 9, 2018","Responded Oct 9, 2018","Dear Kindon,  thank you very much for your stay at our hotel and for writing us a review!  Lovely to hear that the dinner buffet was a nice surprise, as long as we understood with the help of Google. :)  We'd love to have the opportunity to welcome you back in the future and do our best to change the 3/5 to a wonderful 5/5!  Wishing you a beautiful autumn  Kind regards Sarka Front desk  ",Date of stay: October 2018,"[All, languages]",656
barbaraberin,Oct 2018,5,Härlig helg,Vi bodde över här när vi hjälpte vår dotter att flytta. Störtade in på hotellet fullkomligt utsvultna vid halv nio-tiden och var överväldigade av lugnet. Det hjälpte oss att sätta oss ned och slappna av efter en lång dag och faktiskt njuta av den goda maten som serverades.…,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 9, 2018","Responded Oct 9, 2018","Hej Barbara,  tusen tack för att du recenserar oss och berättar om er vistelse!   Vad glada vi blir över er beröm. :) Såklart förtjänar man vila ordentligt och koppla av efter en lång flyttdag! Det känns otroligt bra att få veta att ni har haft det gott hos oss.   Vi hoppas på ett snart återseende och önskar er en underbar höst!  Med vänliga hälnsningar Sarka Receptionen",Date of stay: September 2018,"[All, languages]",656
