topic,Freq,cluster,topics,x,y
0,24.808946766643654,1,1,0.13362537097079846,-0.030203853428687307
5,24.19017202053057,1,2,-0.10072957785554185,0.04097404568135736
7,10.713926728068172,1,3,-0.002639488896035545,-0.06775481747056074
1,10.0647368978261,1,4,-0.07470726646773024,-0.10783445366498225
9,9.447174708318776,1,5,0.03836187583727498,0.09175029149680247
2,7.499379869054917,1,6,0.06742027063373562,-0.011861964987709167
4,7.468056318928568,1,7,-0.03275766208061804,0.09420024831991045
6,3.96026136443802,1,8,-0.041234889442693615,-0.0065695074215984224
8,1.7194455176919945,1,9,0.015240865361854882,0.0009197379895149499
3,0.12789980849922875,1,10,-0.0025794980610448492,-0.003619726514046803
