topic,Freq,cluster,topics,x,y
3,28.280482657654936,1,1,0.12820028328991795,-0.10431758010160466
2,25.258059304386464,1,2,-0.19486162609910634,0.02536996475065988
5,13.780361503999957,1,3,-0.016100267334761175,-0.15516214533134062
1,8.071550625353577,1,4,-0.07560904870399716,-0.03240140932790393
7,8.071550625353575,1,5,0.06450078750402778,0.12901793753770277
8,7.22554861160674,1,6,0.0749735236745633,0.07446370589339403
9,4.761872573908057,1,7,-0.05020221917405287,0.03703859800093919
6,4.040954553684593,1,8,0.051867182133562915,0.02533760483322282
4,0.2548097720260357,1,9,0.007792864968870996,-0.0022376512502897293
0,0.2548097720260357,1,10,0.00943851974097438,0.0028909749952201387
