topic,Freq,cluster,topics,x,y
5,55.502363364529614,1,1,0.12108507359067788,-0.022818167345791236
9,25.499338311591185,1,2,-0.05088313043934695,0.09524383647124073
1,17.221022709360827,1,3,-0.11848128129695584,-0.06444677362122836
8,0.25389651635976845,1,4,0.004775972970353184,-0.0060090638780248
7,0.25389651635976845,1,5,0.008335035762838575,0.0009848790300393108
6,0.25389651635976845,1,6,0.004851735049562813,-0.0069405501472391395
4,0.25389651635976845,1,7,0.008792872253849166,-0.0010739869082287646
3,0.25389651635976845,1,8,0.008243284734438095,-0.00024869027985431635
2,0.25389651635976845,1,9,0.00811886196471943,0.00397820539784963
0,0.25389651635976845,1,10,0.005161575409863469,0.0013303112812370111
