left,top,right,bottom,id,building_b,building_1,building_2,building_3,building_4,building_5,type
863663.0750757124042138,-3670128.7063381741754711,863863.0750757124042138,-3670328.7063381741754711,"1317","1317","8868","0.2217","2","2","76343","2"
860063.0750757124042138,-3669928.7063381741754711,860263.0750757124042138,-3670128.7063381741754711,"632","632","29489","0.737225","2","7","14842","2"
860063.0750757124042138,-3670128.7063381741754711,860263.0750757124042138,-3670328.7063381741754711,"633","633","25359","0.633975","4","8","14524","4"
860263.0750757124042138,-3669928.7063381741754711,860463.0750757124042138,-3670128.7063381741754711,"670","670","17032","0.4258","6","6","10367","6"
860263.0750757124042138,-3670128.7063381741754711,860463.0750757124042138,-3670328.7063381741754711,"671","671","28429","0.710725","4","10","10373","4"
860263.0750757124042138,-3669728.7063381741754711,860463.0750757124042138,-3669928.7063381741754711,"669","669","18231","0.455775","3","4","16488","3"
859463.0750757124042138,-3670928.7063381741754711,859663.0750757124042138,-3671128.7063381741754711,"523","523","11574","0.28935","2",,,"2"
857863.0750757124042138,-3670128.7063381741754711,858063.0750757124042138,-3670328.7063381741754711,"215","215","6915","0.172875","2","3","35729","2"
