name,url,review count,aggregating rating value,price range,address,postcode,category
Restaurang &amp; Pizzeria Eros,/Restaurant_Review-g189838-d1042648-Reviews-Restaurang_Pizzeria_Eros-Lund_Skane_County.html,4.0,3.5,,Allhelgona Kyrkog. 4,,FoodEstablishment
Kalmar Nation,/Restaurant_Review-g189838-d5936215-Reviews-Kalmar_Nation-Lund_Skane_County.html,2.0,3.0,,12 Biskopsgatan,223 62,FoodEstablishment
Paolo's,/Restaurant_Review-g189838-d12959059-Reviews-Paolo_s-Lund_Skane_County.html,4.0,3.0,,Scheelevagen 27 Elite Hotel Ideon,223 63,FoodEstablishment
Pizzabakeren,/Restaurant_Review-g189838-d14919814-Reviews-Pizzabakeren-Lund_Skane_County.html,1.0,3.0,,Skarpskyttevagen 3,226 42,FoodEstablishment
Cafe Hamburgerstallet,/Restaurant_Review-g189838-d12369140-Reviews-Cafe_Hamburgerstallet-Lund_Skane_County.html,1.0,3.0,$$ - $$$,Botulfsplatsen,223 50,FoodEstablishment
Det lilla cafeet pa hornet,/Restaurant_Review-g189838-d15700253-Reviews-Det_lilla_cafeet_pa_hornet-Lund_Skane_County.html,1.0,3.0,$,Kyrkogatan 17,22222,FoodEstablishment
Burger King,/Restaurant_Review-g189838-d15554218-Reviews-Burger_King-Lund_Skane_County.html,1.0,3.0,,Skarpskyttevagen 3,22642,FoodEstablishment
Asian Hot Wok,/Restaurant_Review-g189838-d10605362-Reviews-Asian_Hot_Wok-Lund_Skane_County.html,1.0,3.0,,58b Stora Soedergatan,222 23,FoodEstablishment
Primo no 1,/Restaurant_Review-g189838-d15235511-Reviews-Primo_no_1-Lund_Skane_County.html,1.0,3.0,,Bangatan 12,222 21,FoodEstablishment
Sibylla Lund Central,/Restaurant_Review-g189838-d15191629-Reviews-Sibylla_Lund_Central-Lund_Skane_County.html,2.0,3.0,,Bangatan 3,,FoodEstablishment
Cafe &amp; Le,/Restaurant_Review-g189838-d2632178-Reviews-Cafe_Le-Lund_Skane_County.html,37.0,3.0,$$ - $$$,10 Vaestra Maartensgatan,223 51,FoodEstablishment
Sesam Lund,/Restaurant_Review-g189838-d12972430-Reviews-Sesam_Lund-Lund_Skane_County.html,4.0,3.0,,Ostra Martensgatan 2A,223 61,FoodEstablishment
Mae Yai,/Restaurant_Review-g189838-d3378856-Reviews-Mae_Yai-Lund_Skane_County.html,30.0,3.0,$,15G Stora Fiskaregatan,222 24,FoodEstablishment
New Delhi,/Restaurant_Review-g189838-d952752-Reviews-New_Delhi-Lund_Skane_County.html,67.0,3.0,$$ - $$$,15 Stora Fiskaregatan,222 24,FoodEstablishment
Royal Thai Restaurang,/Restaurant_Review-g189838-d3735259-Reviews-Royal_Thai_Restaurang-Lund_Skane_County.html,14.0,3.0,$$ - $$$,"Martenstorget 7 Lund, Sverige",,FoodEstablishment
Moroten &amp; Piskan,/Restaurant_Review-g189838-d5949018-Reviews-Moroten_Piskan-Lund_Skane_County.html,3.0,2.5,,Karhuset Soelvegatan 22,223 62,FoodEstablishment
Cafe Tjugan,/Restaurant_Review-g189838-d7724719-Reviews-Cafe_Tjugan-Lund_Skane_County.html,1.0,2.0,,12 Stora Soedergatan,222 23,FoodEstablishment
Chadis Grill,/Restaurant_Review-g189838-d5936300-Reviews-Chadis_Grill-Lund_Skane_County.html,8.0,3.0,$,Vegag. 2,224 57,FoodEstablishment
Tandoor,/Restaurant_Review-g189838-d740116-Reviews-Tandoor-Lund_Skane_County.html,15.0,2.5,,15 Stora Fiskaregatan,222 24,FoodEstablishment
Khatoon,/Restaurant_Review-g189838-d13198099-Reviews-Khatoon-Lund_Skane_County.html,9.0,3.0,$$ - $$$,Lilla Tvargatan 19,,FoodEstablishment
Subway,/Restaurant_Review-g189838-d15117706-Reviews-Subway-Lund_Skane_County.html,1.0,2.0,,Botulfsgatan 5,223 50,FoodEstablishment
Olympia Pizza &amp; Cafe,/Restaurant_Review-g189838-d8665657-Reviews-Olympia_Pizza_Cafe-Lund_Skane_County.html,9.0,3.0,$$ - $$$,39 Tunavaegen Vid Ica Tuna,223 63,FoodEstablishment
Romana,/Restaurant_Review-g189838-d807872-Reviews-Romana-Lund_Skane_County.html,24.0,2.5,$$ - $$$,Bangatan 4,,FoodEstablishment
Ichikyo Fusion Sushi,/Restaurant_Review-g189838-d7392582-Reviews-Ichikyo_Fusion_Sushi-Lund_Skane_County.html,12.0,3.0,$$ - $$$,5 Skomakaregatan,223 50,FoodEstablishment
Fazer Restaurang Scotland Yard,/Restaurant_Review-g189838-d7277032-Reviews-Fazer_Restaurang_Scotland_Yard-Lund_Skane_County.html,6.0,2.0,,6 Mobilvaegen Mobilvägen 6,223 62,FoodEstablishment
Burger King,/Restaurant_Review-g189838-d1042627-Reviews-Burger_King-Lund_Skane_County.html,30.0,2.5,$,Knut den Stores g. 2,,FoodEstablishment
Gastro Gaspari,/Restaurant_Review-g189838-d9457240-Reviews-Gastro_Gaspari-Lund_Skane_County.html,34.0,4.5,$$ - $$$,1776 Flyinge Kungsgard Flyinge,247 93,FoodEstablishment
Restaurang La Cucina,/Restaurant_Review-g189838-d10195575-Reviews-Restaurang_La_Cucina-Lund_Skane_County.html,480.0,4.5,$$ - $$$,8 Hantverksgatan,227 36,FoodEstablishment
Mat &amp; Destillat,/Restaurant_Review-g189838-d3139458-Reviews-Mat_Destillat-Lund_Skane_County.html,594.0,4.5,$$$$,17 Kyrkogatan Box 1579,222 22,FoodEstablishment
Ihsiri,/Restaurant_Review-g189838-d7384359-Reviews-Ihsiri-Lund_Skane_County.html,420.0,4.5,$$ - $$$,14 Bytaregatan,222 21,FoodEstablishment
Creperiet i Lund,/Restaurant_Review-g189838-d6981566-Reviews-Creperiet_i_Lund-Lund_Skane_County.html,513.0,4.5,$$ - $$$,14C Klostergatan,222 22,FoodEstablishment
Gattostretto,/Restaurant_Review-g189838-d941772-Reviews-Gattostretto-Lund_Skane_County.html,278.0,4.5,$$ - $$$,6 Kattesund,222 23,FoodEstablishment
Matrummet,/Restaurant_Review-g189838-d3942974-Reviews-Matrummet-Lund_Skane_County.html,106.0,4.5,$$$$,Kastanjegatan 18,223 59,FoodEstablishment
Klostergatans vin och delikatess,/Restaurant_Review-g189838-d780405-Reviews-Klostergatans_vin_och_delikatess-Lund_Skane_County.html,365.0,4.5,$$$$,3 Klostergatan,222 22,FoodEstablishment
Matsalen - Grand Hotel Lund,/Restaurant_Review-g189838-d7195560-Reviews-Matsalen_Grand_Hotel_Lund-Lund_Skane_County.html,577.0,4.0,$$$$,1 Bantorget,222 29,FoodEstablishment
Mediterranean,/Restaurant_Review-g189838-d1023140-Reviews-Mediterranean-Lund_Skane_County.html,212.0,4.0,$$ - $$$,2B Groenegatan,222 24,FoodEstablishment
Ra Epok,/Restaurant_Review-g189838-d2388076-Reviews-Ra_Epok-Lund_Skane_County.html,141.0,4.0,$$ - $$$,7 Klostergatan,222 22,FoodEstablishment
