topic,Freq,cluster,topics,x,y
0,57.617466810980524,1,1,0.24613011000420912,-0.03696612648291753
9,37.42319426931891,1,2,-0.24357237353425254,-0.02959489922855208
3,4.300580224420532,1,3,0.013437899716197934,0.13084060101764555
8,0.09410838504000575,1,4,-0.0038697093734954995,-0.007107448720231157
7,0.09410838504000575,1,5,-0.0036960968073062542,-0.008327141481053105
6,0.09410838504000575,1,6,-0.0032462387491333086,-0.010781499676882765
5,0.09410838504000575,1,7,-0.005332618137270428,-0.00843943614863777
4,0.09410838504000575,1,8,0.003466942843161262,-0.010862653323625895
2,0.09410838504000575,1,9,-0.0016555644127780173,-0.008704544190072388
1,0.09410838504000575,1,10,-0.001662351549332329,-0.010056851765673013
