topic,Freq,cluster,topics,x,y
9,31.80557596658432,1,1,0.2766880084905893,0.04508239773495842
2,31.33263612109816,1,2,0.30360822479226807,0.20415064253692938
7,12.73835042189322,1,3,-0.20576445631940946,0.0639783010693434
3,8.942108682027985,1,4,-0.2773875679081098,0.06654808819235193
0,6.047062373472005,1,5,0.07821943327895882,-0.3478167459073411
4,4.749517040113096,1,6,-0.08312350533283203,0.17746548201907103
5,1.8292216065206528,1,7,-0.05959790058849232,0.027644748609808513
6,1.293110250561281,1,8,0.029454622439582183,-0.1094501996905564
8,1.1812236986958011,1,9,-0.034673051703681,-0.06871231735876958
1,0.08119383903347596,1,10,-0.02742380714887388,-0.058890397205795884
