topic,Freq,cluster,topics,x,y
4,40.0424918293737,1,1,-0.29840622451776655,-0.10152103248099403
0,16.320938909637082,1,2,-0.28183551208985347,-0.09201120424096063
2,13.174043372024027,1,3,0.2541908311246312,-0.18830541575185655
8,11.671756537709213,1,4,0.16258842580334695,0.12000708321477035
6,10.867985700718238,1,5,-0.22176412955845357,0.04549044192936617
5,6.815552219214507,1,6,0.21637107827844698,-0.15552699658926072
7,0.5113018438298397,1,7,0.055741278985035524,0.12274243657457186
3,0.4306665422833609,1,8,0.024195355131485397,0.10135918388891166
9,0.08263152260501407,1,9,0.0470129628211243,0.07448821029906902
1,0.08263152260501407,1,10,0.0419059340220039,0.07327729315638351
