[Swedish],48,1,,1,"November 17, 2018 ",Riktigt dålig pokébowl!,,"Tonfisken var som köttfärs, det var stora bitar vattnig gurka i, och ruccola..riktigt konstig mix. 
Och verkligen inte värt 125:-...More"
[Swedish],48,45,4,3,"October 28, 2018 ",Long time no see...,,Det började med riktigt schysst kvalité och blev successivt sämre. Jag har ingen insyn i vart man sourcar sina varor...More
[Swedish],48,5,7,2,"August 28, 2018 ",Besviken kund som blir nonchalerad,"Akarp, Sweden",Har efter en flytt närmare Lund varit ett antal gånger på Zen Sushi och både hämtat mat och ätit på...More
[Swedish],48,17,31,5,"August 12, 2018 ",Lunds bästa sushi,,Mysigt liten sushi restaurang med fantastiskt god sushi. Killen som står i kassan är alltid så himla trevlig. Bästa sushi...More
[Swedish],48,190,24,5,"July 16, 2018 ",fräsch fusion sushi,"Malmo, Sweden","Trevlig & väldigt serviceminded personal! 

Roligt att det fanns 2 olika varianter på färdiga ""paket"" sushi. De brukar ju annars...More"
[Swedish],48,85,26,5,"June 15, 2018 ",Bra kvalitet och trevligt ställe i all enkelhet,"Stockholm, Sweden",Supergod sushi och annan mat ex yakitori och yakiniku. Vi har varit här flera gånger och gillar verkligen maten som...More
[Swedish],48,79,21,2,"May 24, 2018 ",Tydlig försämring,Sweden,Nu har vi ett par tre gånger i rad blivit besvikna på det sushiställe vi gillat mest. Förra gången valde...More
[Swedish],48,1,,5,"February 7, 2018 ",Bästa sushin!,,"Alltid lika gott, äter här minst 2 gånger i veckan. 
Snålar aldrig när man ber om extra topping :-)  Rekommenderar...More"
[Swedish],48,61,4,4,"January 22, 2018 ","God Sushi, stort utbud!","Malmo, Sweden",Jag och min fru prövade två olika rätter och delade. Dels en 20 bitars blandad shushi och en intressant variant...More
[Swedish],48,368,138,4,"June 27, 2017 ",Mycket god yakiniku,"Malmo, Sweden","Sushin på Zen är säkert god men varje gång jag har varit här så har jag ätit deras yakiniku, strimlad...More"
[Swedish],48,5,,2,"June 23, 2017 ",Brukade vara bra men blir allt sämre..,"Lund, Sweden",De sista gångerna vi beställt sushi här har vi börjat undra vad de håller på med. De serverar god sushi...More
[Swedish],48,126,39,3,"March 17, 2017 ",Helt ok,"Savedalen, Sweden",Centralt läge. Helt ok sushi. Helt ok personal. Hade önskat att de som tillredde maten hade haft hårnät.
[Swedish],48,7,,4,"March 1, 2017 ",Nytänk på sushi,"Lund, Sweden","Det här stället hatälskas:) 

Sushin är verkligen toppen, och det är alltid proppat med sköna smaker i flera olika serveringsformer....More"
[Swedish],48,58,23,1,"February 17, 2017 ",Trodde inte jag skulle behöva använda Hemskt på TripAdvisor,,Ikväll var det dags att åter testa Zen Sushi & Tea eftersom tjejerna var sugna på Sushi och vi ville...More
[Swedish],48,39,5,4,"January 28, 2017 ",God sushi,,Brukar köra take-away med Omakase. Lunds bästa sushi. Har käkat i restaurangen någon gång men atomsfären är sådär.
[Swedish],48,7,3,5,"January 22, 2017 ",Gott!,"Lund, Sweden",Riktigt bra sushi och ett koncept som håller hela vägen. Bra meny och trevlig personal. Mysigt att äta på plats...More
[Swedish],48,76,20,4,"December 28, 2016 ",Beställt över internet,"Aseda, Sweden",Beställde och betalade över internet vilket var mycket smidigt. Bara in och hämta. Vi tog 25bitars kockens val. Var mycket...More
[Swedish],48,39,7,5,"October 23, 2016 ",Utmärkt mat,Lund,Standard när det kommer till take away sushi. Så god mat och väldigt smidigt när man beställer via nätet. Har...More
[Swedish],48,4,,5,"October 19, 2016 ",Mycket bra!,,Det är en av lunds bästa sushi restauranger. Det är snäll och hjälpsam personal. Dom är intresserade och lyssnar noga...More
[Swedish],48,35,3,3,"October 6, 2016 ",Middag ,,Helt okay sushi. Mycket att välja på menyn och massa coola japanska (vissa är faktiskt belgiska)  öl. Inte bästa men...More
[Swedish],48,11,,5,"September 8, 2016 ",Bästa sushin i Lund,,Efter att ha testat ALLA sushiställen i Lunds centrum har jag kommit fram till att Zen är bäst. Deras kimchemayo...More
