,index_original,features,"[Chinese, (Sim.)]_Freq","[Chinese, (Trad.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
0,0,church,4.4349594910982235,0.3320827762565575,0.0,0.0,0.0,0.0,0.0,2.5988398193088242,0.0,4.215011514169728,0.0,0.0,0.0,0.0,0.0,0.0
1,1,lund,12.090496666859961,4.9998269074928565,22.626715889372807,5.067113080145505,0.0,7.0929053933730675,13.2386758754566,0.0,8.352090291823798,1.7801512983865633,3.331680847349936,2.5297505427562745,8.836459159215135,3.644652667807765,0.0,1.6818899092615067
2,2,good,2.7498331789008774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7669076507140342,0.0,0.0,0.0,0.0,0.0,0.0
3,3,famous,1.8933697633628817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,center,1.894019553675032,0.3789095165673085,0.0,1.7573241137436693,0.0,0.0,0.0,4.761198800916008,0.0,0.0,1.7463714173361011,0.0,3.616624318486571,0.0,0.0,0.0
5,5,time,1.8978097428201768,0.0,0.0,0.0,0.0,0.0,0.9994932350117416,0.0,0.0,0.14837428978524286,0.0,2.56250833973478,0.0,2.7784077329725374,0.0,0.0
6,6,amazing,1.8670324453901928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,main,1.8757810761201603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,cathedral,4.450389510262377,6.036844910562782,27.33867410362062,0.0,0.0,11.052813418137484,13.604738927911205,0.0,5.906485418218223,0.0,2.5313025570127548,2.5295956221591336,15.758479287298384,8.882973153854385,0.0,0.913677603025098
9,9,university,1.8688326313540609,0.0,2.8448811230214752,1.801186472357193,0.0,0.0,3.519900418335502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14332876806276199
10,10,visit,1.0462282914342758,0.0,13.832272357952185,0.9736423014846762,0.0,2.762735005141065,5.999992370804219,0.0,0.0,0.0,0.0,0.0,0.0,3.6197396644770174,0.0,0.0
11,11,located,1.0277846140575058,1.0070176326419382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597493414396401,0.0,0.0,0.0,0.0,0.0,0.0
12,12,structure,1.0334130861400466,1.0126842284207205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,scenery,1.0433668859904912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,park,1.026210627854247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9526162707715536,0.0,0.0,0.0,0.0
15,15,garden,1.0227519312597768,0.0,0.0,0.14608351752524845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570102094398428,0.0,0.0,45.69170527144856,0.0
16,16,great,1.0083844011191117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,train,0.4732816128854345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,39,0.5198073675933828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266186332745662,0.9646430270894376,0.0,0.0,0.0,0.0,0.0,0.13881548893952356
19,19,went,0.15863505152169832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9687969075794688,0.0,0.0,0.0,0.0
20,20,sweden,0.0,1.0073007618444358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9392901076355896,0.0,0.0,0.0,0.0
21,21,building,0.0,0.16821648292485727,0.0,4.251353783930273,0.0,0.0,0.0,0.0,0.0,0.0,0.9563315537658141,0.0,1.9045677959573768,0.0,0.0,0.0
22,22,place,0.0,0.14560132803339434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431805744200144,0.0,0.0,2.7816482786749246,0.0,0.0
23,23,beautiful,0.0,0.0,33.07930275461145,1.8136751142915155,0.0,10.098355822765354,0.0,0.0,0.0,0.96241060079237,0.14499564038286275,3.362851048784142,0.0,6.281186635747979,0.0,0.0
24,24,details,0.0,0.0,3.7413902450624046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,really,0.0,0.0,5.540622354707104,0.0,0.0,0.0,0.0,0.0,0.0,0.16991230234503935,0.9449720931319758,0.0,0.0,0.0,0.0,0.0
