,index_original,features,"[Chinese, (Sim.)]_Freq","[Chinese, (Trad.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
30,30,basement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,flowers,0.0,0.0,0.0,0.0,0.0,0.8599983502412091,0.0,0.0,0.0,0.0,0.0,0.0,0.7774351044145841,0.0,0.0,0.0
33,33,christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936669031470697,0.0
34,34,decorated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738558131170442,0.0,0.0,0.0,0.0,0.0,0.0
35,35,ages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,usually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,centrally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,dom,0.0,0.0,0.0,0.12230772386646532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,town,0.0,0.0,0.0,0.7867679925396589,0.0,0.0,0.0,0.9661305289431849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,student,0.0,0.0,0.0,0.7774349992489248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,accessible,0.0,0.0,0.0,0.0,0.0,0.0,1.5173338386382416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,outside,0.0,0.0,2.883801539678072,0.12270727093849584,0.0,0.0,1.4745137063429286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,impressive,0.0,0.0,0.0,0.12098796592541332,0.0,0.0,1.5256958493125892,0.0,0.0,0.1165415322940536,0.0,0.0,0.0,0.0,0.0,0.0
45,45,worth,0.0,0.0,0.0,0.0,0.0,0.0,0.817519042271402,0.9219629210683512,0.0,1.3897226761726376,0.14482576516942408,1.5967165311350835,0.0,0.0,0.0,0.0
46,46,quiet,0.0,0.0,0.0,1.4208123663708436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,inside,0.0,0.0,1.5112608855298737,0.0,0.0,0.0,0.0,0.0,0.0,0.7464601770282865,0.0,0.0,0.0,0.0,0.0,0.115115562803643
48,48,nice,0.0,0.0,0.0,0.0,0.0,0.8453203407020473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7240404939655437,0.0,0.0
49,49,museum,0.11395640385139467,0.0,0.0,0.12401611709217952,0.0,0.0,0.0,0.0,0.9069445942716486,0.11441773677351845,1.5007834901496373,0.0,0.0,0.0,46.16294706827211,0.0
50,50,romanesque,0.0,0.0,0.0,0.1197020548755524,0.0,0.0,0.0,0.0,0.0,0.0,0.14553247342602593,0.0,0.0,0.0,0.0,0.0
51,51,gardens,0.0,0.0,0.0,0.7749912673437193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1202850121551867,0.0,0.0
52,52,clock,0.0,0.0,0.0,0.12206564880749785,0.0,0.0,2.9167042020796563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12386898646903614
53,53,astronomical,0.0,0.0,0.0,0.0,0.0,0.0,1.5199223814294045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,crypt,0.0,0.0,0.0,0.0,0.0,0.8583975811035313,0.8399267007556531,0.929700285557992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,tour,0.0,0.0,0.0,0.0,0.0,0.8490598504294765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3772292154071928,0.0,0.0,0.0,0.0,0.0,0.0
57,57,sketches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444922887351918,0.0
58,58,english,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,giant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,finn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,artists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7305845003736113,0.0
64,64,art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,skissernas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,century,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,pieces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,guided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,unmissable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,concert,0.0,0.0,0.8142730303300966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,life,1.3455844503883243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6583755781803355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630796262869203,0.0,0.0,7.3342738355730415,0.0
74,74,houses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8988712038959084,0.0,0.0,0.13748077459929145,0.0,0.0,0.0,0.0
75,75,open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578692903335855,0.0,0.0,0.0,0.0
76,76,missed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4500973793580043,0.0,0.0,0.0
78,78,oldest,0.0,0.0,0.0,0.0,0.0,0.8360400596185661,0.0,0.9315134230548388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,seen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,churches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,entrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046403109865356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
