[Italian],13,161,66,4,"November 6, 2016 ",Pizza buonissima,"Hoor, Sweden","Locale piccolo e fuori mano. Ottimo servizio e ottima pizza, che batte tantissime pizzerie italiane (in Italia). Impasto sottile croccante...More"
[Italian],13,17,5,5,"October 2, 2016 ",Ottimo! ,"Lund, Sweden","In Italia sarebbe semplicemente una buona pizza, ma in Svezia è eccezionale! Ottimi ingredienti e qualità"
[Italian],13,144,26,3,"September 25, 2016 ",Buona pizza,"Genoa, Italy","Sono stato attirato dalle ottime recensioni , per cui le aspettative forse erano un po' troppo alte. Comunque, la pizza...More"
[German],9,1,1,5,"September 23, 2018 ",Rabatte für Pensionsgäste des Nachbarhauses und alle Studierenden,,Sehr köstliche und überaus schmackhafte Gerichte. Große Auswahl an Getränken und Speisen. Netter und zuvorkommender Service. Wir sind auf unser...More
[German],9,2,,3,"July 21, 2018 ",Besseres erwartet,,"Überall wurde das Restaurant hochgelobt, allerdings fehlte beim Essen vor allem die Gewürze. Ich habe das gleiche Gericht gegessen, wie...More"
[German],9,165,41,4,"June 16, 2018 ",Einfach aber gut,,"Service hervorragend, Pizzen gut. Preis / Leistungsverhältnis für Schweden absolut in Ordnung. Waren mit mehreren Leuten dort und alle waren...More"
[German],9,13,4,5,"April 2, 2018 ",Beste Pizza außerhalb Italiens,,"Wir waren zu fünft und hatten  verschiedene Pizzen. Alle waren superlecker. Dünner Boden, crosser Rand. Unser italienischer Begleiter, der sehr...More"
[German],9,1,1,5,"October 6, 2016 ",Super gute Pizza,,personal sehr freundlich.  Service ebenfalls sehr freundlich und für  Kundenwünsche immer ein offenes Ohr.  Essen super lecker und Preise angemessen....More
[German],9,1,1,5,"October 4, 2016 ",Beste Pizza in Lund,"Cologne, Germany","Service war Top! Essen war von bester Qualität ,Personal war sehr nett und freundlich,Es wurde auf Kundenwünsche eingegangen.Restaurant mitterer Größe...More"
[German],9,3,5,5,"October 1, 2016 ",Pizza,"Kappel, Switzerland","Sehr feine Pizza, wie man sie in Napoli findet! Mann kann dieses Restaurant nur empfehlen! Die Preise sind für Schweden...More"
[German],9,1,1,5,"September 14, 2016 ",Die besten Pizza die ich jemals gegesen habe!!,Switzerland,"Wir waren mit einem Freund geschäftlich unterwegs und suchten eine gute Pizzeria!!
Durch Tripadvisor sind wir hier auf einer super...More"
[German],9,2,1,5,"August 15, 2016 ",Toller Italiener in Lund,"Elmshorn, Germany","Auf der Suche nach gutem, bezahlbaren Essen sind wir über diesen Italiener gestolpert, etwas abseits vom Zentrum. Mitten im Wohngebiet...More"
[Danish],8,31,1,4,"October 29, 2018 ",Rigtig gode pizzaer,"Copenhagen, Denmark","Virkelig et fint pizza-sted. De laver selv en virkelig frisk og lækker tomatsauce!
Det er både restaurant og hentested så...More"
[Danish],8,20,2,4,"May 12, 2018 ",Spis med de lokale,"Copenhagen, Denmark","Pasta, pizza eller pannacotta til en rimelig pris - spis med de mennesker, der bor i byen. Stedet er meget...More"
[Danish],8,6,2,5,"July 28, 2017 ",Verdensklasse-pizza,"Esbjerg, Denmark","Nød den bedste pizza i evigheder. Alle råvarer er i prima kvalitet (især bøffelmozzarella), og pizzaerne bages til perfektion i...More"
[Danish],8,279,179,5,"February 17, 2017 ",Man skal ikke skue hunden på hårene!,"Aabenraa, Denmark",Stedet ser ikke ud af meget og ligger lidt væk fra Lunds centrum i et villakvarter. Men ikke siden en...More
[Danish],8,16,1,4,"October 13, 2016 ",Sjovt sted,"Odense, Denmark",Fulgte TripAdvisor og fandt frem til denne uprætentiøse restaurant i et villakvarter lidt fra centrum fik en fin pasta med...More
[Danish],8,4,1,5,"August 8, 2016 ",Perfekt,"Lund, Sweden",Vi (min kone og jeg) havde en favorit restaurant i Lund. Den er nu ændret efter vi i går var...More
[Danish],8,1,1,5,"August 2, 2016 ",Fantastisk mad og personale ,,"Virkelig god mad og god betjening. Yderst tilfreds.. 
Værd at køre efter. 
Virkelig lækker Italiensk mad, pizzaen vi fik var...More"
[Danish],8,2,1,4,"July 30, 2016 ",Gode pizza og venlig betjening,"Lund, Sweden","Jeg fandt Lars Cucina kun via TripAdvisor. Restauranten ligger i et roligt villakvarter, hvor man ikke tilfældigt kommer forbi. Stedet...More"
[Dutch],4,1,,5,"December 9, 2018 ","Zeer aangenaam kader, vriendelijk personeel, Best Pizza Ever","Hooglede, Belgium","Zeer vriendelijk personeel, 
Lekkerste pizza ooit,
een aanrader om naar toe te gaan,
Niet bepaald gemakkelijk om te vinden, maar...More"
[Dutch],4,101,28,5,"December 7, 2018 ",Best pizza ever,"Waregem, Belgium",Beetje moeilijk te vinden maar het is de wandeling meer dan waard. Dit zijn werkelijk de beste pizza's die ooit...More
[Dutch],4,20,6,5,"December 11, 2016 ",Het wachten meer dan waard,"Leerdam, The Netherlands","Voor het eerst in Lund en dus naar La Cucina. Ons werd vriendelijk verteld dat het nog wel 1,5 uur...More"
[Dutch],4,10,1,5,"November 20, 2016 ",Goede kwaliteit pizza's,"Maastricht, The Netherlands",Na een leuke sportieve dag hebben we genoten van heerlijke pizza's bij La Cucina. De pizza's waren van goede kwaliteit...More
[Norwegian],3,10,,4,"July 30, 2018 ",Pizza place ,"Levanger, Norway","Pizza av ypperlig kvalitet, og fin atmosfære. Populært sted. Spesialister på pizza og anbefales om man har lyst på pizza...More"
[Norwegian],3,17,6,5,"August 4, 2017 ",Hyggelig atmosfære og fantastisk pizza!,Norway,"Vi fant denne koselige restauranten på TripAdvisor, og bestemte oss for å sjekke ut om de gode anmeldelsene stemte. Vi...More"
[Norwegian],3,1,1,5,"August 6, 2016 ",Italiensk mat ,,La Cucina byr på italiensk mat i toppklasse. Helt fantastisk mat og service. Stedet anbefales sterkt til alle sammen💯👍🏽
[Polish],1,9,4,5,"December 14, 2017 ",Przepyszna prawdziwa pizza neapolitańska ,,"Pizza pyszna !! Jakoś składników bardzo dobra. Ceny jak na Szwecję normalne, całkiem przystępne. Można poczuć klimat prawdziwej włoskiej restauracji....More"
[Turkish],1,25,20,5,"January 6, 2017 ",Efsane,"Turkish Aegean Coast, Turkey","Mükemmel bir İtalyan restaurantı. Şarapları harika. Pizzaları mükemmel. Deniz mahsüllü pizzayı kesinlikle deneyin. Gerek şefleri, gerekse garsonlar çok ilgililer. Lund'a...More"
