[],English,15,8,5,"June 29, 2017 ",Utmärkt vegetarisk resturang,,"Goda soppor och numera också lunch, allt vegetariskt, vissa rätter veganska. Trevliga samtal med andra gäster och personalen får man...More"
[],English,4,1,4,"May 4, 2017 ",Toppenvegetariskt i Lund,,"Jättegod mat, mycket att välja på. Stort plus att det dessutom är ekologisk mat! Framförallt indisk mat."
[],English,11,3,5,"September 26, 2016 ","Supergott, ekologiskt, veganskt och glutenfritt","Stockholm, Sweden","Gå hit och käka lunch!
Magen myser och soppor är en underskattad måltid. Mysig personal ger värme till den ganska...More"
[],English,1,1,5,"August 27, 2016 ",Ekologisk och mycket god mat! Kl 11-14.,,"God och giftfri mat, det uppskattar jag!! Ät av alla sopporna och tillbehören för 75 kr. Platsen är också mycket...More"
[Swedish],4,15,8,5,"June 29, 2017 ",Utmärkt vegetarisk resturang,,"Goda soppor och numera också lunch, allt vegetariskt, vissa rätter veganska. Trevliga samtal med andra gäster och personalen får man...More"
[Swedish],4,4,1,4,"May 4, 2017 ",Toppenvegetariskt i Lund,,"Jättegod mat, mycket att välja på. Stort plus att det dessutom är ekologisk mat! Framförallt indisk mat."
[Swedish],4,11,3,5,"September 26, 2016 ","Supergott, ekologiskt, veganskt och glutenfritt","Stockholm, Sweden","Gå hit och käka lunch!
Magen myser och soppor är en underskattad måltid. Mysig personal ger värme till den ganska...More"
[Swedish],4,1,1,5,"August 27, 2016 ",Ekologisk och mycket god mat! Kl 11-14.,,"God och giftfri mat, det uppskattar jag!! Ät av alla sopporna och tillbehören för 75 kr. Platsen är också mycket...More"
