left,top,right,bottom,id,ID_count,ID_unique,ID_empty,ID_filled,ID_min,ID_max,ID_min_length,ID_max_length,ID_mean_length,lan_long_count,lan_long_unique,lan_long_empty,lan_long_filled,lan_long_min,lan_long_max,lan_long_min_length,lan_long_max_length,lan_long_mean_length,pic_code_count,pic_code_unique,pic_code_empty,pic_code_filled,pic_code_min,pic_code_max,pic_code_min_length,pic_code_max_length,pic_code_mean_length,lan_count,lan_unique,lan_min,lan_max,lan_range,lan_sum,lan_mean,lan_median,lan_stddev,lan_minority,lan_majority,lan_q1,lan_q3,lan_iqr,long_count,long_unique,long_min,long_max,long_range,long_sum,long_mean,long_median,long_stddev,long_minority,long_majority,long_q1,long_q3,long_iqr
856863.0750757124042138,-3665328.7063381741754711,857063.0750757124042138,-3665528.7063381741754711,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3665528.7063381741754711,857063.0750757124042138,-3665728.7063381741754711,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3665728.7063381741754711,857063.0750757124042138,-3665928.7063381741754711,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3665928.7063381741754711,857063.0750757124042138,-3666128.7063381741754711,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3666128.7063381741754711,857063.0750757124042138,-3666328.7063381741754711,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3666328.7063381741754711,857063.0750757124042138,-3666528.7063381741754711,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3666528.7063381741754711,857063.0750757124042138,-3666728.7063381741754711,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3666728.7063381741754711,857063.0750757124042138,-3666928.7063381741754711,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3666928.7063381741754711,857063.0750757124042138,-3667128.7063381741754711,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3667128.7063381741754711,857063.0750757124042138,-3667328.7063381741754711,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3667328.7063381741754711,857063.0750757124042138,-3667528.7063381741754711,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3667528.7063381741754711,857063.0750757124042138,-3667728.7063381741754711,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3667728.7063381741754711,857063.0750757124042138,-3667928.7063381741754711,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3667928.7063381741754711,857063.0750757124042138,-3668128.7063381741754711,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3668128.7063381741754711,857063.0750757124042138,-3668328.7063381741754711,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3668328.7063381741754711,857063.0750757124042138,-3668528.7063381741754711,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3668528.7063381741754711,857063.0750757124042138,-3668728.7063381741754711,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3668728.7063381741754711,857063.0750757124042138,-3668928.7063381741754711,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3668928.7063381741754711,857063.0750757124042138,-3669128.7063381741754711,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3669128.7063381741754711,857063.0750757124042138,-3669328.7063381741754711,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3669328.7063381741754711,857063.0750757124042138,-3669528.7063381741754711,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3669528.7063381741754711,857063.0750757124042138,-3669728.7063381741754711,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3669728.7063381741754711,857063.0750757124042138,-3669928.7063381741754711,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3669928.7063381741754711,857063.0750757124042138,-3670128.7063381741754711,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3670128.7063381741754711,857063.0750757124042138,-3670328.7063381741754711,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3670328.7063381741754711,857063.0750757124042138,-3670528.7063381741754711,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3670528.7063381741754711,857063.0750757124042138,-3670728.7063381741754711,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3670728.7063381741754711,857063.0750757124042138,-3670928.7063381741754711,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3670928.7063381741754711,857063.0750757124042138,-3671128.7063381741754711,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3671128.7063381741754711,857063.0750757124042138,-3671328.7063381741754711,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3671328.7063381741754711,857063.0750757124042138,-3671528.7063381741754711,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3671528.7063381741754711,857063.0750757124042138,-3671728.7063381741754711,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3671728.7063381741754711,857063.0750757124042138,-3671928.7063381741754711,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3671928.7063381741754711,857063.0750757124042138,-3672128.7063381741754711,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3672128.7063381741754711,857063.0750757124042138,-3672328.7063381741754711,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3672328.7063381741754711,857063.0750757124042138,-3672528.7063381741754711,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3672528.7063381741754711,857063.0750757124042138,-3672728.7063381741754711,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856863.0750757124042138,-3672728.7063381741754711,857063.0750757124042138,-3672928.7063381741754711,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857063.0750757124042138,-3665328.7063381741754711,857263.0750757124042138,-3665528.7063381741754711,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857063.0750757124042138,-3665528.7063381741754711,857263.0750757124042138,-3665728.7063381741754711,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857063.0750757124042138,-3665728.7063381741754711,857263.0750757124042138,-3665928.7063381741754711,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
