review language,poi_name,poi_id,total review count,average rating score,price,address,postcode,category,review count by language,author contributions,author_votes,rating score,rating date,rating title,rating place,text
"[Chinese, (Sim.)]",27,27,27,27,27,27,27,27,27,15,8,27,27,27,10,27
[Danish],142,142,142,142,142,142,137,142,142,142,124,142,142,142,114,142
[Dutch],50,50,50,50,50,50,46,50,50,50,42,50,50,50,37,50
[English],2490,2490,2490,2490,2490,2490,2331,2490,2490,2469,2147,2490,2490,2490,1969,2490
[Finnish],4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4
[French],52,52,52,52,52,52,51,52,52,52,47,52,52,52,42,52
[German],96,96,96,96,96,96,92,96,96,96,89,96,96,96,66,96
[Greek],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[Italian],140,140,140,140,140,140,128,140,140,140,137,140,140,140,116,140
[Japanese],33,33,33,33,33,33,27,33,33,33,32,33,33,33,24,33
[Norwegian],38,38,38,38,38,38,35,38,38,38,23,38,38,38,29,38
[Polish],4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,4
[Portuguese],22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,22
[Russian],18,18,18,18,18,18,17,18,18,18,15,18,18,18,13,18
[Serbian],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[Spanish],27,27,27,27,27,27,25,27,27,27,27,27,27,27,27,27
[Swedish],3948,3948,3948,3948,3948,3948,3720,3948,3948,3945,3304,3948,3948,3948,2799,3948
[Turkish],4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
