field_1,ID,lan_long,pic_code,lan,long,a,b,c,d,e,f,g,h,i,j,k
"2664",Lund_02669,"55.7107811,13.181663",AF1QipOeWjdgEnNs2gp-oZJXcWC1iupPl2U3de9UFBym,55.710781099999998,13.181663000000000,,,,,,,,,,,
"2741",Lund_02746,"55.7079244,13.1889937",AF1QipNEM0qtaspq2ULNPBIupR1omaePB-zSJEbrL7Zb,55.707924399999996,13.188993700000001,Lund_02746,Building,Architecture,Restaurant,Font,Facade,Signage,,,,
"770",Lund_00771,"55.705978,13.196264",AF1QipPT8WfVY5FoERjdWACwt1j5yDHlGe37ardJ6oCT,55.705978000000002,13.196264000000001,Lund_00771,Building,Estate,Palace,Mansion,Official residence,Château,Stately home,Landmark,Classical architecture,Presidential palace
"887",Lund_00888,"55.705978,13.196264",AF1QipOw1bL_zxOxdeq2tm0fv-8HisfnM0k7rpYvN6Wj,55.705978000000002,13.196264000000001,Lund_00888,Estate,Building,Landmark,Mansion,Palace,Official residence,Stately home,Property,Presidential palace,Architecture
"2783",Lund_02788,"55.6995641,13.2431078",AF1QipNZ3ZQyGx8pC19advc4JRNaWzfeEgPY1n2Wzra2,55.699564100000003,13.243107800000001,Lund_02788,Tree,Green,Grass,Vegetation,Natural landscape,Plant,Woody plant,Land lot,Spring,Lawn
"1636",Lund_01637,"55.7042547,13.1973299",AF1QipMzjX0rcBs6W-KtKbx_yinAp-MCqM-tWdXpEKtT,55.704254700000000,13.197329900000000,Lund_01637,Property,Cottage,House,Building,Roof,Home,Farmhouse,Rural area,Real estate,Tree
"2256",Lund_02258,"55.6966644,13.2465241",AF1QipOJzyVV9DFZECb0hCk3pZx6-nCgc21nsQnaeoXc,55.696664399999996,13.246524100000000,Lund_02258,Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant
"2286",Lund_02288,"55.6966644,13.2465241",AF1QipOtI7twQzT6WZVzLXGhurH_wcuEqVeINlRhru6i,55.696664399999996,13.246524100000000,Lund_02288,Snow,Winter,Architecture,Property,Freezing,Transport,Neighbourhood,Mixed-use,Building,Residential area
"2441",Lund_02446,"55.6966644,13.2465241",AF1QipNwcndJmKLL7jCqG2s3OCnZWUa8KJ6iNmGKlM7j,55.696664399999996,13.246524100000000,Lund_02446,Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant
"2484",Lund_02489,"55.6966644,13.2465241",AF1QipPsaGzbuXP3MUA0OMdpcmpOZSHhtxJEIDwPw7N9,55.696664399999996,13.246524100000000,Lund_02489,Leaf,Tree,Sky,Autumn,Natural landscape,Residential area,Daytime,Real estate,Public space,Neighbourhood
"2617",Lund_02622,"55.6966644,13.2465241",AF1QipMd5Im1NKjiJ-p_iyWMFPpIaSEQYzNRgL9uIKEm,55.696664399999996,13.246524100000000,Lund_02622,Residential area,Property,Architecture,Building,House,Apartment,Real estate,Facade,Neighbourhood,Home
"2753",Lund_02758,"55.6966644,13.2465241",AF1QipP6Vk3WO57608VL4ztHwGzkZ6r6MGjYnUIIGI9J,55.696664399999996,13.246524100000000,Lund_02758,Flower,Plant,Garden,Shrub,Landscape,Yard,Flowering plant,Landscaping,Grass,Annual plant
"2955",Lund_03031,"55.6966644,13.2465241",AF1QipOAbs8az7CjtfozDAqu_94PqwZ7MJf3QKcltGbE,55.696664399999996,13.246524100000000,Lund_03031,Road,Asphalt,Property,Lane,Residential area,Infrastructure,Road surface,Thoroughfare,Tree,Architecture
"2965",Lund_03044,"55.6966644,13.2465241",AF1QipP4BRCK1NAHfMPBF1CfEmJPUUrAD2DtdcJfThmS,55.696664399999996,13.246524100000000,Lund_03044,Residential area,Property,Architecture,Building,House,Apartment,Real estate,Facade,Neighbourhood,Home
"2980",Lund_03078,"55.6966644,13.2465241",AF1QipOudC2Sm1KTEZr-W4HfxJu2vynimO3neDrjsQGU,55.696664399999996,13.246524100000000,Lund_03078,Property,Residential area,Land lot,Architecture,Tree,Grass,Grass family,House,Plant,Building
"0",Lund_00001,"55.7046601,13.1910073",AF1QipORzUOzzjAZzMc6UjcL21gmM3v6jY3x4gL6g7BZ,55.704660100000005,13.191007300000001,Lund_00001,Building,Landmark,Town,Architecture,City,Property,Human settlement,Facade,Mixed-use,Sky
"1",Lund_00002,"55.7046601,13.1910073",AF1QipNmJAa0_UzfmN0ApXBLrYVsGhjsKinDxQOAEKNF,55.704660100000005,13.191007300000001,Lund_00002,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Official residence,Mansion,Courthouse,House
"3",Lund_00004,"55.7046601,13.1910073",AF1QipPje9dS42dth7KteE4baH7Qc7z3K6AifsLt2jWk,55.704660100000005,13.191007300000001,Lund_00004,Building,Landmark,Palace,Architecture,Mansion,Official residence,Estate,Presidential palace,Classical architecture,Tourism
"4",Lund_00005,"55.7046601,13.1910073",AF1QipO090F4ay9dH788zZv310MwCSfEPB5dod1BQKGN,55.704660100000005,13.191007300000001,Lund_00005,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,Stately home,Tree
"5",Lund_00006,"55.7046601,13.1910073",AF1QipPIOY_LOYxr8Q4PiSRhzqabGMlEk49fH-Cm1ckH,55.704660100000005,13.191007300000001,Lund_00006,Garden,Botanical garden,Park,Botany,Lawn,Spring,Plant,Tree,Grass,Landscaping
"6",Lund_00007,"55.7046601,13.1910073",AF1QipP9qV7cDIVhOEWN2XsF6BXcDi12r6xBcbSDGM1h,55.704660100000005,13.191007300000001,Lund_00007,Building,Architecture,Landmark,Town,Transport,City,Mixed-use,Tree,Facade,House
"7",Lund_00008,"55.7046601,13.1910073",AF1QipO0D6cJBdC4PrdR2xR78vTKJiPORDW_NjRzMkpd,55.704660100000005,13.191007300000001,Lund_00008,Landmark,Spire,Building,Architecture,Steeple,Church,Place of worship,Parish,Tree,Sky
"8",Lund_00009,"55.7018149,13.1947216",AF1QipNUpyRpK9BfgxOfnJAlq62HuGxHwl10obOZ4MZX,55.701814899999995,13.194721599999999,Lund_00009,Building,Awning,Kiosk,,,,,,,
