,"[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-0.68595415,-1.203372,-0.82307357,-0.50010234,-0.7764503,-0.7080584,-0.69729954,-0.610375,-0.9370455,-1.1873754,-0.6029611,-0.8282036,-0.7570619,-1.0914358,-0.95364124,-0.5374712
1,0.20898205,-0.032909352,0.26140088,-0.49383146,0.37253898,0.1573637,-0.30219862,-0.14099248,-0.12839319,-0.10646851,-0.03190463,-0.063236356,0.16012783,0.10468359,-0.56727296,-0.013199095
2,0.3404028,0.78373176,0.7750413,-0.06794904,0.7755133,0.55162054,0.1608237,0.30438486,0.19936588,0.13045576,0.5122218,-0.30199644,0.27155003,0.37969533,0.38783583,-0.028948408
3,-0.23050752,-0.1484478,-0.13967457,-0.20416199,-0.20454602,-0.3551329,-0.5263458,-0.03801645,-0.021650374,-0.26066396,-0.41369784,0.13306554,-0.2572613,-0.528176,-0.3054285,-0.47359848
4,0.46118686,0.65090555,-0.3568094,0.088340096,0.25403062,0.10075978,0.017446967,0.2033506,0.063410856,-0.2444205,-0.09142314,0.12357985,0.05466016,0.11368507,-0.15009041,-0.3729584
5,-0.2931793,0.11911009,-0.24873732,-0.4518142,-0.050058406,-0.57350534,-0.40805322,-0.20043316,-0.3014212,-0.11607669,-0.145653,-0.019874962,-0.51109475,-0.5545938,-0.2355949,-0.18542893
6,-0.6477123,-0.99420947,-0.7743605,-0.55912334,-0.88890535,-0.48140228,-0.9069062,-0.64943874,-0.72568595,-0.7197143,-0.90080816,-0.44254678,-0.6157749,-0.89931864,-0.80598027,-0.68965423
7,-0.23450118,-0.031167256,-0.36809942,0.40460742,-0.41301554,0.15369107,0.110331416,0.060282934,0.06388993,0.053857632,-0.23127496,0.6110785,-0.051078364,-0.2916681,-0.103335656,0.44789016
8,0.7472387,0.47707933,0.8134445,-0.10450138,0.22048041,-0.20242263,0.46456867,0.7517664,0.80916363,0.55413026,0.970786,0.57465506,0.868105,0.5988773,0.33822516,0.39696428
9,0.9158579,0.6517002,0.28783128,0.7759175,0.5127637,-0.1065393,0.6916133,0.7846646,0.66303855,0.59399647,0.6734603,0.7574011,0.55428684,0.7778492,0.5007495,0.38465175
