,"[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-0.4213046,-1.3450094,-0.30419657,-0.78594565,-0.40937197,-0.4479121,-0.970872,-0.4095861,-0.6133685,-0.71045023,-0.7907736,-0.33549392,-0.54579926,-1.0547463,-0.6687751,-0.4000947
1,0.45528707,-0.14883883,0.11067486,-0.029901035,0.064165026,0.4500971,-0.16397274,0.21300407,0.19425438,-0.22044155,-0.028828073,0.24476834,-0.24290982,0.031910628,-0.40826336,-0.014990279
2,0.4535397,0.9089275,0.70559174,-0.16477801,0.55330896,0.19056563,0.29266566,0.12516494,0.6977787,0.40703708,0.46960643,0.81420386,0.5246147,0.5640391,-0.086031295,-0.068525836
3,0.0031054812,0.18597974,-0.17787799,-0.4584364,0.1840777,0.17886494,0.65931696,-0.3785182,0.6551167,-0.19748107,-0.56774116,-0.5001853,-0.35220554,-0.52708006,0.03405328,-0.05595386
4,0.25897682,0.17099266,-0.25854546,0.39600125,0.11770923,0.13770653,0.26927978,0.3524771,0.06872844,-0.34774917,0.0873007,-0.23284994,-0.16376312,0.14420944,0.55003554,-0.44761074
5,0.09414933,0.28078744,0.29329756,-0.121607415,-0.19149143,-0.5460194,-0.19105347,-0.22378004,-0.10915279,0.07671842,-0.2152905,0.0012289631,-0.68089646,-0.3617694,-0.4108806,-0.3490982
6,-0.87015975,-0.9911458,-0.86099,-0.8482606,-0.831023,-0.39923576,-0.486939,-0.7962246,-0.021007285,-0.6610749,-0.6067819,-0.8595331,-0.86415243,-1.2603921,0.06464451,-0.6993756
7,-0.3664743,0.21336015,0.1540866,-0.114540264,-0.27823457,0.11623499,-0.37881085,-0.28054923,-0.71408355,0.008968077,-0.29253837,-0.055357274,-0.41059566,-0.33461916,-0.23338838,0.44279778
8,0.7482096,0.4302571,1.0828384,0.19992223,0.6327306,0.30265415,0.08172287,0.48350447,0.046196736,0.5124449,0.73173434,1.2242897,0.86120176,1.0742257,-0.090315245,0.3673167
9,0.99942416,0.4331172,0.6474482,0.5290914,0.19304124,0.5964977,0.009329395,0.63939565,0.13455842,0.951492,0.43843305,0.50451815,0.6110916,0.4390979,0.4292239,0.3331095
10,0.052822866,0.21330486,1.2163621,0.067871235,-0.19305277,0.4868338,-0.100206584,-0.22510763,-0.09401772,0.47216555,0.20095016,-0.1385374,-0.13398634,0.022910824,0.035562478,0.80061406
11,-0.6965997,-0.4303839,-0.90704125,-0.39320362,-0.75951385,-0.9083333,-0.3893243,-0.2816566,-0.9557059,-0.32199767,-0.4768803,-0.48820102,-0.3881852,-0.74258214,0.14000571,-0.2831546
12,1.1040782,0.6814192,1.1829647,0.74053353,0.12939772,0.37643188,0.54099774,0.6080119,0.8461018,0.90527993,1.2918941,0.4817899,0.90332913,0.39165673,1.0002806,0.7406495
13,0.2104286,0.6697569,-0.029320136,0.40703538,0.0006284368,0.71569705,0.9227326,0.008268299,0.24476244,0.24822432,0.40907302,-0.36492708,0.33019683,0.79577863,0.147563,0.13110983
14,-0.32573754,-0.44987482,0.00018156886,-0.10947007,-0.09996268,-0.06997529,-0.09870689,-0.0117433,-0.20337996,0.24914818,-0.2846948,0.37046224,-0.374459,-0.17040898,-0.7588292,-0.005394985
15,-0.20600235,-0.120886944,-0.27673522,-0.7885028,-0.10185602,-0.8280152,-0.28452596,-0.55627173,-0.44677177,-0.68480253,-0.4092681,-0.010264452,-0.29219836,-0.19165054,-0.6774949,-0.5715189
16,-0.44252604,-0.552563,-0.4334594,-0.621874,-0.47261432,-0.18604147,-0.08548728,-0.5776564,-0.060944814,-0.5092519,-0.44823906,-0.59629285,-0.51036924,0.012642069,-0.7168367,-1.0195245
17,0.29436958,0.96028095,0.42481753,0.16928463,0.20238571,-0.08810236,0.38481122,-0.20432879,0.34940267,0.024459317,0.46700582,0.46930182,0.34992012,0.3052386,-0.10685008,-0.44039685
18,1.246632,0.5444825,0.7477461,1.0002402,0.5748436,0.78638136,0.6831453,1.347024,0.84091264,1.1390917,1.160946,0.87699336,0.58731216,0.5620318,1.2921209,1.1277976
19,-0.57937527,-0.18728101,-0.365438,-0.14013363,0.04646083,0.1848663,-0.13138838,-0.20335005,0.2517745,-0.900061,-0.5651588,-0.34667608,-0.5207437,-0.83813995,-0.105779774,-0.26230764
20,0.77128047,0.001870515,0.86982316,0.84787935,0.83943903,0.88030106,0.4199393,1.1324581,1.0637136,1.3052406,0.7291026,0.9319929,0.5979829,1.1139059,0.775467,0.4407106
21,0.9940371,1.0330436,1.093118,0.6623949,0.69970053,1.004344,0.28597078,0.9752037,0.4901857,0.5205956,1.4171379,1.2408838,0.81620324,0.82805914,0.68509316,0.50216806
22,-1.3355398,-1.0941098,-1.4151187,-1.1280842,-1.1871306,-0.91104394,-0.5368762,-1.1126801,-1.0941663,-0.90966797,-0.9325815,-1.4379951,-1.1486926,-1.4396565,-0.9386837,-1.1469923
23,0.11601142,-0.05485656,0.27873343,0.095273115,0.42036816,0.15561436,0.07548927,0.25940946,0.14462581,-0.22163075,-0.16164035,0.06590733,0.037472446,-0.26923832,0.30908573,0.10651639
24,-0.5391533,-0.20924905,-0.64891154,-0.03473412,-0.26026574,-0.10953678,-0.34817016,0.37157103,-0.3428817,-0.3135169,-0.58091253,0.046097957,-0.35030678,-0.8482444,0.39324796,0.09432949
25,-0.7171795,-1.1609985,0.13975388,-0.75526077,-0.4296172,0.05381608,-0.47625607,-0.4328992,-0.30145118,-0.50667155,0.057297263,-0.17369752,-0.39366776,-0.231724,-0.19960146,-0.3086878
26,-0.6551175,-1.0765039,-0.8730472,-0.4774799,-1.3489031,-0.8012815,-1.1267774,-0.73387915,-1.2687157,-1.0314116,-0.64814043,-0.61543995,-0.8528089,-0.82151204,-0.39207852,-0.586517
27,-0.44723475,-0.34065935,-0.041167006,-0.52423006,-0.6771929,-0.2400443,-0.6749392,-0.64214516,-0.7147494,-0.63938445,-0.72914666,-0.5698801,-0.7690673,-0.3487764,-0.22253501,-1.1560836
28,-0.67761457,-1.0278691,-0.7815458,-0.9601316,0.2019502,-0.51309705,-0.5902663,-0.50819254,0.16959709,-0.91540194,-1.4781473,-0.43613347,-0.33867198,-0.39452085,-0.8641641,-1.2731619
29,0.31510442,0.8187769,0.36455703,0.82103765,-0.048856255,0.43873826,0.3986272,0.3098722,0.33851504,0.88032717,0.26376382,-0.09442806,0.4486488,0.32927904,0.54209256,0.15937194
30,-0.54273075,-0.27207103,-0.326116,-0.36857292,-0.76763695,-0.34527293,-0.11682139,-0.63915205,-0.1445461,-0.3626962,-0.43499616,-0.9150383,-0.18730669,-0.7176066,-0.33046478,-0.1044808
31,0.15042582,-0.587527,0.2845043,-0.17040445,0.042819977,0.025776034,-0.6425731,0.33943447,-0.36993873,0.4512303,0.3650303,0.43007097,-0.1886363,0.049689673,0.020503277,0.080124795
