month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1.0,0.8269843309496236,0.0420852854788637,0.0,0.40539025336176693,0.0,0.0,0.0,0.0,0.3421906878363219,0.6629329778984261,0.6704128916195575
Feb,0.8269843309496236,1.0000000000000002,0.10518890854335163,0.0,0.3189324130513555,0.0,0.0,0.0,0.0,0.2592327478583718,0.6509314131740817,0.6878060384136546
Mar,0.0420852854788637,0.10518890854335163,0.9999999999999998,0.0,0.0,0.0,0.0,0.08130016568625534,0.06507266729500712,0.0,0.035464212679174774,0.10850597070806835
Apr,0.0,0.0,0.0,0.9999999999999998,0.12135911015389797,0.7611338437182015,0.0,0.730361446364167,0.6343158665327495,0.01712768286016098,0.0,0.0
May,0.40539025336176693,0.3189324130513555,0.0,0.12135911015389797,1.0000000000000002,0.13936867645477477,0.0,0.09317419196631345,0.15251386241652096,0.20182248354773272,0.7069837421275073,0.015496903346523878
Jun,0.0,0.0,0.0,0.7611338437182015,0.13936867645477477,0.9999999999999998,0.00023305768937928654,0.6398503109373883,0.8831725372015247,0.0,0.0,0.0
Jul,0.0,0.0,0.0,0.0,0.0,0.00023305768937928654,1.0000000000000002,0.0,0.002086537801327232,0.0,0.0,0.0035633103134761197
Aug,0.0,0.0,0.08130016568625534,0.730361446364167,0.09317419196631345,0.6398503109373883,0.0,1.0000000000000002,0.714158644257779,0.011067217972884607,0.0,0.0
Sep,0.0,0.0,0.06507266729500712,0.6343158665327495,0.15251386241652096,0.8831725372015247,0.002086537801327232,0.714158644257779,1.0,0.0,0.0,0.0
Oct,0.3421906878363219,0.2592327478583718,0.0,0.01712768286016098,0.20182248354773272,0.0,0.0,0.011067217972884607,0.0,0.9999999999999999,0.4403322072809889,0.17975421000985223
Nov,0.6629329778984261,0.6509314131740817,0.035464212679174774,0.0,0.7069837421275073,0.0,0.0,0.0,0.0,0.4403322072809889,1.0000000000000002,0.3532046679209868
Dec,0.6704128916195575,0.6878060384136546,0.10850597070806835,0.0,0.015496903346523878,0.0,0.0035633103134761197,0.0,0.0,0.17975421000985223,0.3532046679209868,0.9999999999999998
