month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,0.9999999999999999,0.23656100037605463,0.0,0.0022635907875417144,0.34474670711992333,0.0,0.0,0.0,0.0,0.003392047596800044,0.0,0.012737819273372478
Feb,0.23656100037605463,0.9999999999999998,0.10215961079869502,0.02379337140215325,0.48545312600630824,0.04038562886834503,0.015141442677111733,0.02697121129605134,0.0379669482743114,0.0016797814354863549,0.08664528572623575,0.0927780315205845
Mar,0.0,0.10215961079869502,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011206371339725728,0.0
Apr,0.0022635907875417144,0.02379337140215325,0.0,1.0,0.0,0.0,0.5296357890725619,0.8277054382662321,0.3136625054434263,0.3008194391847092,0.36322804854529733,0.2790878726571338
May,0.34474670711992333,0.48545312600630824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07706581442870866,0.00806444666519148
Jun,0.0,0.04038562886834503,0.0,0.0,0.0,1.0,0.0028067343560623436,0.007559696365620673,0.43546803042719484,0.0023619229481562855,0.12589649725407576,0.11542222701020916
Jul,0.0,0.015141442677111733,0.0,0.5296357890725619,0.0,0.0028067343560623436,1.0,0.5175817355141912,0.19875164494534012,0.35417103495451047,0.724007200231714,0.42854950623635024
Aug,0.0,0.02697121129605134,0.0,0.8277054382662321,0.0,0.007559696365620673,0.5175817355141912,1.0,0.35193628502780416,0.006039845344300963,0.27506651115884306,0.23427793879115288
Sep,0.0,0.0379669482743114,0.0,0.3136625054434263,0.0,0.43546803042719484,0.19875164494534012,0.35193628502780416,1.0000000000000002,0.0,0.35459284740122293,0.2004285738199398
Oct,0.003392047596800044,0.0016797814354863549,0.0,0.3008194391847092,0.0,0.0023619229481562855,0.35417103495451047,0.006039845344300963,0.0,0.9999999999999998,0.3224663315066485,0.2544364056819791
Nov,0.0,0.08664528572623575,0.011206371339725728,0.36322804854529733,0.07706581442870866,0.12589649725407576,0.724007200231714,0.27506651115884306,0.35459284740122293,0.3224663315066485,0.9999999999999999,0.5556586986524022
Dec,0.012737819273372478,0.0927780315205845,0.0,0.2790878726571338,0.00806444666519148,0.11542222701020916,0.42854950623635024,0.23427793879115288,0.2004285738199398,0.2544364056819791,0.5556586986524022,1.0
