month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1.0,0.05145566762053606,0.3031113563493058,0.00538972546107587,0.11571195114527033,0.051113852937948095,0.030273081622181668,0.0,0.03506871145557162,0.1710680884106816,0.047392643861518244,0.14014802888518027
Feb,0.05145566762053606,1.0,0.0,0.10335429049166056,0.24042084300690925,0.274954149929326,0.12434321006599254,0.17350874568294652,0.010281066780481284,0.0,0.09792707165087412,0.15205243658092282
Mar,0.3031113563493058,0.0,0.9999999999999998,0.00510417581566306,0.0,0.003221566819377802,0.005928317188069276,0.0,0.0,0.1285357353337305,0.0,0.0
Apr,0.00538972546107587,0.10335429049166056,0.00510417581566306,0.9999999999999998,0.0,0.39379940690881177,0.43442098041175753,0.0,0.0,0.0024575509775721393,0.17337827680436002,0.00554772815558224
May,0.11571195114527033,0.24042084300690925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15214824141855418,0.3082111789266897
Jun,0.051113852937948095,0.274954149929326,0.003221566819377802,0.39379940690881177,0.0,1.0,0.7988873437631414,0.0,0.0,0.03877542938081334,0.12686458271412174,0.03297171743470253
Jul,0.030273081622181668,0.12434321006599254,0.005928317188069276,0.43442098041175753,0.0,0.7988873437631414,1.0,0.0,0.020279868556204696,0.07978072361835138,0.1511875306157361,0.0
Aug,0.0,0.17350874568294652,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.5877355485505777,0.0008543925838928219,0.0,0.20780214093853944
Sep,0.03506871145557162,0.010281066780481284,0.0,0.0,0.0,0.0,0.020279868556204696,0.5877355485505777,1.0000000000000002,0.0,0.026943402882249504,0.18475939496943378
Oct,0.1710680884106816,0.0,0.1285357353337305,0.0024575509775721393,0.0,0.03877542938081334,0.07978072361835138,0.0008543925838928219,0.0,1.0,0.0,0.0
Nov,0.047392643861518244,0.09792707165087412,0.0,0.17337827680436002,0.15214824141855418,0.12686458271412174,0.1511875306157361,0.0,0.026943402882249504,0.0,1.0,0.2012095755202715
Dec,0.14014802888518027,0.15205243658092282,0.0,0.00554772815558224,0.3082111789266897,0.03297171743470253,0.0,0.20780214093853944,0.18475939496943378,0.0,0.2012095755202715,1.0000000000000002
