"[Chinese, (Trad.)]",1,1150.0,187.0,3,"September 23, 2015 ",浪漫餐廳，但我的主餐不夠好,"Neihu, Taipei","20150921: dinner
Klo...More"
[English],114,78.0,27.0,5,"December 10, 2012 ",A really nice evening in wintry Lund,"Malmo, Sweden","This is - so far - our favourite restaurant in Lund. We visited early on a Saturday night, after a concert in the cathedral. The place was not yet filling up, nice ambiente, attentive service, pace of orders arriving perfect. A good wine list, with...More"
[English],114,,,5,"December 14, 2007 ",best ever,,best ever
[English],114,751.0,203.0,4,"December 15, 2016 ",What a nice surprise,"Stockholm, Sweden","Recommended by friends and reviews on trip advisor (always a good source). Still the visit exceeded my expectations. Great food, service and environment..."
[English],114,825.0,410.0,5,"December 16, 2014 ",Excellent food and service,Munich,"We went for lunch and (for Europe) arrived pretty early.  Good that we did, because by 12:10 every table was taken.  Our waiter was droll on the outside but cracked a nice smile at the right moments, and he knew his trade.  
The lunch menu...More"
[English],114,21.0,3.0,5,"December 19, 2016 ",A Favorite in Lund,"Lund, Sweden","This restaurant is a real favorite in Lund, the University City in south Sweden. A large menu, reasonable prices and a fast and friendly service. Try it when visiting Lund!"
[English],114,13.0,3.0,4,"December 22, 2007 ","Best place to eat in Lund. The only negative thing is that it is sooo small, the tables are sooo close, so its not a...","London, United Kingdom",Best place to eat in Lund.
[English],114,90.0,49.0,4,"December 22, 2016 ","Nice atmosphere, food and great service ",,"2 couple a Tuesday night before Christmas. Friends since long and first grandchildren circa 2 years. Hugs and greetings, recap and the ordering food. Lobster soup, Swedish roe, then halibut, moules, lobster, beef tartar. Raspberry sorbet with licorice, cappuccino. Nice white burgundy. 
No disappointments, all...More"
[English],114,16.0,11.0,5,"December 22, 2017 ",Great food!,"Lund, Sweden",Nice place with cozy atmosphere. Great food. Good wine selection. A bit on the pricy side but perfect for those more special occasions.
[English],114,72.0,14.0,4,"December 22, 2017 ",Best restaurant in Lund 2017,"Lund, Sweden","Many different dishes on the meny so you could get what you want. And all i well done.
Good service. A lot of people so you have to book a table. 
We enjoyed our visit in November."
[English],114,52.0,32.0,4,"December 25, 2011 ",The restaurant to pick if you are not sure which one to pick.,"Stockholm, Sweden","I travelled to Lund for months in work and found this restaurant early. So I've tried most evening meals on the menu as well as a few lunch alternatives. I've never been let down. Always real quality food, excellent taste and serving. On the one...More"
[English],114,154.0,63.0,3,"December 28, 2014 ","Good food, but not generous portions","Gothenburg, Sweden","We were there with a group of 12 people. The food was served rather quickly. However the protions were not big and honestly the paasion for cooking was missing. This is a decent place, but not for the special moments in life."
[English],114,7.0,1.0,3,"December 4, 2016 ",Boring,,We had the pre-set menu incl the wine menu. The food was boring and we were not impressed. Not like their fish restaurant up the street.
[English],114,73.0,35.0,4,"December 5, 2016 ",Top choice in Lund,"Barseback, Sweden",I've been to Klostergatans Vin och Delikatess a number of times and I am always a happy customer. This time we took some friends from overseas who were equally impresses. The food is good. It's not spectacular but it is very well cooked on first...More
[English],114,14.0,6.0,4,"December 6, 2017 ",Good seasonal food,"Lund, Sweden","Nice attentive staff that brought us delicious food. The tartar got raves. We were a group of nine, family celebrating. Nobody had to wait and everyone enjoyed their meal."
[English],114,339.0,114.0,5,"December 7, 2016 ",Great Experience,"Frankfurt, Germany","Visited for lunch and was very impressed by the quality of the food. Staff were nice and helpful, especially in picking a local meal."
[English],114,23.0,13.0,4,"December 7, 2016 ",Always a great experienc,"Lund, Sweden",Have been here at least 5 times in the past 2 years.  The 3 course meal special is always excellent.  All other meals have always been well prepared.
[English],114,6.0,4.0,5,"December 9, 2014 ",Love the Creme Brule,"London, England, United Kingdom",While Lund is by no means a large town it does offer a good selection of good restaurants. I imagine the university and companies like tetra pack demand a good place to eat. I have to say that I like a good bistro and it...More
[English],114,3.0,,4,"February 10, 2017 ",Dinner,,"Highly recommend ! Great decor nice location . Servers didn't top up drinks or water often, but the food was delicious and came in a timely manner ! Local beer was very nice! Servers polite and helpful . The caviar starter, filet steak and risotto...More"
[English],114,227.0,69.0,4,"February 15, 2015 ",You get what you pay for.......,"Leigh-on Sea, United Kingdom","I have visited this restaurant on a few occasions and it never disappoints! The fact that it is always busy often tells the story........ Good 'european' food, wine and beer selection, attentive service - and in my opinion, represents good value for money for a...More"
[English],114,46.0,21.0,5,"February 17, 2016 ",Best in town,"Lund, Sweden","French bistro type of restaurant. Great food, never disappointed. Friendly and service minded staff. Nice atmosphere."
[English],114,,,3,"February 24, 2008 ","Good, but quite expensive - however not much competition in Lund",,"Good, but quite expensive - however not much competition in Lund"
[English],114,20.0,11.0,4,"February 25, 2016 ",nice mixture,"Lund, Sweden","It's a very nice restaurant with a small but fine menu. The stuff is -typical swedish for a kind of upscale restaurant-,very courteous. It isThe mixture of the guests that makes it special; students, buisness-people, parents, young and old, so to say the blueprint of...More"
[English],114,219.0,110.0,4,"February 6, 2014 ",Cosy place with very tasty food,"Bielefeld, Germany",We were here for a business dinner with six people. The service was very good and all dishes were delicious. A place I can really recommend.
[English],114,133.0,91.0,4,"February 9, 2015 ",CIVILISED IS EXPENSIVE,"Dublin, Ireland","Good food, presented with care and attention to detail, comes at a price and it seems the further north you go the more expensive it becomes. The Nordic countries have long been associated with pioneering liberal democracy initiatives and now food is the latest trend...More"
[English],114,44.0,8.0,5,"February 9, 2016 ",Brilliant food!,"Stockholm, Sweden",We were recommended to eat lunch here by my uncle and I can say the 4 of us were not disappointed. It is a very popular place so sometimes booking a table will be needed in advance. We came for a late lunch about 2...More
[English],114,214.0,59.0,4,"January 11, 2008 ","Nice food, but small possibilities of choice. A bit too pricey considering the portions.
The service is often too slow.","Lund, Sweden","Nice food, but small possibilities of choice. A bit too pricey considering the portions.
The service is often too slow."
[English],114,,,4,"January 13, 2008 ",Very good!,,Very good!
[English],114,20.0,10.0,5,"January 13, 2012 ",Good value,"Stockholm, Sweden","A really good bistro style restaurant, classic menu well executed!

Service nice and friendly even though the restaurant was full!"
[English],114,118.0,27.0,3,"January 16, 2016 ","Good quality, but too Nouvelle Cuisine","Oxford, United Kingdom","Nice food, well presented but a bit ... boring.  The meat is meat in a pleasant meat sauce,  but a lack of anything else on the plate made is a struggle to get through to the end.  Also overpriced, but I guess not given the...More"
[English],114,,,3,"January 18, 2008 ","The best place in Lund (not really a good restaurant town). Very nice atmosphere, and one of few places in the area...",,"The best place in Lund (not really a good restaurant town). Very nice atmosphere, and one of few places in the area, that serves great French dishes. I would though hope that they didn't just served the classic stuff, and went more for experimental. Lovely...More"
[English],114,9.0,1.0,3,"January 27, 2016 ",Nice and fancy lunch,,"It's a very nice and fancy place, I have been there for lunch a couple of times but their vegetarian options are not many."
[English],114,143.0,33.0,4,"January 29, 2017 ",Nice dinner with +40 colleagues,,"We came with more than 40 European colleagues for dinner after a long day of work.
We enjoyed very much the atmosphere, the professional waitress, the quality of the food and wine. Sincerely, we shall be back."
[English],114,21.0,4.0,4,"January 30, 2015 ",Nice place for dinner,"Lake Kiowa, Texas",Food was great!  I had a pumpkin dish that was amazing! Service was average and the atmosphere was good. I would definitely go back.
[English],114,584.0,345.0,4,"January 5, 2012 ","Good restaurant in Lund, for lunch, brunch or evening meal",Helsingborg,"Have been several times to this popular restaurant/bistro in Lund for lunch, and once for Sunday brunch. Decent size portions, a bit upscale, slightly pricey, well made food from a limited menu. Some favourites always on the menu, the rest change, probably monthly and there...More"
[English],114,216.0,49.0,4,"January 5, 2015 ",Delicious shrimp soup,"Luxembourg City, Luxembourg",I have visited Klostergatan several times over the last few years. I must say both food and service have improved since my last visit. The shrimp soup I had as a starter was one of the best I had in many years. The main dish...More
[English],114,1.0,1.0,4,"January 7, 2008 ",Perfect place for Saturday lunch. Does absolutely amazing catering and Skagenröra to die for...,"Lund, Sweden",Perfect place for Saturday lunch. Does absolutely amazing catering and Skagenröra to die for...
[English],114,12.0,9.0,5,"January 8, 2014 ",The best place in Lund!,"Lund, Sweden","Reliable; good quality with swedish french bistrot food! 
The whole family loves the place; it's our favourite everyday restaurant and favourite for celebrarions!"
[English],114,183.0,83.0,5,"July 14, 2012 ",Terrific,"Galway, Ireland","This is a great wine bar and restaurant. Very expensive, a glass of wine 9€ and a starter 16€. Still it's nice to have a treat once in a while. four guys are at the next table, obviously rich and they are talking about Ryanair...More"
[English],114,,,3,"July 17, 2008 ","Good, and a great place...","Lund, Sweden","Good, and a great place for a take away lunch."
[English],114,130.0,54.0,4,"July 17, 2017 ",Likely the best meal for travellers through Lund!,"Northbrook, IL","With family in the Lund area, we make trans-Atlantic trips to visit frequently.  After sampling much of the cooking in the city, we have to say our best meals were here.  Absolutely great wine and drink list to start with.  Entrees are always wonderfully prepared,...More"
[English],114,20.0,4.0,4,"July 19, 2016 ",Good service and nice atmoshere,"Lund, Sweden","This place is very cosy and has good service. The food is generally very good and nicely served. It is a bit pricy, but you will not be disappointed."
[English],114,512.0,143.0,1,"July 2, 2016 ",Refused service,"Hong Kong, China","Been here many times for business lunches, but this time they didn't want to serve us. Went here with my wife and sleeping 2years old and waited to get an outdoor seat, to not disturb the other distinguished?? guests if he woke up. Then after...More"
[English],114,23.0,3.0,5,"July 24, 2018 ",French kitchen in Lund,"Ockero, Sweden","Loved this place - arrived as a ""on e person"" party and was well treated. A couple of glasses of champagne together with the vegetarian main dish was a perfect alternative for a summer evening. Don't hesitate to visit this place in Lund if you...More"
[English],114,512.0,143.0,5,"July 30, 2015 ",Excellent lunch,"Hong Kong, China","Every time when at work in Lund, we go here. Luckily on a business trip then as it is a bit pricey. Lunch, coffee and a light beer, SEK159..."
[English],114,8.0,3.0,5,"July 31, 2012 ",Best in Lund,,Best restaurant in Lund for several years. Quality dining. French touch to food and interior. Great ingredients and great cooks and outstanding personnel. Really good wines. Nice dark interior. Very popular so may require booking in advance.
[English],114,20.0,1.0,4,"July 7, 2016 ",AW with girlfriends,"Lund, Sweden","A nice gentle restaurant with excellent food and service. Went here on a Wednesday for an afterword with a good friend.  We were seated immediately and asked if we wanted something to drink while we were reading the menu. 
We both opted for red wine,...More"
[English],114,31.0,17.0,4,"July 8, 2015 ",Nice tasty food,"Lund, Sweden",We went there on after work and the food is nice and tasty. They have raw meat for those who like that.
[English],114,39.0,15.0,5,"July 9, 2014 ",Great french,"Lund, Sweden",Very good restaurant I have visited several times for lunch and dinner. The food id very good and I can recommend the beef tartar or the mussels that they usually have on the menu.
[English],114,23.0,3.0,4,"June 16, 2016 ",Pleasure,"Lund, Sweden","The total experience is great, combination of food, wine and service. Good variety on the menu and knowledgeable staff. Local and international food with high quality."
[English],114,135.0,34.0,5,"June 23, 2015 ",Always the best in town ,"Finale Emilia, Italy","I've been in this restaurant 4 times in a period of about 2 years and my evaluation remains at the highest level.
The food is excellent and not so ""little"" as it is in many other Swedish restaurants; it's a pity that the choice is...More"
[English],114,164.0,49.0,5,"June 3, 2017 ",Great dinner in Lund,"Copenhagen, Denmark","We went to Lund on a Saturday in the first weekend of June. This restaurant was one of our first choices, and since online booking was available, it was an easy choice. We were greeted by a friendly waiter, who quickly followed us to the...More"
[English],114,29.0,16.0,4,"June 30, 2013 ",Quality lunch,Sweden,"Food is always delicious here.A small sallad buffet and bread to go with the main dish.  One of the best restaurants in Lund for a luncheon.  
You can't expect to be sitting chatting for hours on end,though."
[English],114,13.0,4.0,5,"June 8, 2016 ",Lovely food,,This restaurant is a must if you visit in Lund. The staff is very professional and relaxed at the same time. The dinner we had was perfect and served with a smile. The winelist is very good with a selection of wines in all price-categories....More
[English],114,48.0,20.0,4,"March 11, 2014 ",The best place in Lund - always!,"Lund, Sweden","It doesn't matter if you go for dinner or for lunch, if you are 2,4 or 6 persons, Klostergatan is always a safe bet! The food is high quality and very tasty. A good variety of the menu - there is something for everyone. The...More"
[English],114,89.0,23.0,5,"March 11, 2018 ",Great bistro ,"Stockholm County, Sweden","A great bistro with all the trimmings!

Great, personal and happy service. 
Food was amazing and you can get a lot of the dishes in both 1/2 and 1/1 depending on how hungry you are. 

Drink, starter, main, truffle, wine and ”nubbe” was 50e"
[English],114,39.0,9.0,4,"March 16, 2015 ",Lunch with former colleague,"Lund, Sweden","We needed a well tasting lunch to accompany our chat. And we got it, as usual! Vegetable soup and cod and a nice Riesling with that. We enjoyed it!"
[English],114,40.0,32.0,5,"March 20, 2012 ",excellent,eddieCambridge,"Very good service, the menu is limited but all very good quality and the waiter explains all the dishes in English. Very relaxed place. Would recommend it to any visitor. PRices are very reasonable."
[English],114,52.0,38.0,3,"March 22, 2013 ",Very up and down.,"Lund, Sweden",Ive been visiting this restaurant before and found it good but this time a mess.At first the table we have reservated was in a dark corner of the room not a good place to set 7 person in.The 1 plate was forgotten to one of...More
[English],114,67.0,14.0,3,"March 4, 2017 ",Good meat - good soup,"Stockholm, Sverige","We went here with our son for a Saturday dinner. Nice and friendly staff. They helped me to charge my mobile.

The food is well prepared. My husband and son went for the filet steak, which they liked. The sauce bearnaise was warm.

I went...More"
[English],114,19.0,9.0,5,"March 6, 2015 ",Lovely birthday dinner,"Hong Kong, China",Had the set menu for dinner. Excellent quality food at reasonable prices. Service was fantastic as was the decor and ambience. A truly memorable night.
[English],114,203.0,45.0,4,"March 9, 2017 ","Very good food and excellent service, but the meat was slightly cold","Malmo, Sweden","I was there with a big group of colleagues in the evening. We had the set three course menu. Everything was very well cooked and very tasty. The soup was delicious It was a Jerusalem artichoke, mousselin. The main course was Venison (rådjur), parsley root...More"
[English],114,30.0,24.0,3,"May 1, 2014 ",Good but overpriced,Malmö,"Although the food was well prepared and the staff friendly th prices are steep. Especially if you bring kids, don't. A half grilled minced meat with pommes frites and wine sauce will cost you 160 SEK. And that comes with nothing else, no veggies no...More"
[English],114,4.0,5.0,2,"May 10, 2013 ",Staff are ALWAYS very rude,"kobe, japan","The staff in particular let this place down. Every time I have been here, whether with work or individually, they are so rude, so arrogant. 

Somehow they make us feel like they are doing us a big favour just by getting water, etc..!! I could...More"
[English],114,44.0,5.0,5,"May 23, 2017 ",The only time bread is as good as the food,,"Beatiful people , beautiful staff , beautiful service ! Im a budget man and a gourmand .. so this place is only when i treat myself and can afford it due to my financial status . Though its not non affordable but the food is...More"
[English],114,283.0,69.0,3,"May 24, 2018 ",brasserie with average quality,"Zurich, Switzerland","Nice ambiance and service acceptable. I took the mussels and probably the worst in the universe (not fresh, re-heated etc... ) very disappointing. The creme brule was over cooked and not a great end to an average evening"
[English],114,181.0,24.0,4,"May 25, 2017 ",Very nice,"Lund, Sweden","Haven't been back in a long time. Relaxed and nice atmosphere, very good food and an ok wine selection. The ventilation is not great and you will smell of grilled meat which is unfortunate."
[English],114,69.0,34.0,4,"May 29, 2012 ","This is only my opinion, but it is the correct one!","Lomma, Sweden","One of the best restaurants in Lund, really recommend it. Very nice prepared food, you can really taste that the meat, vegetables. Top notch. Great service as well."
[English],114,153.0,82.0,4,"May 3, 2013 ",Good dinner in university town,"Ljubljana, Slovenia","I was taken by friends for an early dinner. The place looks neat but informal. It was comfortably full when we arrived and got packed fast. But it was easy to have a conversation, it was not loud at all. The service was quick and...More"
[English],114,46.0,29.0,4,"May 30, 2015 ","Popular, so best to book ahead","Uckfield, United Kingdom","Visited on off chance without reservation, but managed to get seats at the counter.

Good value and imaginative menu. Popular so service was a bit slow, but worth the wait."
[English],114,129.0,31.0,5,"May 5, 2016 ","great local food and cross kitchen , good valur","Paris, France",this restaurant/deli serves local food an scandinavian frech crosskitchen. the staff are always welcoming and This place have never dissapointed me
[English],114,72.0,17.0,5,"May 8, 2017 ",great service and food in an outstanding atmosphere,"Antibes, France","The kitchen delivers exactly what you expect and the only surprises are positive. The staff is great (in short) : attentive  caring and friendly. Do not hesitate to visit, the surprise will be positive!"
[English],114,38.0,15.0,5,"May 9, 2017 ",Excellent inventive cuisine in Lund,"Geneva, Switzerland","I had the opportunity to spend a night at Klostergatans restaurant and i will strongly recommend the place.
The french style cuisine in a Brasserie ambiance was absolutely delicious.
I had a fish perfectly cooked with an excellent creamy sauce. The dark chocolate cake was...More"
[English],114,62.0,44.0,5,"November 10, 2016 ",Lovely restaurant,Montana,"Elegant but not fancy or stuffy. Friendly, professional staff. Excellent food for a full dinner or just wine or coffee. Candles make it so pretty in the dark time of year."
[English],114,16.0,18.0,5,"November 12, 2016 ",French bistro ambience - top food and service,"Hoersholm, Denmark","Excellent food and decent size portions. Cosy atmosphere and nice location in the old part of Lund around the corner from Lunds cathedral. 
Absolutely perfect service from the waiters - good wine by the glas - all at reasonable prices for a classy gourmet restaurant."
[English],114,143.0,33.0,4,"November 15, 2011 ","Good restaurant, not really French food but worth a try.",,"The service, the food and the atmosphere fit well together. Sometimes, you get a good but ridiculous plate, sometimes quite better."
[English],114,49.0,10.0,5,"November 20, 2017 ",Best restaurant of Lund,,"In our opinion the best restaurant of Lund. Fantastic food, nice professional staff, nice atmosphere, no frills, great decoration. Fish eggs and mussel soup were tasty, the meat juicy and the fish fresh. Sauces complemented the dishes well. Wine paring as also nicely done. We...More"
[English],114,29.0,19.0,5,"November 23, 2011 ",Upscale cuisine in Lund,"binghamton, ny",This is a bit of a ritzy cafe joint but very good food if you want a splurge. They are a bit attitudy about reservations...they told us over the phone that we would have to be out by a certain time but then we lingered...More
[English],114,5.0,1.0,5,"November 28, 2014 ",Bistro with Good Food in Lund,,"One of the nicest things about this place is the ambiance. It gives you a sense of being in france, which seems to be exactly what they are going for. We were there for lunch and had the lojrom (hope that is spelled right) and...More"
