"[Chinese, (Trad.)]",1,1150.0,187.0,3,"September 23, 2015 ",浪漫餐廳，但我的主餐不夠好,"Neihu, Taipei","20150921: dinner
Klo...More"
[English],114,59.0,31.0,1,"September 29, 2018 ","Good food, discriminating service.","Santa Rosa, California","Booked a table a day before. Upon arrival, we were seated in front of the door, the worst possible position in the whole establishment. After confronting the waiter, we were eventually moved to another more accommodating table, but under the condition that we dine with...More"
[English],114,35.0,4.0,5,"September 3, 2017 ",Tasteful meal in charming atmosphere,"Oslo, Norway","We very much enjoyed our three course dinner here. The waiter was professional, pleasant and took good care of us. But most of all, we were happy with the food. The scallops in particular were yummy! All meals were perfectly seasoned. No wonder this is...More"
[English],114,29.0,12.0,5,"September 30, 2013 ",Lovely place both for lunch and dinner,"Lund, Sweden","Really nice staff, atmosphere and food. I have no complaints. It's a bit pricy but worth every penny. It's often very busy during lunch hour."
[French],2,6.0,3.0,5,"January 16, 2017 ",Impeccable,,"Le repas était délicieux, très raffiné.
Le personnel est très regardant, souriant et professionnel. 
Ma demande de plat sans gluten...More"
[French],2,50.0,4.0,4,"July 21, 2016 ",Bonne brasserie suédoise (chic),,"Brasserie de type parisienne, mais avec nourriture revue à la suédoise. Si vous cherchez du vraiment traditionnel, ce n'est pas...More"
[German],6,23.0,3.0,5,"August 17, 2017 ",Topp Adresse ,"Ohringen, Germany","Waren jetzt 2 Jahre hintereinander dort zu Mittag. Es ist zwar etwas teurer als ander ""Lunchrestaurants"" aber deutlich besser. Alles...More"
[German],6,127.0,54.0,5,"August 26, 2018 ",Wunderbare Mittagspause,Germany,Was für eine schöne Überraschung. Fantastische Speisen in wunderschöner Umgebung. Unbedingt besuchen wenn man in Lund ist.
[German],6,30.0,4.0,5,"December 30, 2017 ",Geschmackvoll und lecker,,"Topadresse in Lund - gehobene Küche, hervorragender Service von Jakob und Preis/Leistungsverhältnis super. Wir kommen sicher wieder."
[German],6,205.0,96.0,4,"December 5, 2011 ","gutes Essen, nettes Ambiente, immer rappelvoll",Hamburg,"Das Essen war ausgezeichnet, im Mittagstisch inbegriffen ist ein kleines Salat-Buffet. Die Karte ist klein aber fein, und wenn man...More"
[German],6,185.0,71.0,5,"June 18, 2014 ",Originelles Lokal,"Wels, Austria","Haben die Graduierung meiner Tochter hier gefeiert. War ein würdiger Rahmen. Essen ausgezeichnet , Getränkeauswahl sehr gut, personal sehr freundlich,...More"
[German],6,145.0,57.0,5,"September 23, 2014 ",Gehobene Küche,Germany,"Ausgezeichnetes Ambiente, sehr gut zubereitete, leckere Speisen, gute Weine, sowie ein sehr freundlicher, aufmerksamer Service. Absolut empfehlenswert."
[Italian],8,154.0,54.0,4,"April 20, 2015 ",Ottimo locale,,Location molto bello personale gentilene e disponibile.cibo buono e prezzi nella media cucina svedese e francese
[Italian],8,212.0,108.0,4,"April 25, 2013 ",Ristorante elegante e cibo nella media,"Moncalieri, Italy",Bel ristorante ubicato nel centro cittadino e semplice da raggiungere. L'atmosfera è molto elegante e tutto il personale molto gentile....More
[Italian],8,138.0,61.0,5,"April 30, 2018 ",Da provare,"Rome, Italy",Siamo stati in questo locale per una cena organizzata dall'Università di Lund e quindi non abbiamo potuto scegliere ne i...More
[Italian],8,42.0,30.0,4,"August 5, 2017 ",Buona esperienza di cucina svedese in un locale curato e accogliente con un servizio curato e professionale.,"Padua, Italy","In pieno centro, a due passi dalla cattedrale, abbiamo cenato scegliendo piatti tradizionali svedesi e la scelta si è rivelata...More"
[Italian],8,10.0,12.0,4,"January 27, 2018 ",Per caso,"Forte Dei Marmi, Italy","Siamo capitati a caso davanti al locale, avevamo un po’ di appetito e abbiamo mangiato qualcosa, era molto buono e...More"
[Italian],8,163.0,113.0,3,"June 20, 2016 ",Occhio al vino... ,"Rome, Italy","Certamente non è la Svezia il paese dove andare a bere vino, ma altrettanto certamente non è questo il ristorante...More"
[Italian],8,252.0,98.0,4,"September 1, 2017 ",Ottimo Ristorante,"Milan, Italy","Il locale è molto carino ubicano nei pressi della cattedrale di Lund, lo stile ricorda un Bistrot. Ottima carta dei...More"
[Italian],8,69.0,14.0,5,"September 14, 2017 ",Ottimo ristorante,"Turin, Italy","Ottimo ristorante, con cucina fusion franco-svedese.
Bella la location nel centro storico di Lund, dietro la cattedrale.
Personale professionale e...More"
[Norwegian],5,24.0,7.0,4,"April 11, 2015 ",Hastemiddag,"Moss, Norway","Vi hadde ikke bestilt bord, men fikk en time og femten minutter på oss om vi ville spise der. Ok....More"
[Norwegian],5,34.0,2.0,3,"April 15, 2017 ",Grei mat og vin,,"Var her i forbindelse med en jobbmiddag i Lund. Hadde store forhåpninger før vi satte oss til bords, men ble...More"
[Norwegian],5,202.0,31.0,4,"July 17, 2018 ",God service i travel lunsjtid,"Oslo, Norway","De har begrenset meny, men det de serverer er gjennomtenkt og godt. Servitørene er flinke til å se gjestenes ønsker...More"
[Norwegian],5,10.0,2.0,4,"June 11, 2018 ",Bra mat. Medium service,"Rotnes, Norway","Flott middag, med helt grei service. 
Servitøren var lite tilstede, men var oppmerksom. Maten var av ypperste klasse og vel...More"
[Norwegian],5,58.0,24.0,3,"October 9, 2014 ","Velsmakende og hyggelig, men noen trekk","Fredrikstad, Norway","Meget hyggelig sted med litt bistro-aktig interiør, bord av ulike størrelser, og hyggelig og ""varm"" atmosfære.  Vennlig betjening, rask service,...More"
[Portuguese],1,41.0,18.0,4,"November 30, 2016 ",Pequeno e familiar,"Curitiba, PR",Ótimas opções de pratos regionais com preços razoáveis. o cheiro da cozinha se espalha pelo salão por isso cuidado com...More
[Russian],2,107.0,59.0,5,"April 16, 2013 ",Очень уютное место,"Moscow, Russia","Отличное место в центре города. Приятный интерьер, приветливый и расторопный персонал. Но главное - отличная кухня! Не дешево, но и...More"
[Russian],2,126.0,55.0,5,"December 31, 2014 ",Французский ресторан,Stockholm,"Очень хороший французский ресторан, с вкусным грилем. Есть места, за которыми можно поужинать вне ресторана в уютной атмосфере окружающего городского...More"
[Spanish],3,5.0,1.0,5,"May 22, 2018 ",Extraordinario ambiente y deliciosa comida,,La comida es extraordinaria pero el trato tan amable y cálido te enamora. Los sabores de comida tradicional se modernizan...More
[Spanish],3,34.0,6.0,4,"October 17, 2017 ",Una cena deliciosa,,Un lugar muy agradable para una cena tranquila. Para la noche es necesario reservar en fin de semana. Personal muy...More
[Spanish],3,85.0,9.0,4,"October 4, 2017 ",Excelente cena,"Malaga, Spain","Tanto el servicio como la comida fueron exelentes. Completa carta de vinos.
Muy ricos los postres. Conviene reservar."
[Swedish],212,71.0,7.0,5,1 week ago ,Överraskande ställe,"Kavlinge, Sweden",Från gatan ser det inte mycket ut men väl där inne är atmosfären härlig.   Trevlig och kunnig personal som serverade...More
[Swedish],212,60.0,1.0,5,4 weeks ago ,Trevlig stämning och utsökt mat!,"Malmo, Sweden",Ett väldigt trevligt och mysigt ställe i centrala lund för alla som vill ha riktigt god mat. Ostronen vi beställde...More
[Swedish],212,22.0,1.0,3,5 days ago ,Firande,,Vi hade höga förväntningar och en av oss hade förvarnat om allergier. De hade iallafall läst mailet men inte förberett...More
[Swedish],212,214.0,26.0,4,5 weeks ago ,Trevlig fransos,"Sollentuna, Sweden","Ett trevligt ställe med en fransk touch. God vällagad mat, bra utbud av viner på glas förutom den vanliga vinlistan....More"
[Swedish],212,117.0,70.0,4,"April 1, 2014 ",Alltid hög nivå!,"Falsterbo, Sweden",Jag besöker Klostergatans Vin & Delikatess mestadels på lunchen och kan konstatera att de aldrig sviker från sin höga nivå....More
[Swedish],212,12.0,2.0,5,"April 1, 2017 ",Vällagat och gott,Enebyberg,Som alltid vällagat och med innovativa tillbehör. Denna gång en perfekt stekt skrei! Trevlig och kunnig personal som ger goda...More
[Swedish],212,3.0,3.0,5,"April 16, 2015 ",God mat och trevlig atmosfär,,"Har ätit här många gånger, senast i början av april 2015, då jag åt skreitorsk med bl.a. ärtpuré, purjolök och...More"
[Swedish],212,1.0,,2,"April 16, 2016 ",Lever på gammalt rykte - Bättring behövs!,"Lund, Sweden","Får man betala nästan 2000 kr för dagens meny med vinmeny för tre personer förväntar jag mig mer. Lite mat,...More"
[Swedish],212,88.0,13.0,5,"April 18, 2013 ",Ett ställe att besöka,"Lund, Sweden","Detta är ett ställe man bara skall testa, underbar mat och ett häftigt ställe man bara inte får missa.
Underbar...More"
[Swedish],212,11.0,3.0,2,"April 22, 2016 ",Gott men inte prisvärt,fredrik fernberg,"Prisnivå i överkant med anrättningar som inte övertygar.

Fisksoppan var ok med pilgrimsmussla som drunknade i sin ensamhet.

Skrei var...More"
[Swedish],212,4.0,1.0,5,"April 22, 2016 ",Fantastisk mat och service,"Lund, Sweden",Underbar mat och service. Personalens fantastiska leveranser och kvalitets tänk uppnår det bästa på marknaden. En fransk ombonad restaurang som...More
[Swedish],212,11.0,1.0,5,"April 25, 2016 ",Bland det bästa i Lund,"Stockholm, Sweden",Vi intog en trerättersmiddag och kan inte hitta en enda detalj som vi inte var nöjda med. Vi hade tur...More
[Swedish],212,29.0,17.0,5,"April 26, 2016 ",Brasserie som möter förväntningarna ,"Stockholm, Sweden",Mitt i Lund ligger denna trevliga krog. Inredningen påminner om brasserier så som de ofta ser ut i Frankrike och...More
[Swedish],212,11.0,2.0,5,"April 27, 2016 ",Gott!,"Melbourne, Australia",En givet val när man ska ut och äta i Lund. Deras råbiff är helt otrolig samt deras mule frites!...More
[Swedish],212,113.0,15.0,3,"April 30, 2015 ",Ointresserad personal,"Stockholm, Sweden","Vi var ett sällskap om 5 personer som skulle äta lunch. Maten var helt ok, men ingen större hit iförhållande...More"
[Swedish],212,175.0,66.0,2,"April 8, 2012 ",Kostar mer än det smakar,"Lund, Sweden",En liten kladd på tallriken skulle föreställa råbiff för 220 kr. Jag blev inte ens lite mätt... Plus dock för...More
[Swedish],212,14.0,7.0,3,"April 8, 2017 ",Verkade bra,,"Känslan var till en början mycket bra. Trevlig, kunnig servitör och en trevlig miljö. Åt hummer till förrätt den var...More"
[Swedish],212,5.0,,5,"April 9, 2017 ",En mycket lyckad kväll,"Skane County, Sweden",Vi hade inga särskilda förväntningar. Och ändå säger vi att förväntningarna överträffades med råge. En perfekt kväll blev det. Framför...More
[Swedish],212,51.0,20.0,2,"August 10, 2015 ",Besviken,,Jag blev väldigt besviken när jag åt lunch här. Se bilderna - den ena visar en bild som annonserade ut...More
[Swedish],212,9.0,4.0,1,"August 10, 2017 ",Så dyrt! ,"Lund, Sweden","Ingen restaurang för medelsvensson. Dyr och lite mat på tallriken. Åt kantareller och fisk, ingen större upplevelse tyvärr. Personalen var...More"
[Swedish],212,36.0,10.0,4,"August 10, 2017 ",Mycket god mat!,"Lund, Sweden",Vi var ett gäng från jobbet som var här på middag. Då vi var många hade vi redan valt rätt...More
[Swedish],212,9.0,1.0,5,"August 10, 2018 ","Fantastisk mat, proffsig personal!",,"Jag har tidigare ätit middag här och varit väldigt nöjd. Idag åt vi lunch, som var fantastiskt god, och prisvärd...More"
[Swedish],212,60.0,4.0,4,"August 11, 2014 ",Bra mat och trevlig atmosfär,"Lund, Sweden",En nästan full restaurang en måndagskväll bidrog till en trevlig atmosfär. Trevlig personal och god mat. Vi valde månadens meny...More
[Swedish],212,4.0,4.0,2,"August 12, 2016 ",Mysig stämning men dålig mat ,,"Stämningen på restaurangen är trevlig. Bra meny och goda drinkar. Till huvudrätt beställde vi oxfilé. En av köttbitarna var dock,...More"
[Swedish],212,21.0,7.0,1,"August 12, 2016 ",Otroligt nonchalant bemötande,,"Ett ställe med gott vin, men med personal som knappt bryr sig om sina kunder. Lång väntan på att få...More"
[Swedish],212,16.0,2.0,5,"August 13, 2018 ",Mysigt och bra.,"Eslov, Sweden",Middag på fina uteserveringen en vacker kväll i augusti. Testade ostronen med ett glas bubbel. Bra. Jag åt halstrad råbiff...More
[Swedish],212,93.0,13.0,4,"August 14, 2018 ",Bra lunch! ,"Lund, Sweden",Har ätit lunch här ett antal gånger och har alltid varit nöjd med både maten och servicen. Bra ställe!
[Swedish],212,2.0,,4,"August 15, 2016 ",Trivsam middag med mästerlig mat,"Lund, Sweden","Vi gick hit tillsammans med vänner på besök från London. Stämningen var familjär och avslappnad, servicen hjälpsam med översättning av...More"
[Swedish],212,5.0,,2,"August 17, 2018 ",Påver lunch för det priset (110),,Anka som var väldigt seg och okokt potatis. Dåligt med grönsaker. Hade höga förväntningar på vårt första besök men tyvärr...More
[Swedish],212,58.0,3.0,5,"August 18, 2015 ",Lunds godaste restaurang ,"Lund, Sweden",Har varit här många gånger och har aldrig varit missnöjd. Trevligt och mysigt ställe med trevlig personal. Maten har alltid...More
[Swedish],212,87.0,17.0,3,"August 18, 2017 ",Snobbig attityd,"Lund, Sweden",Var  här på lunch med min man. Vi kom fem minuter innan de öppnade. De var väldigt avvisande. Dörren var...More
[Swedish],212,201.0,38.0,5,"August 22, 2018 ","Mycket trevlig bistromiljö, fantastiskt god mat","Bromma, Sweden","Vi åt vegetariskt, torsk resp. oxfilé och alla mycket nöjda. Fisken serverades med rikligt med knapriga ångade grönsaker, filén som...More"
[Swedish],212,127.0,41.0,5,"August 23, 2012 ",Alltid gott och trevligt,"Lund, Sweden",Personalen alltid trevlig. Har varit där många gånger och alltid lika gott. Bara vid något enstaka tillfälle haft anledning att...More
[Swedish],212,123.0,23.0,5,"August 24, 2013 ",Trevlig personal och god mat!,"Kavlinge, Sweden",Hummersoppan var god med sina inslag av chilipuré. Åt sedan hällegflundra som var perfekt tillagad. Allting var gjort med omsorg...More
[Swedish],212,8.0,,5,"August 24, 2016 ",Bästa restaurangen i Lund ,,"En mycket trevlig restaurang med god mat och fantastisk service. Personalen förstår verkligen vad kunderna behöver. 
Inte den billigaste restaurangen,...More"
[Swedish],212,3.0,,5,"August 24, 2016 ",Trevlig kväll med goda vänner,"Lund, Sweden",Mycket god mat och fantastisk service. Trevlig atmosfär.Vi åt månadens trerättersmeny och drack vinmeny.
[Swedish],212,51.0,8.0,4,"August 25, 2016 ",Prisvärt,,Har varit här några gånger och blir alltid nöjd med mitt besök! Mycket kunnig personal som alltid hjälper med bra...More
[Swedish],212,55.0,16.0,4,"August 26, 2012 ",Mysig lyx,"Lund, Skåne Län, Sweden",Kunnig och trevlig personal. Lokalpriducerad mat som var lagad med omsorg. Fransk bistrokänsla och hög mysfaktor.
[Swedish],212,65.0,10.0,4,"August 26, 2017 ",Mycket bra mat!,"Akarp, Sweden","Beställde kantareller och oxfilé samt avslutade med créme brulée, allt var väldigt välsmakande. Bra service och trevlig personal så när...More"
[Swedish],212,4.0,5.0,5,"August 28, 2014 ",Service i toppklass!,"Malmo, Sweden","Jag och mitt sällskap kom ombokade och till en som vi såg fullsatt restaurang, men de topg hand om oss...More"
[Swedish],212,46.0,17.0,5,"August 29, 2016 ",Lunds trevligaste ställe,"Lund, Sweden","God mat ❤️👍
Och Lunds trevligaste personal
Lund näst godaste Crème brûlée
Mycket trevligt och gemytligt resturang, 
rekommenderar det varmt."
[Swedish],212,37.0,12.0,5,"August 3, 2016 ",Romantisk middag med pojkvännen,"Lund, Sverige","Lunds godaste entrecote 
Goda krispiga pommes
God öl
Pojkvännen är ofta kritisk till kött kvalite men här så sa han...More"
[Swedish],212,199.0,24.0,4,"August 3, 2018 ",Trevlig restaurang i Lund,"Gothenburg, Sweden","Trevlig krog mitt i Lund. Bra uteservering, trevlig personal och god service. Kommer gärna tillbaka och äter igen. Kan varmt...More"
[Swedish],212,8.0,1.0,5,"August 30, 2016 ",Utmärkt gott.,,"Utmärkt god mat, trevlig service. Vi kom utan bokning, men fick ett bra bord. Trevlig vinlista och intresserad kypare."
[Swedish],212,37.0,,4,"August 31, 2018 ",Fin råbiff,,Då vi älskar råbiff går vi faktiskt hit endast för råbiffens skull. Fantastiskt klassisk råbiff där man kan välja mellan...More
[Swedish],212,38.0,7.0,4,"August 4, 2018 ",Bra helhetsupplevelse ,"Lund, Sweden",Klostergatan är snäppet bättre än de flesta restaurangerna i Lund. Det märks speciellt på servicen som är uppmärksam utan att...More
[Swedish],212,12.0,11.0,3,"August 6, 2012 ",Bra o trevlig service men lunchen var märklig.,"Lund, Sweden",Idag till lunch åt jag färskrökt lax i en sallad som mest bestod av paprika...mkt ruckola o en hel del...More
[Swedish],212,21.0,11.0,4,"August 8, 2013 ","Lagom, trevligt och avspänt","Lund, Sweden","Klostergatan bjuder alltid på god mat, i en lagom avspänd miljö, med trevlig personal. En klar favorit att återkomma till...More"
[Swedish],212,37.0,1.0,5,"August 8, 2017 ",Charmig bistro i hjärtat av Lund i fantastiska lokaler,"Lund, Sweden","Boka gärna bord då det ofta är fullsatt. Underbar lokal ger en fin inramning och hög mysfaktor. Vällagad mat, trevlig...More"
[Swedish],212,12.0,28.0,5,"August 9, 2014 ",Levererar alltid!,"Prague, Czech Republic","Jag har ätit här ett par gånger och har alltid varit supernöjd! God mat, duktig personal och trevligt bemötande! Rekommenderas...More"
[Swedish],212,22.0,7.0,5,"August 9, 2017 ",Middag,,"Startade med glas champagne.
Förrätt smörstekta kantareller med karamelliserad lök och vinägercreme. Huvudrätt kalvtartar med buffelmozzarella, cashewnötter  och salsa verde...More"
[Swedish],212,42.0,12.0,4,"December 1, 2015 ",En fullträff på kvällskvisten,,Vi slank in halvhungriga och tog en halv hummer och ett glas vin. Utmärkt. Bra vinlista. Underbar följsam servering. Så...More
[Swedish],212,123.0,23.0,4,"December 11, 2017 ",Servicen har trimmats till med maten ramlat en nivå,"Kavlinge, Sweden",Sist var servicen under lite kritik men denna gången är det maten som faller lite. Soppan till förrätt var precis...More
[Swedish],212,128.0,33.0,4,"December 13, 2017 ",Bra lunch med spets ,"Lund, Sweden","Såja, lunchen riktig bra. Mitt intryck av lunchen bättre än kvällsmenyn.
Bra service, fräscha råvaror!
Lite kyligt att sitta vid...More"
[Swedish],212,14.0,3.0,5,"December 15, 2018 ",Alltid en femma,"Hollviken, Sweden","En av mina favoritställen!! Jättetjusig lokal, bra meny, lite högre priser men som definitivt motsvarar maten. Kan varmt rekommendera både...More"
[Swedish],212,14.0,5.0,5,"December 18, 2014 ",Trevligt ställe !!!,,Mysigt ställe med gott mat och trevliga servitörer ! Fräsch och gott helt enkelt :) !!!!!!!!!!!!!!!!
[Swedish],212,10.0,4.0,1,"December 19, 2016 ","Tråkig personal, smaklös mat","Stockholm, Sweden","Här är maten tråkig, slarvigt serverad och snålt tilltagen oftast. För många gäster, för litet kök. Smaklösaste fisksoppa vi ätit....More"
[Swedish],212,98.0,60.0,4,"December 21, 2014 ",Hit kommer jag gång efter gång,"Limhamn, Sweden",Till Klostergatans Vin & Delikatess återkommer jag gång efter gång. Här får man ordentligt tillagad mat och en fantastisk atmosfär...More
[Swedish],212,8.0,1.0,5,"December 21, 2016 ",Bra barhäng,,"Jag och syrran hängde i baren, drack varsina goda drinkar och beställde sen in en charktallrik som var RIKTIGT bra!...More"
[Swedish],212,12.0,3.0,4,"December 22, 2017 ",Alltid ett bra och säkert kort,"Lund, Sweden",Jag har varit på Klostergatan flera gånger både med vänner och i jobbet och det är ett säkert kort. Maten...More
[Swedish],212,36.0,5.0,3,"December 25, 2017 ",Inte prisvärt ,"Lund, Sweden","Mysig lokal med ”vardagsrums känsla”.
Personalen var kunnig och rekommenderade bra och god dryck till maten. Maten var god men...More"
[Swedish],212,21.0,10.0,3,"December 26, 2015 ",Inte mer än helt ok!,"Lund, Sweden",Efter ett par besök under ett par år tänkte jag nu lämna mitt omdöme som speglar mina erfarenheter över tiden....More
[Swedish],212,14.0,1.0,3,"December 27, 2017 ",Ingem gourmet krog längre,,Mycket trevlig och hjälpsam personal.Vi åt dagens meny och den var slätstruken utan krydda eller eller överraskning. Ej prisvärt
[Swedish],212,64.0,15.0,5,"December 29, 2014 ",Utmärkt  service,"Partille, Sweden","Utmärkt mat, och felfri trevlig service för ett stort blandat sällskap. Låg ljudnivå så det gick att umgås med hela...More"
[Swedish],212,31.0,5.0,5,"December 3, 2016 ",Underbart!,"Lund, Sweden","Har besökt denna restaurang många gånger och blir aldrig besviken. Menyn är lagom stor, finns något för både barn och...More"
[Swedish],212,11.0,1.0,4,"December 3, 2016 ",Mycket trevligt ställe men inte den snabbaste servicen,,Härlig atmosfär. Fullt och stojigt och stimmigt men en stor blandning av folk. Vi åt lunch och maten var mycket...More
[Swedish],212,274.0,52.0,4,"December 6, 2018 ",Lågmält och bra,"Gothenburg, Sweden","Det är inga yviga gester vare sig i lokal, service eller maten, utan en lågmäld framtoning på upplevelsen totalt. Men...More"
[Swedish],212,41.0,13.0,4,"February 1, 2017 ",Gott och smakrikt,"Åhus, Skåne Län, Sweden","Mycket gott och fräscht, åt middag tillsammans med väninnan. 
Mysig atmosfär att sitta och små prata i medan man äter....More"
[Swedish],212,39.0,7.0,5,"February 11, 2017 ",Supergott!,Lund,"Alla i sällskapet var verkligen nöjda med sin mat. Allt var supergott. Jag blev jättemätt, medan min pojkvän, pappa och...More"
[Swedish],212,50.0,14.0,5,"February 12, 2018 ",Ny upplevelse,Lund,Trots boende i Lund aldrig besökt stället. Nu bjöd kollegorna ut mig och vilken upplevelse det blev! Njöt av en...More
[Swedish],212,72.0,9.0,4,"February 13, 2017 ",Bra kött,"Lund, Sweden","Vällagat kött med goda tilltugg, man kan välja att krypa in i ostört hörn eller sitta mitt i smeten med...More"
[Swedish],212,58.0,8.0,5,"February 13, 2017 ",Riktigt bra mat - helt enkelt,Sweden,En mycket bra meny med något för alla smaker. Fisk och skaldjurssoppan är helt klart värt att beställa. Valet mellan...More
[Swedish],212,6.0,6.0,5,"February 14, 2017 ",Bästa restaurangen i Lund,Skåne,Det är hit man går om man vill vara helt säker på att alltid få äta en perfekt måltid och...More
[Swedish],212,1.0,2.0,2,"February 15, 2012 ",bränd hummersoppa,"Lund, Sweden",till förrätt som smakade förfärligt. När det påpekades för servitören nekade han trots att gästerna vid bordet bredvid fick flera...More
[Swedish],212,9.0,1.0,5,"February 15, 2017 ",Romantisk middag för två,"Lund, Sweden","Underbar mat, härlig service och goda viner. Något trångt eftersom restaurangen var fullsatt. Kom ihåg att boka bord! Priset är...More"
[Swedish],212,75.0,15.0,5,"February 18, 2016 ",Fantastisk middag!,"Lund, Sweden","Åt middag här med min fru, och vi är oerhört nöjda. Maten höll mycket hög klass, och likaså servicen. Personalen...More"
[Swedish],212,37.0,8.0,4,"February 20, 2013 ",très bon restaurant,Lund,"En restaurang med hög kvalite på rå varor, personal som vet vad service är och kockarna får ens smaklökar att...More"
[Swedish],212,11.0,10.0,5,"February 23, 2015 ",Underbar atmosfär och mat,"Lund, Skåne Län, Sweden",Underbar mat som är vällagad och en fantastisk atmosfär som gör att jag inte vill gå därifrån. Avslappnat och med...More
[Swedish],212,15.0,1.0,5,"February 26, 2016 ",Vin för alla smaker,"Ystad, Sweden","Åt lördagslunch med lyxkänsla - otroligt trevlig service, riktigt god mat och bra utbud av vin. Värt att besöka Lund...More"
[Swedish],212,55.0,30.0,4,"February 26, 2016 ",Favorit som håller,"Gothenburg, Sweden","Återvänder gärna hit när jag besöker Lund. Trevlig miljö. Effektiv, vänlig och kunnig personal. Genomtänkta och välsmakande menyer samt hyfsad...More"
[Swedish],212,342.0,161.0,3,"February 27, 2015 ",Håller inte riktigt,Lund,"Trevligt bistro med verkligen bra stämning, fullt med glada människor. Man trivs i lokalen och konceptet håller i princip. Trevlig...More"
[Swedish],212,72.0,14.0,5,"February 6, 2017 ",Överraskande pärla i Lund,"Stockholm, Sweden","Trevlig atmosfär, personal och supergod mat. Vi tog en trerättersmeny som var fantastisk med ett gott vi till. Dottern tog...More"
[Swedish],212,31.0,7.0,5,"February 9, 2016 ",Utmärkt lunchställe,"Lund, Sweden","Ett trivsamt ställe, modernt men ändå med lagom ljudnivå. Servicen är vänligt kamratlig, men inte påträngande. Maten är fantasifullt tillagad...More"
[Swedish],212,3.0,,5,"January 1, 2017 ",Intimt,"Malmo, Sweden","Maten är såå god och miljön fantastisk. Det är få restauranger som kan kombinera detta. 
Mycket bra service.
Perfekt för...More"
[Swedish],212,72.0,8.0,5,"January 10, 2018 ",Bästa på länge! ,"Malmo, Sweden",Vi hade bokning kl 6 och åt deras middagsmeny. Det var otroligt gott! Bästa restaurangmaten vi alla fyra hade  ätit...More
[Swedish],212,657.0,161.0,5,"January 18, 2015 ",Trevligt och Gott!,"Stockholm, Sweden","En härlig kväll igen på Klostergatans. Prosecco, en fantastisk löjromsförrätt, oxfilé och reninnerfile med endiver och rotselleri. Därtill en Sancerre...More"
[Swedish],212,2.0,1.0,5,"January 20, 2014 ",Stans bästa restaurang,"Lund, Sweden",Mycket god mat med fransk touch. Kunnig och trevlig personal. Bra dryckessortiment. Bästa restaurangen i Lund.
[Swedish],212,41.0,3.0,5,"January 20, 2014 ",Restaurang med god mat och mycket bra service,,"Jag blev bjuden på lunch med mina f d kollegor. Mycket god lunchmat
Mycket att välja på. Mycket bra personal!"
[Swedish],212,27.0,5.0,4,"January 29, 2016 ",Avslutningsfirande,,"En behaglig miljö, klanderfri betjäning, vettiga priser och en halstrad råbiff som överträffar det mesta. Om man summerar detta kan...More"
[Swedish],212,79.0,4.0,4,"January 3, 2016 ",Sen kväll i Lund,"Solna, Sweden",Tillsammans med sällskap om 10 pers åt vi gott.  Fantastiskt bra oxfilė (285 kr) o vad jag förstod var musslorna...More
[Swedish],212,92.0,20.0,4,"January 6, 2015 ",Hög kvalitet och måttliga priser,"Lund, Skåne Län, Sweden","Man slås av hur allt skapar en helhet: inredning av klassiskt snitt, personal elegant klädda, verserade och effektiva. Går man...More"
[Swedish],212,10.0,,5,"January 7, 2017 ",Fantastik kväll!,Lund,Mycket god mat tillsammans med utomordentlig service med kunnig och trevlig personal är allt du kan begära! Rekommenderas varmt.
[Swedish],212,23.0,7.0,5,"January 9, 2015 ",Trivsamt ställe,"Horby, Sweden","Mat föredömligt tillagad , men portionerna kunde gärna varit lite större , men de kanske är anpassade så för att...More"
[Swedish],212,48.0,17.0,5,"January 9, 2016 ",Den bästa meny jag ätit,"Lund, Sweden",Vi hade något viktigt att fira och det kunde inte ha blivit bättre! En mycket välkomponerad meny med dito vinlista...More
[Swedish],212,29.0,8.0,4,"July 1, 2018 ",Rekommenderas varmt,"Orebro, Sweden","Det här är en mycket, mycket bra restaurang. Trevlig miljö, trevlig personal och maten håller mycket hög klass. Charkbrickan, sparrissoppa,...More"
[Swedish],212,66.0,5.0,4,"July 10, 2018 ",Lunch i Lund. ,"Hoor, Sweden",Jag kan varmt rekommenderar detta.  En mycket god lunch.  Ligger i en bra och lite lugnare ställe.  Väldigt bra servis.
[Swedish],212,164.0,55.0,4,"July 11, 2013 ",Mysig restaurang i centrala Lund,Malmö,Trevlig restaurang med bra service. Maten var god och en trevlig miljö. Mysigt och att rekommendera om man är 2-6...More
[Swedish],212,86.0,169.0,5,"July 14, 2015 ",Alltid bra,"Lund, Sweden",Efter flertalet besök kan jag bara konstatera att det alltid är bra på denna restaurang. Trevlig personal och god mat.
[Swedish],212,26.0,2.0,5,"July 17, 2015 ",Aldrig missnöjd på Klostergatan,,Alltid samma härliga bemötande och alltid samma höga klass på Klostergatan. Har ätit den större delen av menyn och allting...More
[Swedish],212,21.0,5.0,5,"July 17, 2017 ",En bistro av högsta klass,"Stockholm, Sweden",Det här är en ärlig bistro av högsta klass. Ingen missar detaljerna och resultatet blir en ytterst njutbar bistro av...More
[Swedish],212,28.0,15.0,4,"July 18, 2012 ",Goda luncher och fantastiska middagar,"Lund, Sweden","Klostergatan levererar både på lunch och kvällstid. Goda, vällagade och spännande rätter"
[Swedish],212,4.0,4.0,5,"July 19, 2013 ",Mycket fin mat!,Lund,"Åt trerätters här med ett sällskap på 12 personer i samband med ett examensfirande och blev inte besviken.

Kammusslan såg...More"
