"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[German],8,143,39.0,5,"October 11, 2015 ",Exzellentes italienisches Restaurant,"Vienna, Austria","Alles stimmig: Bedienung, Qualität der Speisen (z.B. zu empfehlen: Pizzen mit Büffel-Mozzarella), Auswahl, Portionen wie auch die Preise. Vorsicht: Gerade...More"
[German],8,241,107.0,4,"October 18, 2017 ",Sehr leckeres Essen,"Neudenau, Germany","Kleine Portionen, aber sehr lecker. Auch der Wein ist hervorragend. Zu zweit kann man sich gutb 5 Portionen teilen, das...More"
[German],8,71,29.0,5,"September 6, 2015 ",Gutes Konzept,"Mainz, Germany","Interessantes Konzept mit kleinen Speisen zu überschaubaren Preisen. Alles war sehr lecker, besonders der Lachs. Aufmerksamer Service. Wir kommen bestimmt...More"
[Italian],11,6,,5,"April 4, 2017 ",Bella sorpresa ,,"Ottimo ristorante in centro.  Carino esteticamente, ma soprattutto con una buona cucina che spazia tra italiano (Pizza olive e burrata...More"
[Italian],11,76,40.0,5,"December 14, 2015 ",""" Atmosfera piacevole """,nettuno,"Abbiamo cenato in questo locale dove abbiamo trovato oltre ad un'atmosfera eccezionale anche un ottimo cibo, la nostra nipotina è...More"
[Italian],11,29,10.0,1,"December 16, 2018 ",Pessimo.,"Rome, Italy","Pessimo servizio. Siamo arrivati alle 21:30 al ristorante, il cameriere gentilmente ci ha detto che ci avrebbe liberato un tavolo...More"
[Italian],11,174,45.0,3,"March 28, 2016 ",Forno a legna,Emilia Romagna,Caratteristica di questo locale e' il forno a legna che consente di ottenere una pizza molto simile a quella che...More
[Italian],11,573,221.0,4,"May 1, 2018 ",Niente male,"Turin, Italy","In genere all'estero evito i ristoranti con cucina italiana, ma essendo una cena di lavoro sono contenta di averlo provato...More"
[Italian],11,32,8.0,4,"May 20, 2017 ",Bella sorpresa il VED,"Imperia, Italy",Difficile avere un tavolo interno se non si è prenotato. Ambiente originale.  Se dentro non c'è posto e accetti di...More
[Italian],11,222,66.0,5,"November 24, 2015 ",ottima pizza,,"abbiamo mangiato in questo ristorante dopo aver prenotato, visto che la prima volta non ci siamo riusciti perchè era tutto...More"
[Italian],11,39,4.0,4,"October 1, 2017 ",Prenzo di lavoro,"Kristianstad, Sweden","Ogni volta che sono qui per lavoro mangiamo qui nella pausa pranzo. Ho assaggiato la pizza, la carne e le...More"
[Italian],11,195,40.0,5,"October 12, 2017 ",Ottimo e molto carino!,"Rome, Italy","Bisogna prenotare perchè è sempre pieno in quanto la cucina è ottima. Fanno anche una buona pizza, con forno a...More"
[Italian],11,1,,5,"September 21, 2017 ",Best i stan,,"Buona pizza, buon servizio, vera pizza napoletana , e da provare  vera mozzarella da Napoli con pomodoro sån marzano"
[Italian],11,144,26.0,3,"September 25, 2016 ",Tapas svedesi,"Genoa, Italy",Si tratta di un ristorante che propone pizza fatta in forno a legna oppure tapas rivisitate in stile svedese. Io...More
[Japanese],1,138,13.0,3,"September 29, 2018 ",予約なしだったので冬に外に座るはめに,"Malmo, Sweden",冬に行き店内は空席はあったものの予約優先とのことで、店内希望でしたが広場外の席に案内されました。雪の日でした。ヒーターも...More
[Norwegian],1,10,,5,"July 30, 2018 ",Trendy sted,"Levanger, Norway","VED er en trendy pizza og tapas servering, som har meget stilige lokaler. Anbefales både på maten og opplevelsen av...More"
[Portuguese],1,25,10.0,4,"October 15, 2018 ",Excelente atendimento,,"Fomos a este restaurante no dia em que chegamos às 22:00 horas o que para Lund é muito tarde!
A...More"
[Russian],2,23,5.0,5,"December 6, 2014 ",ved,"Yerevan, Armenia",Начну с того что меня очень понравилось зайдя в ресторан.кирпичные стены с картинами. фасад тоже мне понравился.а теперь перейдем к...More
[Russian],2,14,52.0,1,"November 19, 2018 ",Несправедливо переоцененный ресторан,,"Худший ресторан в Лунде. Порции маленькие, еда не представляет из себя ничего особенного, нет изыска. В помещении очень шумно и...More"
[Spanish],1,354,135.0,3,"May 3, 2017 ",Pizzeria de leña,"Motril, Spain",Lo único destacable es que la pizza es de horno de leña. Fuimos al medio día y resulta que la...More
[Swedish],214,38,7.0,3,1 week ago ,"Trevlig atmosfär, men lite over-priced","Lund, Sweden","Stor, men mysig restauranglokal. Menyn består av ”mellanrätter” som gambas i vitlök, kammusslor och lamm, alternativt pizza. Har varit här...More"
[Swedish],214,268,56.0,4,1 week ago ,Goda pizzor direkt från ugnen,"Helsingborg, Sweden","Var här en lunch på helgen. Smart med minskad meny, vilket gjorde att maten kunde serveras fort.
Pizzan var god,...More"
[Swedish],214,20,6.0,3,3 days ago ,Möter förväntningarna ,,Har tidigare varit på restaurangen och så fått dålig service och eftersom vi hade en tid att passa bad vi...More
[Swedish],214,3,1.0,5,3 weeks ago ,Fantastiskt,"Lund, Sweden","Absoluta favoritstället att gå till i Lund, sommar som vinter. Fantastisk meny, atmosfär och personal."
[Swedish],214,7,1.0,4,4 days ago ,Samma meny men trevliga mellanrätter och god pizza,"Lund, Sweden","Här bytar dom inte meny, men det är gott ändå! Mycket trevligt sen de öppnade upp hela restaurangen. Trevlig personal...More"
[Swedish],214,48,3.0,4,4 weeks ago ,Trevlig restaurang i Lunds centrum,"Lidkoping, Sweden",Snygg restaurang med mat inriktad på vedugnsbakade pizzor samt rätter i mellanrättsstorlek. Åt svamprisotto och lammracks. Båda rätterna helt ok....More
[Swedish],214,12,5.0,4,"April 1, 2015 ",Toppen!,,Väldigt mysig atmosfär och väldigt trevlig och tillmötesgående personal. Vi åt pizzorna som var väldigt goda och prisvärda och vi...More
[Swedish],214,10,,4,"April 10, 2017 ",Trevligt,,"Mycket trevligt, det gäller att boka i tid för ont om platser om kvällarna. Pizzan är supergod och trevlig personal."
[Swedish],214,1,2.0,2,"April 12, 2016 ",Besvikelse ,,Blev djupt besviken efter kvällen på Ved. Servitören råkade hälla ut pestosåsen så att den hamnade på min och min...More
[Swedish],214,76,16.0,5,"April 17, 2017 ",Jättegott!,"Malmo, Sweden","Boka bord, även en vardag! Ganska liten restaurangdel. Supergott! Beställ pizza eller några smårätter."
[Swedish],214,1,2.0,4,"April 18, 2017 ",Hur det kan hända?,,Vi besökte Ved i Lund på påskdagen. Riktigt fint och mysigt ställe. Maten var gott( min pizza smakade jätte bra)...More
[Swedish],214,10,,5,"April 19, 2017 ",Gott och trevligt,,"I sällskapet beställdes både smårätter och pizza. Smårätter var mycket goda, getosten kan verkligen rekommenderas. Flanksteken smälte i munnen ,...More"
[Swedish],214,124,14.0,2,"April 2, 2016 ",Kvällsmiddag,"Skelleftea, Sweden",Underbemannat och ganska smaklös mat. Okej proser men skulle imte gå tillbaka flr ett återbesök. Personalen var dock trevlig. Miljön...More
[Swedish],214,386,49.0,4,"April 2, 2017 ",Mycket trevligt ställe....,"Lund, Sweden","Som sagt Ved är ett mycket trevligt och välbesökt ställe mitt i Lund.

Serverar goda ""halv-rätter"" och vedugnsbakade pizzor.

Dock...More"
[Swedish],214,7,6.0,5,"April 23, 2017 ",Så himla bra.,"Lund, Sweden","Goda viner, god mat, trevlig service genom hela besöket. Väldigt fin lokal och helt underbar inredning - tyvärr lite i...More"
[Swedish],214,142,32.0,3,"April 23, 2017 ",Lördagkväll ,"Malmo, Sweden","Trevlig restaurang i centrala Lund. Klassisk charkbricka valdes först, därefter tryffelrisotto samt flankstek med rödvinsås. Maten smakade bra och var...More"
[Swedish],214,5,,5,"April 25, 2016 ",Vedugnsbakade pizzor,,"Så så gott! Bjöd min kompis på födelsedagsmiddag här och det blev fantastiskt. Vi delade på två pizzor, en vegetarisk...More"
[Swedish],214,53,2.0,4,"April 26, 2016 ",Rustikt med vällagad mat,"Lund, Sweden","Hade inte beställt bord för två men kom så pass tidigt att det löste sig (17:20). 

Beställde två mellanrätter och...More"
[Swedish],214,49,3.0,5,"April 29, 2018 ",Toppengod pizza,,Jättegod vedugnsbakad pizza och olika smårätter. Bra läge på torget. Underbart att sitta ute i vårsolen och titta på folklivet.
[Swedish],214,70,17.0,5,"April 5, 2018 ",Bäst i stan?!,"Lund, Sweden","Fantastiskt trevlig och trivsam miljö
Fantastiskt god mat, bästa pizzan i Lund?
Fantastiskt trevlig, serviceminded och skicklig personal
Hit går...More"
[Swedish],214,54,3.0,5,"April 6, 2017 ",Pizza,,En mycket trevlig restaurang i Lunds centrum som bland annat  serverar vedugnsbakade pizzor. Det finns inte så många att välja...More
[Swedish],214,72,20.0,4,"August 1, 2014 ",En härlig upplevelse,"Nacka, Sweden","Det börjar med trevligt mottagande, arrangerande av bord, filtar till barnen och gasolvärmare i beredskap. Sen fortsätter det med god...More"
[Swedish],214,4,2.0,1,"August 1, 2018 ",Urdålig service och illa komponerad rätt,"Vancouver, Canada","Ett riktigt bottennapp! Extremt nonchalant service och en lunch för dyra 120 kr var inte bara illa komponerad, den var...More"
[Swedish],214,41,3.0,3,"August 10, 2016 ",Trevlig uteservering,,"Var där en skön sommardag, skönt att sitta. Trevligt vid Mårtenstorget, bra personal. Fanns en del rätter att välja mellan,...More"
[Swedish],214,15,7.0,3,"August 11, 2016 ",God pizzor,,"Trevlig uteservering som ofta är fullsatt vid fint väder. Boka bord! 

Vi äter alltid pizza här, de är goda och...More"
[Swedish],214,264,56.0,2,"August 12, 2015 ","Långsamt, ouppmärksamt och medelmåttigt kök","Lund, Sweden","Vi beställde fördrink, förrätt och huvudrätt samtidigt. Efter påminnelse om fördrinken så dök plötsligt förrätterna upp innan vi ens fått...More"
[Swedish],214,565,100.0,2,"August 13, 2015 ",Mysig lokal- dålig service!,"Kalmar, Sweden",Supermysig lokal i vid Mårtenstorget i Lund. Hade högre förväntningar när jag klev in genom dörrarna än vad man klarade...More
[Swedish],214,64,38.0,5,"August 13, 2017 ",Bra söndagsmiddag i Lund,"Stockholm, Sweden","Besökte Ved uterestaurang med mina Lundastudenter. Vi beställde 4 förrätter som alla var till belåtenhet. Därefter några vedugnspizzor. Trevligt bemötande,...More"
[Swedish],214,18,1.0,4,"August 13, 2018 ",God Mat,"Kavlinge, Sweden",Var här för att avtacka en arbetskamrat och blev inte besviken vi var ett gäng på 8 stycken som hade...More
[Swedish],214,93,13.0,3,"August 14, 2018 ",Ok lunch ,"Lund, Sweden",Åt lunch här och tycker att maten är ok men inte mycket mer. Bra service och ett trevligt bemötande.
[Swedish],214,58,23.0,4,"August 15, 2017 ",Trevligt lokaliserad restaurang som levererar om du väntar...,,Vi brukar från och till beställa hem pizzor från VED och dessa är mycket goda och i mina ögon prisvärda....More
[Swedish],214,79,3.0,4,"August 15, 2018 ",Bra service ,,Helt ok uteservering. Mycket trevlig och serviceminded personal. Mycket god risotto och chokladmousse. Kanske lite lite att välja på.
[Swedish],214,3,3.0,2,"August 16, 2015 ","Bra pizzor, värdelös service.","Lund, Sweden","Pizzorna hör till de bättre jag någonsin ätit, servicen är nog helt ärligt; det sämsta jag någonsin upplevt på restaurang....More"
[Swedish],214,43,4.0,4,"August 16, 2017 ",Tapas på VED,"Nacka, Sweden","Vi var 3 personer , vi åt 2 Tapas var och delade på charkbrickan.  Vi åt Veds bricka, vedugnsbakad getost,...More"
[Swedish],214,12,,4,"August 16, 2018 ",God kvällsmat,"Sundsvall, Sweden",Härlig uteservering en varm sommarkväll. Bra centralt läge vid torget och enkelt att hitta. Många sittplatser uppdelat på två serveringar....More
[Swedish],214,6,,3,"August 17, 2015 ",Väldigt mycket kanter på pizzan...,"Lund, Sweden","Pizzan var god i mitten, men den del som hade tomatsås var för liten och jag tyckte mest jag satt...More"
[Swedish],214,4,,3,"August 19, 2016 ",Nja,"Alanya, Turkey",Inte så gott dom jag trodde. Pizzorna såg väldigt goda ut men jag åt risotton som varken var särskild god...More
[Swedish],214,4,14.0,1,"August 2, 2017 ",Otrevlig bemötande,Sweden,Väldigt otrevlig och arrogant bemötande av en manlig servitör. Kan inte uttala mig om maten eller drycken eftersom vi gick...More
[Swedish],214,108,12.0,4,"August 20, 2017 ","""Hemlagad"" Pizza i centrum","Stockholm, Sweden",Väldans god pizza med riktig mozarella och hemlagad tomatsås i trevlig miljö samt trevlig och rapp service.
[Swedish],214,130,34.0,4,"August 20, 2018 ",Gott om folk...,"Bredaryd, Sweden",...måste betyda god mat tänkte vi och blev serverade en fantastiskt god vegetarisk pizza. Och trots allt folk inte så...More
[Swedish],214,168,46.0,3,"August 24, 2015 ",God pizza,"Malmo, Sweden",Kom i sällskap där nästan alla valde pizza. Vi fick beställa ganska snabbt och det var rimlig väntetid. Inte så...More
[Swedish],214,22,1.0,4,"August 24, 2016 ",supermysigt,,"Jag har ätit flera gånger på VED. Suttit både ute och inne, både på lunch och på kvällen. Dom vedeldade...More"
[Swedish],214,51,8.0,3,"August 25, 2016 ",Helt ok,,Jag får nog säga att maten är prisvärd! Köket gör ett bra jobb! Har ätit här två gånger och båda...More
[Swedish],214,1,1.0,3,"August 26, 2015 ",Ok,"Lund, Sweden","Goda pizzor. Den andra maten var ok. Lite vimsig och oplanerad service, dem hade lite dålig koll. Men trevliga."
[Swedish],214,30,4.0,4,"August 26, 2018 ",Bra,"Kungsbacka, Sweden","Väldigt god lunch, vällagat och smakrikt. Personalen serviceminded och trevliga.
Uteservering med infravärme, mysigt och ombonat.
Rekommenderad."
[Swedish],214,4,,5,"August 27, 2018 ",Middag,Järfälla,"Bra service, god förrätt bestående av veds charkbricka för två, samt en kanon pizza som varmrätt! Bra urval av öl...More"
[Swedish],214,1,4.0,2,"August 28, 2018 ",En glömd pizza är också en pizza,,Vi var ett sällskap på sju personer som gick till VED och ett bokat bord för att fira min dotters...More
[Swedish],214,12,8.0,2,"August 3, 2015 ",Vill att det ska vara bättre än det verkligen var,,Varit på ved 3 gånger. 1 gång har det varit bra och 2 gånger dåligt.  Åt pizza under första besöket...More
[Swedish],214,19,6.0,2,"August 3, 2017 ",Groteskt lpngsamt,,Maten är bra men undvik uteplatsen! Uteplatsen är trevlig men mycket underbemannad. Flera besök har gett samma upplevelse- helt enkelt...More
[Swedish],214,37,6.0,2,"August 3, 2018 ",Ok mat inte ok service ,"Helsingborg, Sweden","Var här med två kompisar, inget fel på maten. Jag tog en Stark pizza med chili. Smaken var god men...More"
[Swedish],214,25,7.0,5,"August 30, 2016 ",Mysigt,"Hassleholm, Sweden","Mycket mysigt och prisvärt ställe! Mina varmaste rekommendationer . Trevlig personal, god mat och mysig interiör 👌🏼❤️"
[Swedish],214,16,1.0,4,"August 31, 2016 ",God mat och trevlig uteservering,"Genarp, Sweden","God mat i form av smårätter, fanns även vedugnsbakad pizza. Smårätterna var verkligen att rekommendera! Pizzan var helt ok. Vi...More"
[Swedish],214,6,4.0,1,"August 4, 2017 ",Hr,Prag,Vi var två personer som skulle äta och fick verkligen jobba på att få personalens uppmärksamhet i en för övrigt...More
[Swedish],214,30,4.0,4,"August 5, 2016 ",God mat och mysig stämning,,"Jag har ätit smårätterna när jag varit på VED och de är väldigt goda! Rekommenderar risotton med tryffel, laxen och...More"
[Swedish],214,1,3.0,2,"August 5, 2018 ",Urdålig service,"Karlstad, Sweden","Restaurangen såg trevlig ut från utsidan. Men vistelsen var ett redigt bottennapp. 

Servicen var katastrofalt dålig och maten medioker. Hit...More"
[Swedish],214,26,9.0,5,"August 6, 2016 ","god mat, trevlig personal","Trelleborg, Sweden",Snabb service av mycket trevlig personal. Pizzorna är superba! Dela gärna en till förrätt! Absolut prisvärt!
[Swedish],214,36,10.0,5,"August 7, 2016 ",Hög mysfaktor,"Lund, Sweden",Både pizzorna och övrig mat jag provat har varit vällagad och god. Mysig lokal och stämning och trevlig och engagerad...More
[Swedish],214,22,19.0,2,"August 8, 2015 ",URUSEL service!!!!! Aldrig mer ,"Lund, Sweden",Vi skulle egentligen bokat på en annan restaurang i Lund men dom hade semesterstängt just denna veckan. Dom i sin...More
[Swedish],214,1,1.0,2,"August 8, 2017 ",Dåligt...,,Jag besökte VED för lunch med en vän. Medan jag väntade på mitt sällskap erbjöds jag dricka så beställde mineralvatten....More
[Swedish],214,183,29.0,4,"August 8, 2017 ","Goda smårätter, smaskiga pizzor och fin miljö.","Stockholm, Sweden","Vi satt inne i den mysiga restaurangen, fick fint och vänligt bemötande från trevlig personal. Det var ganska fullt, men...More"
[Swedish],214,5,,5,"August 8, 2018 ",Mycket nöjd,,"Min man och jag åt en middag som var super god. Jag tog pilgrimsmusslorna (fantastiska) och laxen, mannen tog havets...More"
[Swedish],214,27,3.0,5,"August 8, 2018 ",Ved levererar!,"Lund, Sweden",Otroligt god mat! Frun tog pilgrimsmusslorna och laxen och blev mätt och mycket nöjd :) Jag tog deras pizza Havet...More
[Swedish],214,72,15.0,3,"August 9, 2016 ",Nja,"Staffanstorp, Sweden","Beställde två pizzor från Veds sortiment med hem.
Fick ett väldigt bra bemötande av personalen.
Pizzorna kostade på avhämtning 100...More"
[Swedish],214,38,1.0,4,"August 9, 2017 ",Bra mat till rimligt prod,"Orebro, Sweden","God mat, både pizzorna och tapasrätterna. Trevlig miljö och god service. Bordsbeställning nödvändig. Baconpizzan var nog bäst tyckte mitt sällskap!"
[Swedish],214,19,9.0,4,"December 12, 2015 ",Bästa pizzan! ,,"Har ätit pizza där vid ett flertal tillfällen nu, riktigt gott! Lite vimsig personal, men det gör mig ingenting. Jag...More"
[Swedish],214,16,5.0,4,"December 13, 2015 ","Bra mat, pizzor och trevlig personal","Roumazieres-Loubert, France","Fin ställe med bra atmosfär, bra service, kan rekommendera ostpizzan som kommer med fikon marmelad och nötter, bland annat."
[Swedish],214,1,3.0,2,"December 15, 2016 ",Pinsamt dåligt tillmötesgående,"Lund, Sweden",Känner jag mig lurad? Ja det gör jag faktiskt. På VED blev jag behandlad riktigt oproffsigt och jag skäms inte...More
[Swedish],214,2,8.0,2,"December 15, 2016 ",Bristande service..... tyvärr :(,,För att avnjuta en trevlig middag utanför hemmets väggar hade vi bokat bord på VED vid 21 en torsdag. Jag...More
[Swedish],214,251,51.0,4,"December 16, 2017 ",Vilken positiv överraskning!,"Loddekopinge, Sweden",Har varit här någon gång tidigare men något har hänt och det är positivt. En väldigt cool inredning och stämning...More
[Swedish],214,5,3.0,5,"December 19, 2016 ",En av Lunds bästa restauranger!,,"Fantastiskt bemötande, omtänksamma o supertrevliga servitörer. 
God mat, mkt goda pizzor 
riktigt bra viner på glas till vettigt pris. Verkligen...More"
[Swedish],214,16,4.0,5,"December 19, 2016 ",Middag,"Malmo, Sweden","Första besöket på Ved i Lund. Åt pizza, som var otroligt god,
många goda  smaker. Rekommenderar denna restaurang."
[Swedish],214,19,1.0,5,"December 2, 2014 ",Mycket mysigt ställe för en romantisk middag eller bara mysa i den trevliga lokalerna,"Lund, Sverige",En favoritrestaurang dit vi gärna går. God mat trevlig personal som är noggrann mad att ta väl han om sina...More
[Swedish],214,10,6.0,3,"December 2, 2018 ",Alltför lång väntan på god pizza,"Lund, Sweden",När vi till sist (efter 45 minuters väntan) fick våra pizzor fick vi skynda oss att äta för att hinna...More
[Swedish],214,51,20.0,2,"December 20, 2018 ",Mer hippt än gott,,"Personalen var frånvarande, högfärdig och mest intresserad av att sälja drinkar. 

Maten var okryddad, snålt tilltagen och kändes inte fräsch....More"
[Swedish],214,5,6.0,3,"December 22, 2018 ",Helt okej.,,"Snabb service.
Helt okej mat, något flottig risotto - fast var troligen min kombination som gjorde att jag upplevde det...More"
[Swedish],214,36,5.0,4,"December 25, 2017 ",Goda pizzor,"Lund, Sweden",Varit på VED vid flertalet tillfällen och alltid blivit nöjd. Rekommenderar framförallt deras goda pizzor men även andra rätter jag...More
[Swedish],214,53,12.0,4,"December 29, 2015 ",Gott!,,"En mysig och trevlig restaurang. Maten och efterrätterna var alla supergoda, fem poäng. Det som drar ner betyget något är...More"
[Swedish],214,1,4.0,1,"December 7, 2016 ",Extremt dålig service.,,"Väldigt god pizza, absolut! Däremot är servicen helt värdelös. Personalen är inte servicebenägna till fem öre, de är dessutom okunniga....More"
[Swedish],214,26,10.0,3,"December 8, 2016 ","Klantig service, bra mat.",Barsebäck,"Personalen vänlig och maten vi beställde var mycket god! MEN servitören råkade, när han serverade, välta vinflaskan över bord och...More"
[Swedish],214,189,24.0,5,"February 10, 2018 ",Snyggt & hippt,"Malmo, Sweden","Riktigt snygg lokal och interiör, trevlig och allert personal. Maten var god och atmosfären trevlig. Hit kommer vi fler gånger,...More"
[Swedish],214,14,5.0,2,"February 11, 2017 ",Dålig service,"Sjobo, Sweden","Besökte VED en fredagkväll. Bokat bord online. Vi fick en ""slot"" mellan 18:30-20:45.  Beställde pizzor som kom fort och lätt...More"
[Swedish],214,14,21.0,1,"February 13, 2018 ","Inte att rekommendera, läs nedanför!","Malmo, Sweden","Jag och min sambo besökte VED en vanlig vardag. Vi önskade lite enklare mat, typ pasta, pizza och då passade...More"
[Swedish],214,16,4.0,5,"February 14, 2017 ",Kanon,"Malmo, Sweden","Nio ""gamla"" goda vänner besökte Ved. Alla åt olika rätter, pizza, mellanrätter. Fick maten samtidigt och vilken mat.... mycket, mycket...More"
[Swedish],214,9,1.0,5,"February 15, 2017 ",Lunch,"Lund, Sweden",Väldigt god och prisvärd helglunch! Tycker det är jättetrevligt att de har lunch på helgen för det är ju då...More
[Swedish],214,72,12.0,5,"February 17, 2015 ",Rekommenderas: god mat & bra service!,,"Otroligt trevlig restaurang med lika trevlig personal och fantastisk mat! Vi åt den vedugnsbakade pizzan, 3 mellanrätter och sedan dessert...More"
[Swedish],214,13,3.0,2,"February 17, 2018 ","För salt, för lång väntetid","Helsingborg, Sweden","Bra smak på pizzorna. Dock alldeles för salt. En bra kock ska aldrig översalta.
Vi frågade om maten tar lång...More"
[Swedish],214,106,46.0,5,"February 2, 2017 ",Kanonställe!,"Luleå, Sverige",Vi var ett sällskap på åtta stycken en onsdagkväll på Ved. Där serverades vi delikata smårätter som var en fröjd...More
[Swedish],214,152,41.0,4,"February 24, 2015 ",Trevligt,"Falkenberg, Sweden","Blev tipsad av min son om Ved
Skickar gärna tipset vidare.
Väldigt trevligt och goda pizzor och goda mellanrätter.
Gå...More"
[Swedish],214,40,7.0,5,"February 24, 2016 ","""Ved"". Restaurangen som är roligare än namnet",Linköping,"När man väl kommit in, förstår man varför restaurangen har det namn den har: ""Ved"" för här är det vedugn...More"
[Swedish],214,1,,5,"February 27, 2016 ",pizza på en hög nivå!!,,Hade hört talas om restaurangen av en vän och tänkte prova den när jag va nere i Lund i jobbet..det...More
[Swedish],214,15,11.0,4,"February 27, 2017 ",Service på Topp!,"Katrineholm, Sweden","Vi var hungriga när vi kom till Botulfstorget med bussen, och såg skylten och entrén till restaurangen. En chansning. Vi...More"
[Swedish],214,3,2.0,4,"February 29, 2016 ",Trevlig upplevelse,,Charketuritallriken var enkel men god och snyggt upplagd. Flanksteken perfekt stekt. Risotton var ljuvlig. Pilgrimsmusslorna var goda men purén till...More
[Swedish],214,32,6.0,5,"February 6, 2015 ",Trevlig personal och god mat,"Gothenburg, Sweden",Väldigt trevlig restaurang med lika trevlig personal och mat! Mysigt både inne och ute och god mat från den vedeldade...More
[Swedish],214,161,66.0,3,"February 7, 2015 ",Helt ok pizza men för dyr,"Hoor, Sweden","Modern och spännande miljö.
Vi åt vedugnsbakad pizza. God smak och toppad med bra råvaror.
Men 135:- är alldeles för...More"
[Swedish],214,5,1.0,2,"February 7, 2017 ",Dåligt!,,"Vi var ett sällskap på ca 15st. Först blev vi uppdelade i två gruppen 10, 5. Fast det fanns ett...More"
[Swedish],214,55,12.0,4,"February 7, 2018 ",Väl värt ett besök,"Lund, Sweden",Var i helgen på VED och hade bokat bord. Fick sitta långt in i lokalen vilket var trevligt. Mysig lokal...More
[Swedish],214,18,1.0,3,"January 13, 2016 ",Helt okej men inte så mycket mer,Landskrona,Jag och ett par vänner var på ved. Vännerna beställde pizza och jag beställde lamm med pommes sidanom. Chokladfondant till...More
[Swedish],214,80,12.0,4,"January 14, 2017 ",Lördagslunch,"Malmo, Sweden",Goda lunchpizzor och trevlig stämning. Lockar både unga och äldre och därför en go blandning av folk.
[Swedish],214,58,25.0,4,"January 15, 2017 ",Söndagslunch,"Gothenburg, Sweden","Letade efter bra mat i Lund en söndag em, det bar inte lätt! Men vi hittade Ved och blev mycket...More"
[Swedish],214,16,13.0,2,"January 18, 2018 ","God mat, dålig service",,"God pizza! Mycket smak och härligt bakade i vedugn. Restaurangen är mysig med många som hämtar mat. 
Men allvarligt talat...More"
[Swedish],214,76,11.0,3,"January 23, 2016 ",Det räcker inte hela vägen!,"Helsingborg, Sweden","Hemtrevlig, avslappnad miljö med skön soft musik i bakgrunden. Det allt mer populära konceptet med mellanrätter känns helt rätt, med...More"
[Swedish],214,21,,5,"January 28, 2016 ",Lounge-restaurang med bra menu ,,En riktig smakupplevelse. Större varianter av tapas med bra råvaror och bredd. Trevlig och kunnig personal. Mysig men något högljudd...More
[Swedish],214,1,1.0,2,"January 30, 2017 ",Bra mat men oförskämd personal,,Vid bokning på webben fick vi ett tvåtimmarspass. Efter en dryg timme försökte personalen köra ut oss för att de...More
[Swedish],214,11,13.0,4,"January 5, 2015 ",Mysig restaurang,Sweden,"Väldigt mysig och trevlig restaurang. Häftiga tavlor i lokalen. 
Trevlig personal som snabbt kom med menyn. Vi var där på...More"
[Swedish],214,41,6.0,5,"January 6, 2016 ","Bra små rätter men långsam, mycket långsam service.",Singapore,Ligger ganska trevligt bredvid konsthallen. Lyckades få bord mitt i jul rushen. Kass service men bra mat.
[Swedish],214,14,5.0,4,"January 6, 2017 ",Middag,"Bromma, Sweden","Vi var ett större sällskap som åt olika saker från menyn. Några åt pizza andra åt smårätterna, alla var mycket...More"
[Swedish],214,26,5.0,4,"January 7, 2015 ",Väldigt goda vedugnspizzor!,,"En väldigt kall januarisöndag ville vi äta lunch i Lund, men det var inte särskilt många restauranger som hade öppet....More"
[Swedish],214,95,12.0,4,"January 7, 2017 ",Catering,"Lund, Sweden","Ligger mitt i stan, jättefin gammal lokal. Maten är god, vi beställde hem mat till nyår, god mat men tyckte...More"
[Swedish],214,133,36.0,4,"July 1, 2016 ",God mat!,"Orebro, Sweden",Läste i tidigare recensioner att man fått dålig service. Vid vårt besök var servicen dock mycket bra och maten var...More
[Swedish],214,9,1.0,3,"July 10, 2017 ",God mat men dålig service ,"Trollhattan, Sweden",Vi var på Ved en lung söndag kväll i juli. Maten var god men servicen dålig. Vi fick påminna om...More
[Swedish],214,17,9.0,4,"July 11, 2017 ",X,Sweden,"Kanongod Flankstek - men vem har kommit på iden att blanda grillad sparris, hallon och hasselnötter?  En synnerligen märklig blandning...More"
[Swedish],214,43,4.0,5,"July 11, 2017 ",Jätte god middag,"Nacka, Sweden","Vi bestämde oss för deras mellan stora rätter, typ tapas, vi var 3 personer, tog 2 rätter var. Vi blev...More"
[Swedish],214,79,23.0,4,"July 14, 2018 ",Rörig personal,"Lund, Sweden","Vi var ett medelstort sällskap som bokat bord på uteserveringen. Det var tydligt att man skulle vänta på bordsplacering, men...More"
[Swedish],214,10,3.0,3,"July 14, 2018 ",God mat,,"Bra mat men usel serveringspetsonal, väldigt nonchalanta. Vi fick till slut påkalla uppmärksamhet för att få betala, trots väldigt få...More"
[Swedish],214,13,3.0,5,"July 16, 2015 ",Super,,"Ved är en pärla i Lund! Goda mellanrätter. Trevlig personal. Varit här med vänner, med min älskling. Kommer gärna tillbaka...More"
[Swedish],214,2,1.0,5,"July 16, 2016 ",Herr,"Frigiliana, Spain",Fantastisk pizza och bra service. Rekommenderas starkt....verkar som jag av någon anledning måste skrivas 100 bokstäver för att kunna posta....More
[Swedish],214,25,18.0,2,"July 17, 2015 ",Ömsom vin men inget vatten,Lund,Har besökt Ved några gånger under senaste tiden och tyvärr är det upp och ner på denna restaurang. Vid senaste...More
