"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[English],94,241,55.0,4,"April 8, 2018 ",Late lunch,"Skanor, Sweden","We went for a nice late lunch in the sun. Service was slow from both the waiters and the kitchen. However once we had their attention the staff were friendly and helpful. Food was served in generous portion sizes, compensation for the higher than average...More"
[English],94,35,6.0,3,"August 11, 2017 ",Summer evening outdoors,"Risskov, Denmark","We were 3 generations, dining outdoors in the chilly August evening! Staff, friendly, helped some of us with blankets  and guided us through the menu card! The rest had wood fired pizzas (Ved means wood) and were satisfied! I had baby lamb chops! OK! Price...More"
[English],94,49,12.0,4,"August 12, 2016 ",Great service and very nice pizza!,"Amsterdam, The Netherlands",We were welcomed by the somewhat grumpy manager and we had to wait for our table until it was finished. The restaurant has a stunning pizza oven and the place looks very nice. The waitress who helped us during the evening was extremely friendly and...More
[English],94,17,3.0,4,"August 15, 2017 ",Very good pizza,"Helsinki, Finland","Ate here a lunch in July 2017, very good pizza from a stone oven and polite service. Looking for pizza, definietly worth visiting. No experiences of full dinner, based on the lunch however wouldn't act suspicious."
[English],94,19,6.0,4,"August 16, 2015 ",Gorgeous!,leipzig,"We went in for quite a late dinner: the food was delicious and for good value, the interior tasteful and the service excellent! I definetely recommend it!"
[English],94,3,,4,"August 16, 2016 ",Noir ambient,"Chivasso, Italy","+ good courses
+ quite abundant portions  
+ nice noir ambient with cool pictures on the wall
+ a waiter remind me a Narcos character
+ good beer

- not a single word spent to describe a meal
- not exactly cheap"
[English],94,1,4.0,1,"August 23, 2017 ",Nice food but terrible service,"Lund, Sweden","went for lunch here today, took more than half an hour to get dagens! Waiter was rude and ignored when i asked for the bill. Food was ok"
[English],94,146,157.0,5,"August 26, 2017 ",Delicious meal and friendly service ,"Solihull, United Kingdom","Food was great, and we look forward to returning to VED. We had an evening meal and chose to sit outside. There was then a huge rainstorm, and we found we had to sit outside as all inside tables were taken. A bit to our...More"
[English],94,6,1.0,3,"August 27, 2018 ",A lot of waiting,"Prague, Czech Republic","Had to wait quite a while just to be seated, and even when seated we had to wait a very long time for the waiters to even take our drink order. It seemed as if the waiters had way too much to do even though...More"
[English],94,214,59.0,4,"August 29, 2016 ",Great pizza!,"Lund, Sweden","We have often done take away from Ved and I have eaten lunch there once.
Still focusing on pizza.
This is the best pizza I have been eating in Sweden. The dough is soft, not too thin, not too thick, just perfect.
The topping are...More"
[English],94,1,,2,"August 30, 2018 ",Looong waiting time,"Malmo, Sweden","More than 45 min waiting time  for pizza is not acceptable for this kind of restaurant. 
To get the bill for the good you had  ordered but didn't get is more than acceptable."
[English],94,37,7.0,4,"August 4, 2016 ","Amazing food, abysmal service","Lund, Sweden","This is my favourite restaurant in Lund, maybe even in the world. They have the absolutely best pizzas I've ever tasted and I love their créme brulée. However, they only get 4 stars because the service is horrible. They once lost my reservation, it is...More"
[English],94,30,4.0,4,"August 4, 2016 ","Great food, awful service ","Lund, Sweden","The food is excellent, but the service is some of the worst I've ever experienced. They almost never get your order right and once we waited over 30 minutes to pay. Once they even forgot our table reservation... But we still keep coming back for...More"
[English],94,10,4.0,4,"August 6, 2018 ",Dreamy Vegetarian Pizza with Burrata Cheese,"Taipei, Taiwan","Osten was the first woodfire pizza we tried on our second day in Lund. The pizza was topped with housemade tomato sauce, 3 different kinds of cheese (mozzarella, chèvre, taleggio), roasted walnuts, and fig marmalade. It was very nice, but just was a little heavy...More"
[English],94,46,18.0,4,"August 7, 2017 ",Great pizza,"Leeds, United Kingdom",Sat outside as inside was fully booked. The staff were very friendly and helpful. I had a pizza which was one of the best I've had in Sweden. Really nice atmosphere and good food. Will definitely come back.
[English],94,205,92.0,4,"August 9, 2014 ",Rustic meets modern,,"Nice place in the centre of Lund, with a terrace for warm summer days. The menu is rather limited and meat-oriented, much like that of an upscale bar's (the place too looks more like a bar than a restaurant). However, we had the char and...More"
[English],94,199,36.0,3,"December 10, 2017 ",Acceptable!,"Stockholm, Sweden","A small menu includes one pizza, one fish course and a meat course. Acceptable standard with very small options."
[English],94,6,1.0,5,"December 14, 2017 ",excellent,,"Excellent - food (beef & potato), beer, atmosphere, service. Sweet potato is some kind of chips l've never tried before. Definitely recommend."
[English],94,58,27.0,5,"December 16, 2014 ",Beautiful food!,"Liverpool, United Kingdom",We were delighted to stumble across this cosy restaurant on a cold night in Lund - it turned out to be one of the best meals we had ever had! The menu concept is interesting - medium-sized plates which you can have in separate courses...More
[English],94,2,1.0,4,"December 27, 2015 ","Very good pizza, good atmosphere",,"Good place for lunch, or for a relaxing evening between friends. Simple menu but well executed. Wine list is OK. Good location. Open on sunday."
[English],94,148,127.0,4,"December 31, 2016 ",Delicious - eat here!,"Houston, Texas","Great variety of food - pizza, steak, seafood.  Everything our party ate was very good (and the wine, too).

Good location - easy to walk to from hotels in town.  Close to the cathedral, which is very pretty at night.

Service was very helpful, and...More"
[English],94,20,4.0,4,"December 4, 2016 ",Buono!,"Almhult, Sweden","Easy location in the centre, very nice restaurant, good pizza (wood oven) Family friendly, good service, at the right price."
[English],94,10,5.0,3,"December 4, 2016 ",Nothing Special,"Lund, Sweden",According to our friends Ved is one the finest restarants in Lund. I don't totally agree. Value for money? Not at all. Food taste? Nothing special. Wouldn't recommend
[English],94,133,91.0,3,"February 15, 2015 ","Too little, too late?","Dublin, Ireland","The problem for VED is that they are facing stiff competition, now that Sweden is in the middle of a culinary boom, and Lund has upped its game. They have also gone for a theme that is a variation on Tapas, that they call ‘medium-sized...More"
[English],94,9,1.0,4,"February 24, 2017 ",Pretty good pizzas with exciting toppings,"Lund, Sweden","It's been a little hit and miss here, but generally tasty food. Usually go for the pizzas which have fun toppings. Sometimes slightly undercooked"
[English],94,7,3.0,4,"February 7, 2017 ",Great atmosphere and Pizza!,"Nottingham, United Kingdom",Had my fourth visit to Ved and on the whole it was excellent. The Bacon Pizza was great as was the Creme Brûlée (just a bit small - but after the huge Pizza probably not a problem!). One suggestion is that you must book.
[English],94,40,12.0,5,"February 8, 2017 ",Good service and food,"Lund, Sweden","My friends and I have celebrated a birthday here. The personal was very patient with us despite many changes we made.
Service and food were very good. The orders and recommendations were made very professionally. 
Book table!"
[English],94,72,20.0,2,"February 9, 2016 ","Good food, poor service.","Lund, Sverige","Maybe we were just unlucky but right from the beginning were met with rude staff.  Sure we could have a table, if we promised to leave within 90 minutes because the table was reserved then.  How can we control that?  Depends on how fast and...More"
[English],94,30,37.0,5,"February 9, 2016 ",A breath of fresh air for Lund,"Lund, Sweden","Bear in mind South Sweden isnt big into customer service, and pizza (is very below average in honesty) And is a very typical fast food.  Ved nail both with bells on. fabulous staff, friendly and service is good. Menu is typically limited, normal for sweden....More"
[English],94,37,6.0,5,"January 16, 2016 ",For a good gourmet style dinner.,"Malmo, Sweden","I need to start with saying that the food I had here tasted better, and the recipe was more authentic than most other Italian restaurants I have been to; including those in Italy. And though they don't have a elaborate menu for desserts, the three...More"
[English],94,20,5.0,4,"January 19, 2018 ",Yum!,"Perth, Australia","My boyfriend and I went to Ved, I ordered two dishes and my boyfriend three. It was very yummy and the portions were generous! We had the serrano plate, scallops, the duck, sweet potato fries and the mushroom risotto that was perfectly done. Waiter was...More"
[English],94,3,2.0,5,"January 20, 2016 ","Fantastic Flavourful Food, and allergy aware.",,"We came here for a fancy family meal over the Christmas break and were floored by how great the food was. They have an extensive menu of small dishes - larger than tapas and appetizers, but smaller than a full meal. They wisely recommend that...More"
[English],94,15,5.0,2,"January 28, 2017 ",Uncapable,,"We've previously visited VED for lunch and drinks which has been ok but nothing more. However their menu at the time for our last visit was really interesting and so we decided to give them a try! 
We ordered four of the medium sized dishes....More"
[English],94,97,23.0,4,"January 7, 2016 ","Good food, but expensive tap water","Lund, Sweden",Great selection of well cooked food with attention to detail. The pizzas are made in a big wood burned stove at the back of the restaurant and are lovely. The wine selection is good and suits the menu. Shame they charge SEK50 for tap water...More
[English],94,3,,4,"July 23, 2017 ",Nice food,,"Great salmon and rose wine.
Must try for good Italian experience.
Highly recommend!
The waiter was helpful and food was nicely served."
[English],94,39,15.0,4,"July 26, 2015 ",Good food,"Lund, Sweden",Just went in for a late dinner and we got several dishes to share around the table and eveything was very good. Only problem was that the service personel seem very stressed even if the place was not even half full.
[English],94,9,3.0,4,"July 26, 2017 ",Very nice food,,Very nice place with nice waiters and food. I eat here for lunch lot of times and I never been disappointed! Great wood oven pizza and quality meat.
[English],94,90,49.0,5,"July 27, 2018 ",Luxury feel to a reasonable price,"Stockholm, Sweden","We popped in for a quick lunch while being on vacation in the area and got a positive surprise! The service was very warm and welcoming, the staff spoke Swedish, English and Italian in what appeared to be fluent.

The food that we ordered from...More"
[English],94,2,,4,"July 29, 2018 ",Normal standard,,The food was good but the service could be a bit better. I would visit this place again becauce i like the style of tapas they serve.
[English],94,29,9.0,4,"July 3, 2015 ",bday dinner with ups and downs,,At Ved you choose several smaller dishes. we went there on my bday and ordered a few of the plates. when we'd had half the waiter asked if we wanted dessert. but we said we hadn't received our last plate. he left and came back...More
[English],94,80,38.0,5,"July 30, 2014 ",Excellent Food and Service,"Lewisville, North Carolina","This restaurant does everything well.  Front of house are professional and the kitchen staff has talent.  Outstanding food and reasonably priced for the area. Atmosphere is welcoming, comfortable. If you are close to this restaurant stop by.  It will be worth your while."
[English],94,107,53.0,4,"July 30, 2015 ",Good food in the centre of Lund,"Bergen, Norway","The restaurant was full, but the manager managed to arrange a table for my wife and me. The food was very good and the atmosphere nice."
[English],94,69,21.0,3,"July 30, 2016 ",Good for a snack and a beer,"Lund, Sweden","Visited during a Tuesday evening and booked in advance to get a table inside the restaurant. They don't offer seats inside unless you book, which is very strange since the whole place was pretty much empty. 

The food is nice, they offer a variation of...More"
[English],94,163,94.0,4,"July 8, 2015 ",Tasty food and welcoming staff,"Cardiff, United Kingdom",We ate at Ved on one of the hottest evenings so far this summer. It was buzzing and the service was friendly and prompt. We shared a delicious bottle of Chilean rose and ordered 2 dishes each - all of which were excellent - particularly...More
[English],94,335,69.0,4,"June 11, 2017 ",Excellent pizzas and great ambiance,"Kungsbacka, Hallands Län, Sweden",We had lunch here. Busy place but we quickly got table for our group of seven. The pizzas where very tasty (baked in a woodburnt oven). Extra thanks to the flexible waitress advicing two of us who wanted to share a pizza to just slice...More
[English],94,19,3.0,4,"June 16, 2016 ",Nice food and design ,,"Located on the central square, very easy to find. They have some tables outside which is good if the weather is warm. But I recommend to take a table inside. The atmosphere and design is something that attracted me. They have its own oven, looking...More"
[English],94,30,7.0,3,"June 17, 2018 ",Condescending attitude from the chef?! ,"Aneby, Sweden","A long running restaurang, that have changed name, but stay in a classic environment.
 
During my visit I had the weekend special, a hamburger, with french fries and a (very small) cup of truffles mayo.
 
The burger was well made, probably beef ground at the...More"
