Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
862,Lund_01198,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Spring,Plant,Estate,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
873,Lund_02759,Asphalt,Road,Public space,Road surface,Land lot,Tree,Sky,Infrastructure,Signage,Real estate,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017
874,Lund_00108,Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,Steeple,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
878,Lund_01668,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018
884,Lund_01960,Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure,Sankt Hans Hill,Rafael Schwartz, May 2018
885,Lund_02118,Building,Medieval architecture,Classical architecture,Architecture,Landmark,Place of worship,Historic site,Cathedral,Facade,Neighbourhood,[T T o1 T T T,Helena Qin, May 2017
899,Lund_00860,Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,Mixed-use,Sky,Lundagérd,'v Rafael Schwartz, May 2018
900,Lund_01399,Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen,|G AT,L Bengt Jiirs, May 2014
907,Lund_02386,Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017
921,Lund_01877,Architecture,Grass,Wall,Building,Castle,Waterway,Tree,Sky,Estate,Spring,Lundagérd,Sebastian Ander:, May 2017
927,Lund_02707,Water resources,Water,Sky,River,Bank,Waterway,Lake,Natural environment,Reservoir,Shore,Rabysjon och Raby s,EEL\FETEEt], May 2018
944,Lund_01843,Garden,Botanical garden,Botany,Park,Estate,Grass,Tree,Sky,Lawn,Building,Stadsparken,Jonathan Ohrling, May 2017
954,Lund_00791,Landmark,Building,Sky,Architecture,Estate,Mansion,Palace,Stately home,Tree,House,Lundagérd {,@ Marcus Reiner, May 2015
966,Lund_00141,Sky,Landmark,Building,Architecture,Estate,Mansion,Palace,Stately home,House,Tree,[T 8,a Diana Picus, May 2017
1020,Lund_01830,Flag,Town,Building,Public space,City,Plaza,Town square,Architecture,Palace,Tourism,Sankt Hans Hill,@ Sumeet Ranjan S, May 2017
1035,Lund_01939,Garden,Botanical garden,Spring,Botany,Park,Reflecting pool,Flower,Water,Plant,Tree,Lundagérd,lefteris Bakosis, May 2018
