Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
2,Lund_01374,Property,House,Cottage,Building,Roof,Home,Farmhouse,Rural area,Architecture,Real estate,Kulturen 8,@ PP\, Jul 2016
4,Lund_00360,Building,Estate,Property,Mansion,Stately home,Château,Architecture,Manor house,Historic house,Medieval architecture,Underground Street |,Underground Street |, Jul 2017
5,Lund_02357,Nature reserve,Land lot,Cottage,Rural area,Roof,Grass,Yard,Farm,Backyard,Shed,L TR TR,Natalia Avramch, Jul 2017
9,Lund_00474,Castle,Medieval architecture,Building,Property,Architecture,Château,Stately home,Estate,Wall,Fortification,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
26,Lund_00691,Landmark,Architecture,Building,Sky,Steeple,Place of worship,Church,Town,Spire,Cathedral,Lund Cathedral,@ Mahmoud Chaar, Jul 2018
28,Lund_02591,Architecture,Land lot,,,,,,,,,MAX IV Laboratory,S;. Bjarne Rosengrel, Jul 2016
33,Lund_01205,Building,Landmark,Architecture,Estate,Classical architecture,Palace,Mansion,Sky,House,Official residence,Lundagérd 9,(%) Lucila Cetin, Jul 2016
38,Lund_02391,Road,Lane,Vehicle,Building,Car,Infrastructure,City,Thoroughfare,Asphalt,Parking lot,ICA Supermarket Lin,H  Henrik Lindberg, Jul 2017
47,Lund_02211,Natural landscape,Natural environment,Vegetation,Nature reserve,Nature,Marsh,Wetland,Freshwater marsh,Grassland,Fen,|G AT,L 1T T, Jul 2014
48,Lund_01455,Landmark,Architecture,Sky,Building,Town,City,Facade,Church,Tower,Tourism,[T T o1 T 1T,FNEETY, Jul 2017
53,Lund_02608,Basketball hoop,Basketball court,Basketball,Streetball,Tree,Net,Team sport,Sport venue,Basketball moves,,Linero street court,‘-B Lunds Basket, Jul 2018
67,Lund_01795,Landmark,Steeple,Architecture,Building,Tree,Town,Sky,City,Urban area,Church,Lundagérd,Mandana Raghel, Jul 2018
68,Lund_02771,Water,Water resources,Fountain,Watercourse,Water feature,Fun,Leisure,Tree,Garden,Pond,Coop Klostergarden,’ ‘f Magnus Erkenfel, Jul 2017
72,Lund_02865,Sky,Landmark,Blue,Natural landscape,Estate,Building,Tree,Château,Architecture,Leaf,Botanical Garden,6 SN YN, Jul 2015
77,Lund_00095,Landmark,Architecture,Building,Daytime,City,Sky,Tower,Urban area,Tree,Facade,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
78,Lund_01811,Garden,Botanical garden,Estate,Botany,Park,Tree,Building,Grass,Sky,Architecture,Lundagérd,’ Lisa Vult von Ste, Jul 2017
82,Lund_01987,Water,Botany,Tree,Garden,Botanical garden,Park,Grass,Landscape,Plant,Landscaping,Lundagérd,l\i’ Stana Minincic, Jul 2017
87,Lund_02885,Water,Reflection,Pond,Bank,Water resources,Botany,House,Waterway,Building,River,Botanical Garden,R Roland Jevall, Jul 2017
95,Lund_01544,Body of water,Water,Pond,Natural landscape,Nature,Water resources,Vegetation,Lake,Bank,Fish pond,Stadsparken,Mikael Boschian, Jul 2015
97,Lund_01515,Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Mansion,Official residence,Facade,university 3,Tim Schaefer, Jul 2009
99,Lund_01300,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
100,Lund_01953,Property,House,Home,Estate,Building,Real estate,Architecture,Mansion,Manor house,Historic house,Kulturen 8,' Lars Skough, Jul 2018
110,Lund_00925,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015
112,Lund_01675,Town,Building,Human settlement,Public space,Plaza,City,Town square,Neighbourhood,Architecture,Mixed-use,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
118,Lund_01974,Landmark,Architecture,Sky,Building,Town,City,Tower,Steeple,Urban area,Clock tower,Lund Cathedral,@ akram alqutaifan, Jul 2018
120,Lund_03189,Estate,Building,Landmark,Sky,Mansion,Palace,Architecture,Stately home,Château,Official residence,Lundagérd,Ozren HadZiagi¢-, Jul 2007
124,Lund_00737,Water,Water resources,Pond,Natural landscape,Bank,Waterway,Botany,Watercourse,Garden,Fish pond,Lundagérd,@ Juca Felix Galino, Jul 2016
126,Lund_02581,Landmark,Garden,Botany,Tree,Park,Botanical garden,Monument,Building,Architecture,Recreation,Lundagérd ¢,@ Ingvar Olsson, Jul 2018
130,Lund_01049,Landmark,Architecture,Building,Medieval architecture,Place of worship,Church,Sky,Tower,Classical architecture,Steeple,[T T o1 T T T,[T T o1 T T T, Jul 2014
134,Lund_01246,Building,Landmark,Architecture,Town,City,Facade,Human settlement,Sky,Tower,Metropolitan area,Lund Cathedral ¢,Py ), Jul 2016
139,Lund_01716,Property,House,Home,Cottage,Roof,Building,Real estate,Architecture,Rural area,Hut,Kulturen 8,' Lars Skough, Jul 2018
148,Lund_01508,Water,Tree,Botany,Architecture,Fountain,Sky,Reflecting pool,Park,Garden,Water feature,Lundagérd,NG P NEE T, Jul 2018
153,Lund_01155,Classical architecture,Landmark,Building,Architecture,Facade,Palace,Courthouse,City,Official residence,Seat of local government,Lundagérd,@ Juca Felix Galino, Jul 2016
155,Lund_02513,Fountain,Water,Tree,Water feature,Botany,Garden,Font,Watercourse,Botanical garden,Plant,g) Peter Vang Chris,g) Peter Vang Chris, Jul 2017
164,Lund_00987,Building,Estate,Architecture,Landmark,Mansion,Property,Palace,Stately home,Sky,Classical architecture,Lundagérd 9,({‘ Lucija Cetin, Jul 2016
