Authors	records	% of 829
AKINYEMI RO	1	0.121
AKSOY A	1	0.121
AKVARDAR Y	1	0.121
AL-ATTAR MA	1	0.121
AL-BETAWI YN	1	0.121
AL-KHFAJI AS	1	0.121
AL-MUTAIRI NZ	1	0.121
AL-RUKAIBI FS	1	0.121
AL-SHAHEEN Q	1	0.121
AL-SHOUK ND	1	0.121
ALADINI M	1	0.121
ALBRECTSEN BR	1	0.121
ALDEN J	1	0.121
ALEXANTROV V	1	0.121
ALGUACIL MD	1	0.121
ALHUSBAN AA	1	0.121
ALHUSBAN SA	1	0.121
ALI B	1	0.121
ALIZADEH T	1	0.121
ALMEIDA-SILVA M	1	0.121
ALPTEKIN K	1	0.121
ALVARADO-ROSALES D	1	0.121
ALWANG A	1	0.121
ALZETTA C	1	0.121
AMBROS A	1	0.121
AMEGLIO T	1	0.121
AMINI E	1	0.121
AMIRI N	1	0.121
AMIS P	1	0.121
AMOAH ST	1	0.121
AN XL	1	0.121
ANDERINI E	1	0.121
ANDERSON AA	1	0.121
ANDERSON J	1	0.121
ANDERSSON-SKOLD Y	1	0.121
ANGELL V	1	0.121
ANGULO W	1	0.121
ANONYMOUS	1	0.121
ANTIPOVA A	1	0.121
ANTUPIT S	1	0.121
ANZT J	1	0.121
APPEL DN	1	0.121
APPLING SE	1	0.121
ARANDA TI	1	0.121
ARAUJO R	1	0.121
ARCIDIACONO A	1	0.121
ARIAEI AR	1	0.121
ARNOLD KT	1	0.121
ARRIBAS-BEL D	1	0.121
ARROLL B	1	0.121
ARSLAN M	1	0.121
ARTS J	1	0.121
ARVEUX P	1	0.121
ASAMI Y	1	0.121
ASEFAHA F	1	0.121
ASL SR	1	0.121
ASTAMIROVA MAM	1	0.121
ASTHANA S	1	0.121
ATA-UR-REHMAN	1	0.121
ATHYAL JM	1	0.121
ATKINSON A	1	0.121
ATKINSON R	1	0.121
AUBRY C	1	0.121
AUSTRIAN Z	1	0.121
AYRAULT S	1	0.121
AZEMATI S	1	0.121
AZIZOV A	1	0.121
BACZEWSKA AH	1	0.121
BAGHURST P	1	0.121
BAGSON E	1	0.121
BAHAJ AS	1	0.121
BAI SH	1	0.121
BAI TY	1	0.121
BAI ZY	1	0.121
BAISCH PRM	1	0.121
BAJPAI R	1	0.121
BALDERSTONE L	1	0.121
BALMFORD A	1	0.121
BALZ T	1	0.121
BANAI R	1	0.121
BANDA F	1	0.121
BANKS JM	1	0.121
BAOXING Q	1	0.121
BARARATIN K	1	0.121
BARBOSA HM	1	0.121
BARIS ME	1	0.121
BARNES K	1	0.121
BARRATT A	1	0.121
BARROS H	1	0.121
BARROW I	1	0.121
BARUFFO L	1	0.121
BASOVA S	1	0.121
BATTIN JR	1	0.121
BAUER B	1	0.121
BAUMANN C	1	0.121
BAYCAN-LEVENT T	1	0.121
BEACH S	1	0.121
BEALL J	1	0.121
BEATON EB	1	0.121
BECKERS SK	1	0.121
BEDNAROVA E	1	0.121
BEIGULENKO Y	1	0.121
BELTRAN RODRIGUEZ M	1	0.121
BEMANIAN M	1	0.121
BENENSON I	1	0.121
BENNER C	1	0.121
BENNETT JP	1	0.121
BENSON E	1	0.121
BERENJI M	1	0.121
BERENTSEN WH	1	0.121
BERGRATH S	1	0.121
BERLANDARQUE M	1	0.121
BERNAARDS CM	1	0.121
BERRY J	1	0.121
BERRY M	1	0.121
BESSONOVA VP	1	0.121
BEUVING JJ	1	0.121
BHASIN S	1	0.121
BHATNAGAR R	1	0.121
BI JL	1	0.121
BIALOSTOZKY E	1	0.121
BIAN M	1	0.121
BIBER P	1	0.121
BINDAJAM AAA	1	0.121
BITTERLING M	1	0.121
BJORK J	1	0.121
BLASZCZYK M	1	0.121
BLOOM BS	1	0.121
BLUNDEN LS	1	0.121
BOBIC J	1	0.121
BOCK T	1	0.121
BOEING G	1	0.121
BOGNAR J	1	0.121
BOHDAN A	1	0.121
BOIKO S	1	0.121
BOLAND J	1	0.121
BONTJE M	1	0.121
BOOK RK	1	0.121
BORAN B	1	0.121
BORCH C	1	0.121
BORGESIUS JJ	1	0.121
BORNING A	1	0.121
BORNMAN JF	1	0.121
BOSCH L	1	0.121
BOSMAN C	1	0.121
BOTTERO M	1	0.121
BOUCH CJ	1	0.121
BOURIKAS L	1	0.121
BOWEN WM	1	0.121
BOX H	1	0.121
BOYD RL	1	0.121
BOYKO CT	1	0.121
BRACK C	1	0.121
BRADDOCK CH	1	0.121
BRADOVA I	1	0.121
BRAITHWAITE PA	1	0.121
BRANDS J	1	0.121
BRANQUINHO C	1	0.121
BRAUN P	1	0.121
BREGMAN A	1	0.121
BRENGMAN M	1	0.121
BREUSTE JH	1	0.121
BRIGSTOCKE J	1	0.121
BRISTOW DN	1	0.121
BROKMANN JC	1	0.121
BROMFIELD EB	1	0.121
