Editors	records	% of 829
RYSER J	1	0.121
SAGALA S	1	0.121
SALAME CT	1	0.121
SAMI N	1	0.121
SANTOSO EB	1	0.121
SCHIUMA G	1	0.121
SCHOONRAAD M	1	0.121
SENDRA JJ	1	0.121
SEO J	1	0.121
SETO K	1	0.121
SHABAN A	1	0.121
SHI Y	1	0.121
SIMIAN D	1	0.121
SISWANTO VK	1	0.121
SKIBNIEWSKI ME	1	0.121
SMITH L	1	0.121
SOLIMAN KS	1	0.121
SOUKAL I	1	0.121
SPENDER JC	1	0.121
SRIDHAR KS	1	0.121
STEPHAN A	1	0.121
STEPPE K	1	0.121
STOURNARAS GC	1	0.121
SUCHAROV LJ	1	0.121
SUCIU RM	1	0.121
SUN D	1	0.121
SUNG WP	1	0.121
SUPRIHARJO R	1	0.121
TANIAR D	1	0.121
TANIGUCHI E	1	0.121
TAO F	1	0.121
TENG JG	1	0.121
TEVES KL	1	0.121
THANI SKM	1	0.121
THOMPSON K	1	0.121
THOMPSON RG	1	0.121
TIAN Y	1	0.121
TIAN Z	1	0.121
TIEN JM	1	0.121
TIEZZI E	1	0.121
TOLL DG	1	0.121
TSANG YF	1	0.121
TSIAMBAOS GC	1	0.121
ULENGIN F	1	0.121
URBAN G	1	0.121
VANEGMOND E	1	0.121
VANNES A	1	0.121
VERGEEST J	1	0.121
VIRJI H	1	0.121
VOKAS G	1	0.121
VOLODINA T	1	0.121
WADHWA LC	1	0.121
WANG H	1	0.121
WANG J	1	0.121
WANG JJ	1	0.121
WANG L	1	0.121
WANG Q	1	0.121
WANG QT	1	0.121
WANG Z	1	0.121
WEI PS	1	0.121
WINCKLER M	1	0.121
WOLLENSTEIN J	1	0.121
WU A	1	0.121
WU BC	1	0.121
WU XB	1	0.121
XIA Q	1	0.121
XIN N	1	0.121
XU B	1	0.121
XU Q	1	0.121
XU QR	1	0.121
XUE H	1	0.121
XUE Y	1	0.121
YAN H	1	0.121
YAN J	1	0.121
YAN W	1	0.121
YANG J	1	0.121
YANG K	1	0.121
YANG WJ	1	0.121
YANG Z	1	0.121
YE X	1	0.121
YIGITCANLAR T	1	0.121
YU X	1	0.121
ZHAI J	1	0.121
ZHANG C	1	0.121
ZHANG J	1	0.121
ZHANG JW	1	0.121
ZHANG M	1	0.121
ZHANG SH	1	0.121
ZHANG T	1	0.121
ZHAO H	1	0.121
ZHAO J	1	0.121
ZHAO JY	1	0.121
ZHAO RM	1	0.121
ZHENG JJ	1	0.121
ZHOU D	1	0.121
ZHOU H	1	0.121
ZHOU S	1	0.121
ZHU H	1	0.121
ZHU K	1	0.121
ZOFKA A	1	0.121
(657 records (79.252%) do not contain data in the field being analyzed.)
