ancient,architecture,area,attraction,ball,bank,baseball,body,botanical,botany,building,bus,campus,castle,cathedral,chateau,church,city,classical,cloud,college,column,courthouse,courtyard,daytime,environment,estate,facade,family,farm,fen,field,freshwater,game,garden,glass,gothic,grass,grassland,green,historic,history,home,house,human,infrastructure,land,landmark,landscape,lane,lawn,line,lot,manor,mansion,marsh,meadow,medieval,metropolitan,monument,mountain,natural,nature,neighbourhood,official,palace,parish,park,pasture,photography,place,plain,plant,player,plaza,pond,prairie,presidential,property,public,real,reflection,reserve,reservoir,residence,residential,resources,river,road,roof,rural,settlement,shade,site,sky,soccer,soil,space,specific,spire,sport,sports,spring,square,stadium,stately,steeple,stop,street,team,thoroughfare,tourist,tower,town,trail,transport,tree,urban,vegetation,vehicle,venue,water,watercourse,waterway,wilderness,woody,worship,,,
0.139883971,1.036351093,8.850554631,0.132513493,0.132632956,0.137519328,0.141836638,0.133460041,0.137645101,0.137229532,0.195972194,0.651445869,0.124404914,0.139450011,0.146197281,0.127921033,0.150547128,5.116185496,0.132822248,7.024547193,0.137721101,0.137610017,0.129290531,0.128035449,0.131169545,0.13440278,0.13085371,0.152119963,0.132795673,0.134451484,0.132907536,0.154000551,0.130728669,0.131693887,0.136059635,0.127024943,0.127339622,0.163086185,0.144726159,0.136465543,0.134509734,0.130569602,0.136291212,0.158727538,0.131422862,4.351231123,0.15322304,0.142938247,0.146488824,3.793956532,0.131549047,0.166161158,0.152733114,0.138909206,0.13653681,0.134508404,0.128536778,0.136690491,0.131511708,0.130331825,7.356453831,0.148356509,0.135013209,0.544568381,0.135314589,0.139484339,0.134411989,0.132753252,0.140074946,0.138105082,0.131434787,0.156809434,0.130444624,0.135028866,0.130723303,0.138532163,0.134485825,0.129138434,0.153060689,0.135394841,0.131864955,0.137271505,0.132760776,0.139675325,0.132650356,0.291069797,0.128953146,0.13142527,4.667786868,0.550173508,0.147739848,0.140496671,0.129456246,0.127621198,5.93523579,0.134194976,0.150383417,0.135573585,0.130136681,0.130534559,0.13470369,0.128185989,0.139084569,0.128921669,0.132078236,0.13346261,0.131439857,0.652390783,5.507613461,0.132384124,0.179079995,0.141124163,0.13167079,6.967291973,0.140181322,1.764083456,1.93165376,7.506368238,0.134049495,1.248840158,0.139437387,0.140146145,0.129648126,0.134502885,0.694074632,0.132855926,0.131333363,,91.03963076,0.050623865
0.13480925,0.187200769,0.133871006,0.128021967,3.795808839,0.13105174,0.146217865,0.128923536,0.138936182,0.137578505,0.153426076,0.132524795,0.131927369,0.137411324,0.149037459,0.137938063,0.136892035,0.141568664,0.147537851,0.127495186,0.135300429,0.130862682,0.132818153,0.12634462,0.133709235,0.131880212,0.139327003,0.155571525,0.13800758,0.134855791,0.132585944,0.127299347,0.141133881,3.795107049,0.144909254,0.129301826,0.146580135,4.633685612,0.131690983,0.142146892,0.129251315,0.136349786,0.13817399,0.137519219,0.134387991,0.135556849,0.131166685,0.143214416,0.128280544,0.138598843,0.132427644,0.132521804,0.13804935,0.131614538,0.136337308,0.132784984,0.132618042,0.145942919,0.129833001,0.128919552,0.131875151,0.130481438,0.136588198,0.135927028,0.13180795,0.129906825,0.134693455,0.145117877,0.13136975,0.130540566,0.137662509,0.132357883,0.132468791,4.355348668,0.133589984,0.130273543,0.127976209,0.130665424,0.134107006,0.131276182,0.135338628,0.136543586,0.134274758,0.132953411,0.136584093,0.132035765,0.129019329,0.136192078,0.135080195,0.135426598,0.127535807,0.127117002,0.134452909,0.133153184,0.695268342,6.906511585,0.133617935,0.13172729,3.791966003,0.136255406,9.63926686,4.354516205,0.132038998,0.129865648,5.951521531,0.139065265,0.136206437,0.127947094,0.141988555,5.484556227,0.13558476,0.138885906,0.142679409,0.148448101,0.135192787,0.135513317,0.139314253,0.1309581,0.134011988,0.139276772,5.384027749,0.136114255,0.133030475,0.131577485,0.128912537,0.136325094,0.141524831,,74.38828439,0.04136465
0.130209066,0.132606789,0.134739658,0.134046392,0.131314599,0.125500034,0.131141614,0.129529738,0.131193826,0.1426111,0.125225854,0.133943104,0.13200712,0.130463821,0.138076034,0.129862407,0.135919885,0.136926142,0.136273579,0.124090459,0.138858859,0.135081769,0.132843295,0.133827451,0.137205372,0.137991499,0.143839562,0.132739987,0.129395067,0.132725616,0.137189819,0.1321569,0.127331617,0.127545232,0.136400782,0.138300092,0.13063813,0.133661022,0.134065805,0.139795906,0.127172264,0.129839727,0.133908109,0.129840596,0.124972754,0.136279244,0.137699514,0.133249906,0.132057747,0.132345266,0.133801246,0.128745881,0.131615377,0.131403805,0.137526564,0.130737186,0.136585099,0.132036266,0.130575003,0.137990794,0.128276494,0.130282515,0.133732655,0.126844867,0.130396195,0.133738194,0.133042739,0.134982245,0.133147197,0.135906338,0.130128965,0.129052355,0.126294729,0.130638708,0.128979212,0.135972314,0.132219407,0.134672475,0.135044343,0.134648441,0.134319192,0.134422579,0.131310437,0.132220197,0.127602495,0.134566297,0.128082347,0.130884775,0.133435861,0.131635072,0.135280306,0.136401935,0.133839894,0.134235892,0.135553851,0.131624821,0.131649407,0.12868627,0.132805095,0.133005928,0.134751166,0.131666988,0.129739359,0.133946887,0.132679831,0.13827048,0.136945693,0.129469993,0.136924163,0.132745977,0.134075637,0.125125726,0.133846479,0.134688827,0.131665333,0.129644094,0.129688493,0.12856178,0.131388363,0.13067582,0.1261267,0.134413689,0.126314329,0.129757394,0.129666967,0.13687733,0.130880025,,16.83575791,0.00936176
0.143257623,0.18128386,0.123547831,0.132879714,0.142475162,0.127761498,0.126857535,0.131753074,0.130167228,0.133743445,0.166917105,0.130188016,0.137183072,0.139539972,0.132882181,0.136437498,0.141524193,0.130510791,0.143867683,0.130137614,0.131330721,0.131607407,0.13116727,0.127432919,0.129845923,0.139058107,0.153082528,0.137141632,0.130093599,0.145954147,0.125361813,0.13512325,0.128489392,0.128850734,0.128977872,0.133246522,0.135091892,0.129684692,0.137116647,0.134683083,0.151518537,0.141488052,0.145363695,0.145071042,0.127547784,0.135733374,0.13607997,0.150509016,0.136060341,0.131207329,0.133089549,0.12973553,0.13670245,0.132796111,0.143769926,0.138761698,0.137938971,0.146705533,0.133559337,0.128236772,0.132859065,0.136252277,0.132827248,0.129810565,0.149963002,0.151156342,0.129192928,0.138445838,0.138954007,0.136579036,0.140477375,0.127149311,0.132599213,0.136856986,0.13064553,0.130611223,0.142524796,0.132944212,0.136073887,0.13297007,0.136031715,0.130017538,0.1308808,0.134237441,0.153729,0.134218038,0.136799177,0.133200903,0.13629179,0.134767342,0.134167651,0.136702788,0.144404276,0.144794587,0.142978625,0.130324014,0.133131736,0.131746926,0.128258184,0.127297687,0.131538692,0.137418667,0.133648698,0.133088484,0.133377767,0.147482878,0.134157537,0.137130722,0.130739045,0.135642004,0.129247189,0.133198614,0.126803705,0.133231595,0.132235444,0.139539787,0.134091213,0.130683407,0.134774221,0.128029106,0.140855037,0.129952047,0.127631725,0.127896528,0.130555998,0.134378533,0.139671776,,17.23800381,0.009585434
0.131127203,0.1288268,0.130087682,0.128097758,0.128684832,0.13668285,0.134323091,0.132452373,0.128441827,0.140882172,0.133177154,0.142299269,0.134366996,0.138688701,0.139181908,0.132068846,0.131876289,0.130008467,0.12943353,0.142523381,0.130175413,0.131091638,0.134372146,0.137990712,0.135715686,0.133970139,0.13490707,0.132585485,0.141384666,0.13152328,0.136277172,0.13311042,0.131683809,0.136567991,0.131217688,0.132736768,0.135607559,0.141974509,0.136824796,0.141335553,0.131537865,0.129926057,0.13434826,0.132482241,0.129670765,0.134625988,0.131539158,0.135738262,0.140612807,0.133672082,0.134083939,0.134549493,0.128952662,0.131710487,0.131480633,0.13339723,0.133855601,0.133756528,0.135034673,0.126726307,0.129455851,0.145470686,0.133159974,0.129776341,0.133806784,0.133369498,0.131497917,0.129123303,0.129300897,0.129166439,0.130309992,0.13649783,0.138830996,0.137067387,0.134510805,0.12686332,0.135291923,0.137263383,0.134635211,0.130852409,0.130428056,0.129823801,0.132440553,0.13700348,0.12827486,0.137859455,0.133787713,0.128637518,0.133373784,0.134430799,0.134065935,0.13455905,0.132784941,0.127993053,0.139290507,0.136570549,0.129939171,0.134230927,0.131555769,0.13185945,0.131555995,0.130148263,0.138536117,0.133201808,0.12731134,0.130381264,0.135766376,0.13277085,0.129099023,0.132897433,0.13096826,0.131891713,0.137869151,0.134877655,0.135660215,0.127783777,0.13537465,0.134417584,0.138096957,0.132381746,0.129406098,0.130841441,0.136512131,0.135504351,0.128958137,0.133184277,0.132541695,,16.9450833,0.009422552
0.13202119,5.520748985,5.258828708,0.127831684,0.128529792,0.148531921,2.35669919,0.132390621,2.339186209,3.474539131,5.121856606,0.133775941,0.134997616,0.136192586,0.134120882,0.142387935,0.708283812,0.139538734,0.138539645,0.857443205,0.134226288,0.133899702,0.133598359,3.241417787,0.691614211,6.609041994,0.186445641,0.133737961,2.931616605,4.352601051,0.131721558,7.700371572,0.137025788,0.132002963,7.704526987,0.132377157,0.131168205,21.82483903,8.28266477,1.806322168,0.135221362,0.129814132,0.132699512,6.026644914,0.12872616,0.145159277,11.58755599,0.138204095,8.423187331,0.133719182,3.800924571,1.790571784,11.59325438,0.133948034,0.134510162,0.132418027,4.915355771,0.130300251,0.134130393,0.130224565,0.545930478,14.40717528,2.935206797,0.136665908,0.12911964,0.13798806,0.134191813,2.930113888,6.038913857,0.131949526,0.126976858,7.709529013,7.718368653,0.123720502,0.137408955,0.14462192,1.814585701,0.13174039,3.391712819,0.134900031,0.141303848,0.128026188,1.261678952,0.139285064,0.130063637,1.987960815,0.135060228,0.128377859,5.415582937,0.906885814,3.47300041,0.130303851,0.12877084,0.133376844,6.205748599,0.134888407,1.792086742,0.139246154,0.13098546,0.689381186,0.189857651,0.13419762,3.847973629,0.13155484,0.218009341,0.138249496,0.130868558,0.132078293,0.131746622,0.130101236,1.214736291,0.131829668,0.130458292,0.136281331,1.250369131,0.137383309,14.87056056,0.133397945,0.695564345,0.130805126,0.221902279,3.895863901,0.138184634,0.746140114,0.692798634,1.258923122,0.129566356,,247.0664703,0.137384781
0.136152154,0.206011531,0.14098903,0.680328342,0.131516524,11.37652756,0.133925472,9.154249449,0.165677402,0.162823574,0.214101932,0.134394603,0.135917685,0.136890449,0.131165021,0.209619242,0.134241812,0.135998887,0.136361527,0.138698584,0.134459748,0.137485526,0.131123514,0.136979405,0.133582427,3.506349088,0.20681442,0.126202443,0.131313009,0.13632456,1.255391978,0.131121273,1.266895582,0.132240217,0.151561809,0.130422838,0.139459054,0.159981936,0.123645411,0.128814129,0.143154383,0.132506735,0.191834674,3.890835781,0.138491952,0.12446165,0.131163627,0.18574617,10.39387411,0.128781369,0.133555569,0.129534432,0.13802009,0.184363519,0.207399959,1.820816167,0.134268219,0.138437494,0.129442143,0.129463195,0.139872489,13.688083,2.378683615,0.13065399,0.142194982,0.154104873,0.132879807,0.134259913,0.136366608,0.138297088,0.132906264,0.131830404,0.135132928,0.133551375,0.128762261,8.006095664,0.13559776,0.133194569,0.207321073,0.132277907,0.129460939,7.456541503,0.693030534,1.820965397,0.141073773,0.132111411,6.604061228,6.042431401,0.134271353,0.133864696,0.136353273,0.136718934,0.129956586,0.140806884,2.454208411,0.133893478,0.133126059,0.132673511,0.132421099,0.142987775,0.132626529,0.138269748,0.8564712,0.139181464,0.131983582,0.183670276,0.142765932,0.131942884,0.139306992,0.12669767,0.132414259,0.652675507,0.137093814,0.139129891,0.135425601,0.135215711,5.595412544,0.13702101,0.698242014,0.130697214,0.129000335,28.93824827,5.477646707,9.08449009,0.695307185,0.130012516,0.127417763,,158.8133019,0.088310367
0.128192339,0.791495897,2.995778383,0.138328899,0.136382897,0.129566714,0.134792506,0.131718247,0.143161605,0.129056995,0.802404661,0.136345726,0.150232351,0.129718962,0.141428204,0.139080982,0.161419543,0.751498213,0.135001165,0.151580592,0.130839742,0.126793226,0.12923963,0.1305695,1.264898885,0.139822658,0.179863817,0.136116614,0.141978339,0.132339781,0.136126022,0.128394213,0.138460759,0.134662834,0.13381958,0.12990936,0.138455184,0.162580694,0.138116127,0.134515601,0.143577818,0.133769964,0.158554615,0.158262376,0.756849214,0.127161463,0.153980511,0.199016319,0.135720908,0.134196443,0.134151961,0.133808975,0.153075588,0.133080609,0.132710337,0.127011911,0.141494887,0.136607645,1.254524457,0.133381936,0.155049959,0.142263917,0.14762366,0.713602293,0.131593346,0.127423363,0.141616139,0.133426936,0.135480133,0.692234733,0.138340814,0.127577488,0.140434457,0.129479788,0.176662556,0.133151295,0.130924135,0.127135763,0.72789082,0.176986129,0.147203968,0.132632978,0.132259239,0.130010751,0.128208431,0.721572949,0.129662524,0.130638529,0.142734773,0.147908963,0.140812499,0.768182161,0.139603997,0.137312372,0.735768366,0.129514992,0.12980738,0.183812901,0.127341642,0.152958749,0.132294499,0.136552697,0.128130637,0.17244101,0.13310037,0.141978849,0.138932371,0.133725744,0.154925722,0.130095394,0.143015715,0.135321287,0.136404634,0.269594461,0.137481316,0.133177271,0.756635586,1.832921957,0.137234911,0.124761402,0.137263234,0.137656562,0.138273424,0.132238427,0.137282457,0.13130791,0.137001228,,31.30222035,0.017406039
0.141826865,62.13378857,2.227127974,0.151558048,0.12722811,0.135526208,0.127737414,0.132000912,0.130458754,0.128036399,48.3369874,0.130135146,4.308871175,3.491359566,0.136069829,18.90353924,0.59709194,1.463212494,14.76808052,0.375383671,3.78808721,0.127064899,0.130012498,0.695159224,0.144118171,0.128379681,53.38378523,4.474267376,0.13311315,0.131469104,0.13848939,0.134714018,0.131102047,0.132615493,0.13080016,0.136967579,0.138921011,16.60942382,0.13278961,0.130459223,1.739171968,0.135404315,41.96345238,33.18283544,0.270997595,0.135047516,0.158590265,27.67695144,0.127277166,0.138395042,3.785578609,0.14002212,0.156680756,12.19804445,33.83355001,0.13646079,0.132489081,1.532173407,0.136242143,0.69407831,0.383459208,0.12586374,0.138625973,1.949688056,16.71953021,24.75207406,0.176354316,0.133414827,0.131780255,0.699769304,0.230505128,0.129238732,0.135558064,0.141006582,0.170420766,0.132917966,0.136315279,1.794179769,28.83885265,0.150306696,7.685892395,0.13242624,0.125571108,0.130745122,16.71491595,3.157552136,0.136419474,0.143019962,0.147464914,2.29961031,0.133747252,0.279103975,0.150517602,0.268223485,11.83639712,0.132875624,0.137878547,0.144020349,0.13179783,0.16275951,0.136075043,0.132079121,4.396214303,0.133269919,0.137546736,37.49314557,0.151737638,0.133116311,0.154255138,0.137791816,0.138406967,0.172695605,0.127660391,1.180431613,0.132714806,0.137456862,14.32122498,0.29259323,0.135427813,0.135601665,0.138656918,0.22151829,0.129395564,0.141986616,0.135629837,0.129847884,0.227651414,,579.1961345,0.322070146
1.247454662,95.18287539,0.178536567,1.822226982,0.135311707,0.131970012,0.144749138,0.128720492,0.133530474,0.133900411,49.69857452,0.73205761,0.176366412,0.129847277,16.1665426,0.131527549,19.30899022,25.5720075,18.13424623,0.13114053,0.137515075,1.255641746,1.824505942,0.135579426,3.775486298,0.132558432,0.170362371,32.07280878,0.136449925,0.137190774,0.128204595,0.149441054,0.127222265,0.132955897,0.132595764,1.247883036,6.589630541,0.17402384,0.134403434,0.13885201,6.676399132,1.805263806,0.145522575,8.892946891,11.18874416,0.132533029,0.14733886,39.16418585,0.13348547,0.128766527,0.140599255,0.135815947,0.144441786,0.140430762,0.133182547,0.134670159,0.136898439,21.78373767,0.134993015,0.692418935,0.134917148,0.132599294,0.136410934,0.128101402,0.139358649,5.866230915,4.307166478,0.133220388,0.127802844,3.232980682,22.28136332,0.13775168,0.132850733,0.133946043,7.95856646,0.136068316,0.137125022,0.163799353,0.13583045,9.084860483,0.153594764,0.128012376,0.129689082,0.129414225,0.144053771,0.129334864,0.133534167,0.134879625,0.130974595,0.708718322,0.142741011,11.18395054,1.243050511,7.011313183,27.39351956,0.136082707,0.137756596,9.085448673,0.134592503,2.339705984,0.134897816,0.140019556,0.137456981,9.102469873,0.132555373,0.142549895,4.031490592,0.735985534,1.189042931,0.126625721,0.138440922,1.816887733,4.354762789,26.73102444,0.134371177,1.307790667,6.108571221,0.180437581,0.134829956,0.14019352,0.14043661,0.132163854,0.13575585,0.131842888,0.134908604,0.134247822,22.28176902,,565.5291089,0.314470405
