,index_original,features,Jan_Freq,Feb_Freq,Mar_Freq,Apr_Freq,May_Freq,Jun_Freq,Jul_Freq,Aug_Freq,Sep_Freq,Oct_Freq,Nov_Freq,Dec_Freq
0,0,landmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,estate,0.0,0.0,0.0,0.0,0.0,0.0,154.6088761820497,0.0,0.0,0.0,0.0,0.0
2,2,house,0.0,0.0,0.0,0.0,0.0,0.0,134.32652487597866,0.0,0.0,0.0,0.0,0.0
3,3,property,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,home,0.0,0.0,0.0,0.0,0.0,0.0,95.58948562932272,0.0,0.0,0.0,0.0,0.0
5,5,architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,medieval,0.0,0.0,0.0,20.1323660093893,0.0,46.8304620411652,0.0,72.53869319814177,49.33926182750638,0.0,0.0,0.0
7,7,facade,0.0,0.0,0.0,29.64144790718903,0.0,35.90073262975399,0.0,0.0,0.0,0.0,0.0,0.0
8,8,mansion,0.0,0.0,0.0,0.0,0.0,0.0,131.67495170913037,0.0,0.0,0.0,0.0,0.0
9,9,stately,0.0,0.0,0.0,0.0,0.0,0.0,83.05438484337459,0.0,0.0,0.0,0.0,0.0
10,10,palace,0.0,0.0,0.0,0.0,0.0,0.0,136.72406615201677,0.0,0.0,0.0,0.0,0.0
11,11,classical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,worship,0.0,0.0,0.0,20.59264282416588,0.0,31.218491452130237,0.0,39.43028055316614,41.91680998561511,0.0,0.0,0.0
15,15,place,0.0,0.0,0.0,20.59226788434444,27.234159907252717,31.22193932427506,0.0,39.43385003483545,41.911176359440155,0.0,0.0,0.0
16,16,human,0.0,0.0,0.0,10.340552938232278,0.0,0.0,0.0,41.371330977861206,0.0,0.0,0.0,0.0
17,17,urban,0.0,0.0,8.292755006277506,0.0,0.0,0.0,0.0,36.685279740439384,19.4361346041444,0.0,0.0,0.0
18,18,settlement,0.0,0.0,0.0,10.33612271528114,0.0,0.0,0.0,41.370131183606226,0.0,0.0,0.0,0.0
19,19,historic,0.0,0.0,0.0,6.17027770914563,0.0,15.90608614610348,0.0,0.0,23.05130143706373,0.0,0.0,0.0
20,20,official,0.0,0.0,0.0,0.0,0.0,0.0,61.473183855371005,0.0,0.0,0.0,0.0,0.0
21,21,residence,0.0,0.0,0.0,0.0,0.0,0.0,61.469948132101926,0.0,0.0,0.0,0.0,0.0
22,22,chateau,0.0,0.0,0.0,0.0,0.0,0.0,57.044305921478866,0.0,0.0,0.0,0.0,0.14966817167155852
23,23,neighbourhood,0.0,0.0,4.2080397124245295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,manor,0.0,0.0,0.0,0.0,0.0,0.0,29.749185499436745,0.0,0.0,0.0,0.0,0.0
25,25,courthouse,0.0,0.0,0.0,0.0,0.0,0.0,10.657184875768888,0.0,3.2674135051881965,0.0,0.0,0.0
26,26,attraction,0.0,0.0,0.0,0.0,0.0,0.0,6.183475090040084,0.0,2.4751250994072858,0.0,0.0,0.0
27,27,tourist,0.0,0.0,0.0,0.0,0.0,0.0,6.1826548402155534,0.0,2.4701853837419403,0.0,0.0,0.0
28,28,castle,0.0,0.0,0.0,0.0,0.0,0.0,9.061598641736179,0.0,0.0,0.0,0.0,0.14970662997911174
29,29,monument,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,almshouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,daytime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,campus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,college,0.0,0.0,0.0,0.0,0.0,0.0,6.008313917846514,0.0,0.0,0.0,0.0,0.0
34,34,presidential,0.0,0.0,0.0,0.0,0.0,0.0,19.66506387635847,0.0,0.0,0.0,0.0,0.0
35,35,roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,residential,0.0,0.0,5.063773624285028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,spire,0.0,0.0,0.0,0.0,0.0,5.979705557250996,0.0,13.3182041243137,6.774696646061862,0.0,0.0,0.0
38,38,cottage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,government,0.0,0.0,0.0,0.0,0.0,0.0,2.9088656055419584,0.0,0.0,0.0,0.0,0.0
40,40,local,0.0,0.0,0.0,0.0,0.0,0.0,2.9056458215603587,0.0,0.0,0.0,0.0,0.0
41,41,parish,0.0,0.0,0.0,3.980650764532237,0.0,3.0775047700029643,0.0,0.0,9.982859701796052,0.0,0.0,0.0
42,42,seat,0.0,0.0,0.0,0.0,0.0,0.0,2.9098274057515914,0.0,1.6804552526259453,0.0,0.0,0.0
43,43,fortification,0.0,0.0,0.0,0.0,0.0,2.216586590061368,3.1260524161355017,0.0,0.0,0.0,0.0,0.0
44,44,column,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,church,0.0,0.0,0.0,17.84522308630293,0.0,35.64604217598725,0.0,65.18003891273774,42.335670929984154,0.0,0.0,0.0
46,46,cathedral,0.0,0.0,0.0,14.940996709360526,23.638275208379365,26.130051854708533,0.0,33.22085123267796,28.953983766643724,0.0,0.0,0.0
47,47,town,0.0,0.0,0.0,24.70461111775557,0.0,0.0,0.0,87.01813018385944,0.0,0.0,0.0,0.0
48,48,steeple,0.0,0.0,0.0,3.725873190130246,0.0,7.886964210256356,0.0,27.763860371973824,8.728163860876768,0.0,0.0,0.0
49,49,tower,0.0,0.0,0.0,4.0246389163513765,0.0,10.456001888535859,0.0,16.342249424996172,18.81306392567767,0.0,0.0,0.0
50,50,downtown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.005297032098419,0.0,0.0,0.0,0.0
51,51,street,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63501642074836,0.0,0.0,0.0,0.0
52,52,gothic,0.0,0.0,0.0,6.090086832111285,11.699953420170093,6.121250555819375,0.0,5.204035208732452,7.101782252475853,0.0,0.0,0.0
53,53,chapel,0.0,0.0,0.0,0.0,0.0,2.2380887297260648,0.0,0.0,0.0,0.0,0.0,0.0
54,54,square,0.0,0.0,0.0,8.41243398488994,0.0,0.0,0.0,13.798169785503314,0.0,6.1041116975516125,0.0,0.0
55,55,brick,0.0,0.0,0.0,0.0,0.0,2.8180897570688987,0.0,0.0,0.0,0.0,0.0,0.0
56,56,arch,0.0,0.0,0.0,0.0,0.0,5.087378243992985,0.0,0.0,0.0,0.0,0.0,0.0
57,57,farmhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,plaza,0.0,0.0,0.0,7.355247080473808,0.0,0.0,0.0,14.65133570350501,0.0,0.0,0.0,0.0
