a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01636,Landmark,Building,Architecture,Palace,,,,,,,Lundagérd,Vincent Séguin, Jan 2015
Lund_00030,Property,Building,Mansion,Estate,Stately home,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01788,Estate,Building,Palace,Mansion,Classical architecture,Landmark,Architecture,Property,Château,Stately home,Lundagérd c,ahmed adnan, Jan 2016
Lund_02497,Natural landscape,Geological phenomenon,,,,,,,,,Rinnebick Gorge,{5@ (V=G, Jan 2018
Lund_02079,Town,Building,Architecture,,,,,,,,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
Lund_02902,Floor,,,,,,,,,,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_02588,Body of water,Natural landscape,Sky,Water,Reflection,Cloud,Tree,Natural environment,Lake,Water resources,Nobbelbvs mosse,Q‘ Markus Olsson, Jan 2018
Lund_00149,Town,Building,,,,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02394,Building,Architecture,Property,House,Facade,,,,,,Greenhouse,N ' New Greenhouse, Jan 2018
Lund_00517,Building,Estate,Classical architecture,Landmark,Mansion,Palace,Official residence,Property,Stately home,Architecture,Lundagard ¢,. (TR, Jan 2017
Lund_03104,Natural landscape,Body of water,Nature,Water resources,Bank,Green,Water,Vegetation,Nature reserve,Riparian forest,Rinnebick Gorge,(é\; NG T LR, Jan 2007
Lund_02455,House,Architecture,Building,Property,Wall,,,,,,Greenhouse,N ' New Greenhouse, Jan 2018
Lund_00072,Landmark,Architecture,Building,Tower,Medieval architecture,Facade,City,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01709,Sky,Mountain,,,,,,,,,Chadis Livs,Rohan Jn. Baptis, Jan 2017
Lund_00301,Medieval architecture,Landmark,Building,Architecture,Property,Stately home,Estate,Castle,,,Lundagérd,@ yunus samet hali, Jan 2014
Lund_01111,Classical architecture,Building,Landmark,Architecture,Palace,,,,,,Lunds universitet pa,@ (T QT T, Jan 2017
Lund_02701,Snow,Winter,Freezing,Atmospheric phenomenon,Tree,,,,,,Klosteréngshojden,Q Peter Nordensva, Jan 2017
Lund_02775,Sky,Landmark,Tree,Church,Spire,Architecture,,,,,Stefan Larsson,Stefan Larsson, Jan 2017
Lund_00968,Architecture,Building,Medieval architecture,Landmark,Sky,Gothic architecture,Cathedral,,,,Lund Cathedral,Joseph Mukama, Jan 2018
Lund_01180,Building,Landmark,Architecture,Town,Medieval architecture,Stately home,Palace,,,,ISLK International Sc,Jeong Han Lee, Jan 2018
Lund_00637,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,,,Lundagérd ¢,. Liv, Jan 2017
Lund_03079,Home,Property,House,Lighting,Building,Sky,,,,,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_01156,Building,Landmark,Architecture,Stately home,Medieval architecture,,,,,,Chateau 8,Q (T QT T, Jan 2017
Lund_02097,Medieval architecture,Landmark,Architecture,Building,Wall,Historic site,,,,,Dom zu Lund,Harald Maidhof, Jan 2017
Lund_02109,Residential area,Road,Neighbourhood,Human settlement,Town,Metropolitan area,Suburb,Architecture,City,Urban area,Sparbanken Skane A,Petter Olofsson, Jan 2017
Lund_02008,Landmark,Building,Architecture,Tree,Urban area,,,,,,Chateau Lund 8,@ (T QT T, Jan 2017
Lund_01171,Public space,Town,,,,,,,,,Lundagérd,Nadeem Ahmad, Jan 2014
Lund_02172,Landmark,Medieval architecture,Architecture,Building,Facade,Classical architecture,Cathedral,Place of worship,,,[T T o1 T 1T,[T T o1 T 1T, Jan 2017
Lund_02376,Home,Property,House,Lighting,Building,Sky,,,,,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_02057,Town,Landmark,City,Architecture,Building,Street,Pedestrian,Public space,Human settlement,Urban area,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
Lund_00893,Landmark,Architecture,Building,,,,,,,,The Lund Planetariui,6 IR DL, Jan 2015
Lund_00169,Town,,,,,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01402,Building,Architecture,Landmark,Medieval architecture,,,,,,,Lund Cathedral,Lituanica Apartrr, Jan 2018
