a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01322,Town square,Building,Town,Human settlement,Public space,City,,,,,Stortorget Restaurar,maciejadams, Mar 2017
Lund_00919,Building,Architecture,Property,Town,,,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_01763,Landmark,Architecture,Building,Sky,,,,,,,Lund Cathedral,Minh Do-Quang, Mar 2016
Lund_01914,Property,House,Building,Landmark,Architecture,,,,,,Stadsparken,RV O A, Mar 2018
Lund_01502,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01901,Sky,Transport,Building,Vehicle,,,,,,,Valentin Kuhn,Valentin Kuhn, Mar 2017
Lund_01132,Landmark,Building,Estate,Sky,Architecture,Castle,Château,Palace,,,Lundagérd,& Magnus Nilsson, Mar 2017
Lund_02789,Architecture,Sky,Race track,Sport venue,,,,,,,Rabysjon och Raby s,"r,& Tihomir Vukovic", Mar 2018
Lund_00672,Landmark,Building,Architecture,Classical architecture,Palace,Mansion,Sky,Estate,,,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_02602,Vehicle,Transport,Car,Building,,,,,,,CircleK,‘ Alexander Pataki, Mar 2017
Lund_02853,Brick,Property,Brickwork,Landmark,House,Building,Architecture,Wall,Sky,,Lundagérd,@ Mohammadjums, Mar 2016
Lund_00106,Transport,Line,Architecture,,,,,,,,Lund H,F Kamal Dayob, Mar 2018
Lund_01817,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02748,Natural landscape,Nature,Waterway,Water,Tree,River,Bank,Watercourse,Natural environment,Stream,Rinnebick Gorge,Peter de Jounge, Mar 2017
Lund_02660,Gym,Exercise machine,Floor,Physical fitness,Sport venue,Exercise equipment,Room,,,,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_00454,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02404,Snow,Winter,Urban area,Neighbourhood,Town,Building,,,,,Lundagérd,Lundagérd, Mar 2018
Lund_02729,Floor,Flooring,Gym,Hardwood,Laminate flooring,Physical fitness,Wood flooring,Wood,Room,,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_02288,Snow,Winter,Architecture,Property,Freezing,Transport,Neighbourhood,,,,HSB BRF Linero I Lur,Kieu Phuong Nar, Mar 2018
Lund_01816,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01136,Classical architecture,Architecture,Building,Landmark,,,,,,,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
Lund_00225,Building,Property,Landmark,Architecture,Château,Estate,Town,Stately home,,,Bantorget 8,Bantorget 8, Mar 2017
Lund_00663,Landmark,Monument,Building,Property,Architecture,,,,,,Lundagérd 8,% Rehan Niazi, Mar 2017
Lund_00785,Landmark,Sky,Building,Estate,Architecture,Grass,Property,Stately home,Town,City,Bantorget 8,“f«:' Sorin Calugar, Mar 2017
Lund_01039,Building,Classical architecture,Mansion,Estate,Palace,Property,Architecture,Château,Official residence,Stately home,Lundagérd,@ Mohammadjums, Mar 2016
Lund_01366,Winter,Snow,Architecture,Freezing,Landmark,Building,Tree,,,,Lundagérd,Diana Benjumea, Mar 2018
Lund_01592,Building,Architecture,Town,,,,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_01989,Landmark,Classical architecture,Building,Architecture,Mansion,Palace,Stately home,Official residence,,,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_00451,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01834,Landmark,Medieval architecture,Architecture,Building,Church,Cathedral,,,,,[T T o1 T T T,Erik Nilsson, Mar 2017
Lund_02424,Building,,,,,,,,,,Plantagen,‘3 Niclas Schedin, Mar 2017
Lund_01573,Town square,Public space,Town,Human settlement,City,Architecture,Building,,,,Stortorget Restaurar,m) maciejadams, Mar 2017
Lund_02799,Landmark,Sky,Property,Architecture,Building,House,Town,,,,Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
