a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00665,Building,Architecture,Property,Landmark,Town,Classical architecture,House,,,,Hotel Concordia,@) From a Google U, Oct 2009
Lund_02235,Natural landscape,Vegetation,Natural environment,Bank,Nature reserve,Wilderness,Grass,Tree,Waterway,Biome,Rinnebick Gorge 2,D  Dan Collin, Oct 2018
Lund_02553,House,Neighbourhood,Property,Architecture,Town,Brick,Wall,Urban area,Building,Sky,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018
Lund_01463,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,,,,Lundagérd,@ ST EE ), Oct 2007
Lund_01692,Town,City,Landmark,Public space,Human settlement,Building,Architecture,Town square,Sky,,Bjeredsparken,Jelena Njegomir, Oct 2017
Lund_03117,Natural landscape,Nature,Tree,Vegetation,Natural environment,Nature reserve,Bank,Watercourse,River,Grass,Rinnebick Gorge 2,L 1T T, Oct 2013
Lund_02040,Landmark,Architecture,Building,,,,,,,,Lundagérd,4;9 Diego Reyes Gon, Oct 2017
Lund_02695,Grassland,Pasture,Grazing,Natural environment,Meadow,Wildlife,Plain,,,,Rinnebick Gorge 2,L 1T T, Oct 2013
Lund_02433,Estate,Property,Building,Landmark,Architecture,Sky,Mansion,House,Tree,Home,Lundagérd,R Ryan Lannigan, Oct 2018
Lund_03110,Water,Reflecting pool,,,,,,,,,LT TR G,a (VI E R I GTET), Oct 2018
Lund_02250,Slope,Geological phenomenon,Grass,,,,,,,,Rinnebick Gorge,e S YD R E, Oct 2017
Lund_00810,Landmark,Medieval architecture,Sky,Architecture,Building,Place of worship,Classical architecture,Church,Town,Facade,Lund Cathedral,'Q Evita Virdziniece, Oct 2017
Lund_01309,Town,City,Public space,Landmark,Human settlement,Plaza,Town square,Building,,,Lund Cathedral,@ Krystian Czernek, Oct 2017
Lund_01162,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,,Lundagérd 8,@ Sergio Garcia, Oct 2012
Lund_01435,Estate,Building,Mansion,Property,Palace,Stately home,House,,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
Lund_02437,Building,Sky,Landmark,Architecture,Property,Town,Château,Palace,Estate,,LTS T T T,D ) Daniel Wessel, Oct 2018
Lund_00941,Building,Property,Estate,Palace,Public space,Plaza,Stately home,Human settlement,City,Mansion,Grand Hotel Lund,?L Per Irgens, Oct 2009
Lund_02435,Estate,Property,Building,Landmark,Sky,Architecture,House,Mansion,Home,Tree,Lundagérd,R Ryan Lannigan, Oct 2018
Lund_02262,Road,Dirt road,Natural landscape,Nature,Grassland,Cloud,Sky,Natural environment,Plain,Vegetation,Klosteréingshdjden,Olexiy Avramche, Oct 2017
Lund_02312,Watercourse,Water resources,Bank,Stream,Riparian zone,Water,,,,,Rinnebick Gorge,2 1T T, Oct 2013
Lund_02466,Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,,,Lundagérd ¢,& Obbie Hadrian, Oct 2018
Lund_01749,Building,Architecture,Landmark,Facade,Medieval architecture,Classical architecture,,,,,Lund Cathedral,r Marion Kaletta, Oct 2017
Lund_02480,Estate,Property,Lawn,Natural landscape,House,Grass,Leaf,,,,Vasaplatsen,@ Tim Scharinger, Oct 2018
Lund_00936,Town,Building,Human settlement,City,Public space,Architecture,Town square,,,,Lundagérd,% LEVL GRGET ), Oct 2017
Lund_01338,Sky,Fisheye lens,Landmark,Architecture,Photography,Town,Building,,,,[T T o1 T T T,Mark Vartok, Oct 2015
Lund_01992,Tree,Sky,House,Property,Leaf,Estate,Building,Autumn,Town,Woody plant,Lundagérd,"4,;:;0 IR el", Oct 2017
Lund_01858,Body of water,Natural landscape,Nature,Bank,River,Natural environment,Water resources,Reflection,Tree,Pond,Stadsparken,Sebastian Svérde, Oct 2016
Lund_00178,Aerial photography,Metropolitan area,Urban area,Bird's-eye view,Cityscape,City,Residential area,Suburb,Sky,Human settlement,DCIM\102MEDIA\DJ,Mohamed Elban, Oct 2017
Lund_01383,Building,Landmark,Architecture,Medieval architecture,Classical architecture,,,,,,Lundagérd,% LEVL GRGET ), Oct 2017
