a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_03093,Sky,Morning,Grass,,,,,,,,|G AT,L Bengt Jiirs, Feb 2014
Lund_02673,Natural environment,Natural landscape,Sky,Land lot,Pasture,Plain,Water,,,,|G AT,L 1T T, Feb 2014
Lund_01279,Estate,Building,Property,Landmark,Architecture,,,,,,Lundagérd {,Bogdan Kostiv, Feb 2018
Lund_02737,Natural landscape,Sky,Cloud,Natural environment,Land lot,Tree,Grass,Nature reserve,Wilderness,Rural area,Stadsodlingen pa Br,g Mats Lund, Feb 2016
Lund_01228,Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,,,Lund,Malte Lewan, Feb 2017
Lund_02123,Town,Neighbourhood,Building,Landmark,City,Human settlement,Architecture,Residential area,Property,Plaza,Bantorget,Wai Hung Neko%, Feb 2017
Lund_01570,Building,Architecture,Landmark,Classical architecture,Palace,,,,,,Lundagérd 9,koyel pal, Feb 2018
Lund_00661,Estate,Building,Mansion,Property,House,Palace,Architecture,Landmark,Classical architecture,Home,Lundagérd {,fm Bogdan Kostiv, Feb 2018
Lund_01305,Classical architecture,Building,Palace,Landmark,Architecture,,,,,,5 Joseph Noussair,5 Joseph Noussair, Feb 2017
Lund_01412,Statue,Monument,Landmark,Memorial,Sculpture,,,,,,Tegnérsplatsen,6 IR DL, Feb 2015
Lund_02531,Water,Natural landscape,Water resources,Sky,Reflection,Natural environment,River,Bank,Morning,Wetland,L TR DR,L 1T T, Feb 2014
Lund_02636,Water,Waterway,Natural landscape,Atmospheric phenomenon,Watercourse,Winter,Canal,Tree,Lane,Road,L TR DS,L =1 Te i), Feb 2014
Lund_01209,Classical architecture,Building,Palace,Landmark,Architecture,,,,,,Lund,Joseph Noussair, Feb 2017
Lund_02135,Fountain,Water,Botanical garden,Botany,,,,,,,Lundagérd 9,Kathi Pullan, Feb 2006
Lund_02131,Medieval architecture,Architecture,Building,Tree,Church,,,,,,Lundagérd {,yﬂ Bogdan Kostiv, Feb 2018
Lund_02610,Natural landscape,Natural environment,Fen,Marsh,Wetland,Waterway,Tree,Grassland,Grass,Nature reserve,|G AT,|G AT, Feb 2017
Lund_00330,Landmark,Building,Palace,Architecture,Estate,Classical architecture,Mansion,Sky,,,Lundagérd ¢,i:%‘ } (N1 ET] 9, Feb 2012
Lund_02761,Road,Land lot,,,,,,,,,Rinnebéck Gorge,Anders Nilsson, Feb 2017
Lund_02535,Natural landscape,Water,Natural environment,Floodplain,Sky,Winter,Tree,Bank,Wetland,River,Nobbel6vs mosse,L 1T T, Feb 2014
Lund_02160,Classical architecture,Building,Landmark,Architecture,Facade,,,,,,Lundagérd 8,@ «athi pullan, Feb 2006
Lund_02322,Lane,Urban area,Road,Metropolitan area,Transport,Asphalt,Street,Town,Building,City,(o ST BTG R,Rasmus Johans:, Feb 2017
Lund_02401,Natural landscape,Sky,Water,Winter,Natural environment,Atmospheric phenomenon,Tree,Freezing,Cloud,,Nobbel6vs mosse,i\ 1T T, Feb 2014
Lund_00851,Building,Landmark,Architecture,Estate,Tree,House,,,,,Lundagérd,@ Carsten Andreas, Feb 2018
Lund_01175,Landmark,Architecture,Building,Estate,,,,,,,Lund Cathedral,M. Rasmussen, Feb 2018
Lund_01842,Building,Town,Property,Human settlement,City,Architecture,,,,,Lundagérd {,yﬂ Bogdan Kostiv, Feb 2018
Lund_02152,Town,Landmark,Building,Architecture,Street,,,,,,Lund Cathedral,M. Rasmussen, Feb 2018
Lund_02873,Classical architecture,Building,Palace,Landmark,Architecture,,,,,,Joseph Noussair,Joseph Noussair, Feb 2017
Lund_01242,Building,Estate,Mansion,Palace,Landmark,Architecture,Stately home,Official residence,,,Lundagérd 9,Zoltan Botka, Feb 2018
Lund_02742,Grassland,Field,Pasture,Natural landscape,Sky,Green,Natural environment,Land lot,Plain,Grass,|G AT,|G AT, Feb 2017
