a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00539,Building,Estate,Property,Mansion,Architecture,Stately home,House,Palace,,,Lundagérd ¢,S ) Sookyong Lee, May 2017
Lund_01938,Landmark,Steeple,Architecture,Building,Spire,Tower,,,,,Lund Cathedral,Leif Bengtsson, May 2016
Lund_00141,Sky,Landmark,Building,Architecture,Estate,Mansion,Palace,Stately home,,,[T 8,a Diana Picus, May 2017
Lund_00593,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,,,,Lundagérd,@ Anna Banszelové, May 2017
Lund_01362,Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany,Lundagérd,% Mohammad A.M, May 2018
Lund_02026,Garden,Botanical garden,Botany,Tree,Grass,,,,,,Stadsparken,v‘\ﬁv;‘; Aktham Yousef, May 2018
Lund_03171,Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse,Nobbel6vs mosse,L 1T T, May 2014
Lund_01233,Body of water,Natural landscape,Nature,Waterway,Tree,Canal,Water,Bank,River,Vegetation,Stadsparken,Peter Nordensva, May 2017
Lund_01648,Architecture,Building,Facade,,,,,,,,Nova .,5‘3.‘..@ Khoo Kay Joe, May 2016
Lund_00975,Medieval architecture,Landmark,Architecture,Building,Church,Place of worship,Steeple,Gothic architecture,,,Lund Cathedral,p Christian Kinnun, May 2017
Lund_00703,Body of water,Reflection,Water,Waterway,Natural landscape,Canal,Pond,Bank,River,Sky,Botanical Garden,ﬁ Sumeet Ranjan S, May 2017
Lund_02086,Garden,Flower,,,,,,,,,Lundagérd 9,Pavel Jicha, May 2015
Lund_00860,Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,,,Lundagérd,'v Rafael Schwartz, May 2018
Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,,,Lundagérd 9,Vanja Matic, May 2017
Lund_00955,Building,Architecture,Palace,,,,,,,,Lundagérd,\'D Ireneusz Sakowi, May 2017
Lund_01469,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018
Lund_00132,Tree,Yellow,Leaf,Lane,Grass,Road surface,Road,Spring,,,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_02631,Plain,Grassland,Natural environment,Land lot,Pasture,Field,Grass,Ecoregion,,,Klosteréngshojden,& YRt, May 2017
Lund_02184,Water resources,Body of water,Natural landscape,Nature,Water,Watercourse,Nature reserve,Vegetation,Stream,Riparian zone,Rinnebick Gorge 2,Jef Kong, May 2017
Lund_01177,Garden,Botanical garden,Botany,Tree,,,,,,,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
Lund_03190,Landmark,Architecture,Building,Church,Medieval architecture,Sky,Steeple,Town,Place of worship,,Lundagérd ¢,Janek Friesen, May 2016
Lund_00347,Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,,[T 8,. DIl, May 2016
Lund_01306,Grass,Public space,Natural landscape,Walkway,Daytime,Tree,Road,Lawn,Land lot,Park,LRI EL Y T,5‘3.‘..@ LU G, May 2016
Lund_00460,Tree,Sky,Grass,Public space,Architecture,Botany,,,,,[T L He 1 BT,% William Térneber, May 2018
Lund_01349,Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,,Botanical Garden,} Pl, May 2018
Lund_00547,Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture,Lundagérd,'v Rafael Schwartz, May 2018
Lund_01681,Water,,,,,,,,,,Lundagérd,) ravio ERachici, May 2018
Lund_00450,Estate,Building,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,,Lundagérd,"% e,", May 2016
Lund_03146,Aerial photography,Bird's-eye view,Land lot,Plain,Sky,Air travel,Atmospheric phenomenon,,,,Lund Sédra Tpl.,e Bjorn Davidsson, May 2017
Lund_02758,Flower,Plant,Garden,Shrub,,,,,,,HSB BRF Linero I Lui,é; Lennart Eliasson, May 2013
