ID,lan_long,pic_code,lan,long
Lund_02023,"55.7041445,13.1932547",AF1QipPHxAyxQFznloYQ6iTVftd3PraRsoqP4qpzJatk,55.704144499999998,13.193254700000001
Lund_02021,"55.7047847,13.1938413",AF1QipNcu6VLhlAKBYMJ5HdLDokNyiCcX8YcQfy6w0Pb,55.704784699999998,13.193841300000001
Lund_02019,"55.7047847,13.1938413",AF1QipPfH-3Q8jtDcJcuCgDZPO5gXbs7EB74dItydS4,55.704784699999998,13.193841300000001
Lund_02016,"55.7047847,13.1938413",AF1QipOMwq3J3Lqm-wwNXaKbEHLo6m900Q4cuSepVrzG,55.704784699999998,13.193841300000001
Lund_02015,"55.7047847,13.1938413",AF1QipMLxvCZVXBxGwE9b_mKUfnOd8SoJBgXJfmJwKNm,55.704784699999998,13.193841300000001
Lund_02012,"55.7047847,13.1938413",AF1QipNp7Zczjub6IjpVuDswAprUoMX17DF8arx807G6,55.704784699999998,13.193841300000001
Lund_02011,"55.7047847,13.1938413",AF1QipNQ4VPHbg8d5C5bdSwR2ZvDZ5Acmo1Q-tRGpK95,55.704784699999998,13.193841300000001
Lund_02007,"55.7047847,13.1938413",AF1QipOUAzRz__d5y3xJZ9X9CEONFxPqElRv6MWbYoDc,55.704784699999998,13.193841300000001
Lund_02006,"55.7041445,13.1932547",AF1QipMqWBXJyLGFDfkaQZ4ww4Pcs9lkfuGlXwQK_IEe,55.704144499999998,13.193254700000001
Lund_02005,"55.7047847,13.1938413",AF1QipOkOTNNzjyJv49rg11Nxk_PAopY4-0B5TMZGFXt,55.704784699999998,13.193841300000001
Lund_02004,"55.7047847,13.1938413",AF1QipPCU-I04Ll1egLFZME58xy_DAK9TlRMAjtrzFoe,55.704784699999998,13.193841300000001
Lund_02002,"55.7047847,13.1938413",AF1QipMV5jwA1tQIea2GvskZRgayRkU8ySG668_DUArS,55.704784699999998,13.193841300000001
Lund_01999,"55.7047847,13.1938413",AF1QipP6JxwkehRTrox5QWHTUD80mJN8CeakQadZTaPk,55.704784699999998,13.193841300000001
Lund_01996,"55.7047847,13.1938413",AF1QipNgtyqlo57fpHy5HxFr3135UQsTgenoL8QNB_m8,55.704784699999998,13.193841300000001
Lund_01994,"55.7047847,13.1938413",AF1QipPbJ0oG__XPKJpWWYYKVjS8EU6gE69F-_mLFaZ8,55.704784699999998,13.193841300000001
Lund_01992,"55.7047847,13.1938413",AF1QipMvBhNqB-vTuUsSErx9XXW72gvWDgzhZMbJBQJg,55.704784699999998,13.193841300000001
Lund_01991,"55.7050151,13.1932497",AF1QipP9ImDX7IJAR38kH4HYvizt9sZOL09BI-3eRYvs,55.705015099999997,13.193249700000001
Lund_01990,"55.7050151,13.1932497",AF1QipPn5dO5nwp6cNqJuGfwg6cEZIQ6jllFWbfNF3M,55.705015099999997,13.193249700000001
Lund_01989,"55.7047847,13.1938413",AF1QipMiUw3TlpsN8bne43NyvJdGJgyENQ4S209QPn2G,55.704784699999998,13.193841300000001
Lund_01988,"55.7041445,13.1932547",AF1QipPTlrTYY_ZtWUzMmMAMzP9KCshiXBmKzWe_1j0,55.704144499999998,13.193254700000001
Lund_01987,"55.7047847,13.1938413",AF1QipNr-dyx8mslXROngNeN1hC-bDJefFD-2Rz9WKZL,55.704784699999998,13.193841300000001
Lund_01985,"55.7036439,13.1939421",AF1QipMkqSuB0yl3eSoWipyRnqnRcIgd3Ck-zSvxaW9s,55.703643900000003,13.193942099999999
Lund_01983,"55.7041445,13.1932547",AF1QipPQDR_6Ej0GvhQWcflpIuap6X_hBHbh2aJ177H-,55.704144499999998,13.193254700000001
Lund_01979,"55.7047847,13.1938413",AF1QipM2y4aw1DQKrg8QZcYnvEM0VwlcIwCYoU0lOPi4,55.704784699999998,13.193841300000001
Lund_01978,"55.7041445,13.1932547",AF1QipM5Kbp-pP2Q71Fc2XFMnVB_0aOvXF1MqaEGWOAJ,55.704144499999998,13.193254700000001
Lund_01974,"55.7041445,13.1932547",AF1QipMuFo8w3OpF8-1HjYLFlNNAmU08jw2lqM_U--Ht,55.704144499999998,13.193254700000001
Lund_01971,"55.7033848,13.193825",AF1QipO8la9T7SeFyBisd6Dzw628jxFEMDA6CGRtCy7H,55.703384800000002,13.193825000000000
Lund_01970,"55.7047847,13.1938413",AF1QipOz9YOGTKbYXFt4BMPt9GfnZWjENgSWEg5RmAfV,55.704784699999998,13.193841300000001
Lund_01968,"55.7047847,13.1938413",AF1QipNMF8rFwld0TCYjXKUYbQ4NzFzmdvOqxWPPhNOn,55.704784699999998,13.193841300000001
Lund_01963,"55.7047847,13.1938413",AF1QipOXH0YO9u69rQROOiV63x3kR-hil7IJNfCaaZOU,55.704784699999998,13.193841300000001
Lund_01962,"55.7047847,13.1938413",AF1QipND8bYkcCaSYYIxw09vvBtcCUSUbQOFfl0rvpvo,55.704784699999998,13.193841300000001
Lund_01959,"55.7047847,13.1938413",AF1QipOMQzK0l3ZBb1Ie0vdnyM8zNn6t9vDQYNgof0tm,55.704784699999998,13.193841300000001
Lund_01958,"55.7041445,13.1932547",AF1QipO3Eh-qB3EGx-LhUSEe1CtMzp7Lgc8UXplr-C7l,55.704144499999998,13.193254700000001
Lund_01956,"55.7041445,13.1932547",AF1QipN_xZEUoIddd10i6XVrKG8Vy8E7QJCN75ollx1H,55.704144499999998,13.193254700000001
Lund_01955,"55.7047847,13.1938413",AF1QipMDDcQsG2d7IGmYvH1mkaitYwWIgw6sLjeFRXcn,55.704784699999998,13.193841300000001
Lund_01952,"55.7047847,13.1938413",AF1QipOC0uiwhjj-JPLN5uz4Dz4ZUDdyx_tkxiNKuaSZ,55.704784699999998,13.193841300000001
Lund_01940,"55.7041445,13.1932547",AF1QipPbXIgOORqL-Ts06BzerLjZQleiRBpeh3XAzPqD,55.704144499999998,13.193254700000001
Lund_01939,"55.7047847,13.1938413",AF1QipOYGALJED4rrBkSA9SSCKOJ4K3nGZsS4XrXM2fv,55.704784699999998,13.193841300000001
Lund_02514,"55.7047847,13.1938413",AF1QipO1xk_OMcLNdv3PFT4IIVA6kXsMwwWrUP-MoJZ8,55.704784699999998,13.193841300000001
Lund_02500,"55.7047847,13.1938413",AF1QipMV6Yl3FTV4LkQl2r6V4bpeRAoA41S5QqEXI6IW,55.704784699999998,13.193841300000001
Lund_02466,"55.7047847,13.1938413",AF1QipNIfL9HpYI9kws1fgrvDWpo9nL1RA7C6l8dbLT8,55.704784699999998,13.193841300000001
Lund_02462,"55.7047847,13.1938413",AF1QipNwPY3ZGecgL2mQlpo4egEq17txEW_sTVJ8JA87,55.704784699999998,13.193841300000001
Lund_02435,"55.7047847,13.1938413",AF1QipNDxKghG__KROayv1d34BSWZ27vt0I9tLO2X9am,55.704784699999998,13.193841300000001
Lund_02433,"55.7047847,13.1938413",AF1QipN-ff-RhanVA2yelG_xmAF1pZ7H5SCwWoIBa5IK,55.704784699999998,13.193841300000001
Lund_02423,"55.7047847,13.1938413",AF1QipOI3ZAPP9pBC32QIrjMqBBdJkBtUEzPvag_J22a,55.704784699999998,13.193841300000001
Lund_02419,"55.7047847,13.1938413",AF1QipPZM8_4Y3-r4G75XmfER-pTm8smjjuwQPfUHBHb,55.704784699999998,13.193841300000001
Lund_02418,"55.7047847,13.1938413",AF1QipMHcDKreAy4RE61W_n2Gs2gIAE4IY_fvC3dYPyy,55.704784699999998,13.193841300000001
Lund_02417,"55.7041445,13.1932547",AF1QipNrMp1YZMY2JmhhVXQXTc6CljAQZJ7u6ejVWfx5,55.704144499999998,13.193254700000001
Lund_02414,"55.7047847,13.1938413",AF1QipODuMTA9m1NyEjTL5xlniLhTXAe5Yc-W60ZwwVB,55.704784699999998,13.193841300000001
Lund_02413,"55.7047847,13.1938413",AF1QipNbBsj0wiUbr9LbjX-vpGSZ1Pq2RUW2mCaSMefS,55.704784699999998,13.193841300000001
Lund_02410,"55.7047847,13.1938413",AF1QipP_-ni0C4RXz7KjENKjnqz_fmShbkvuoupe8zLP,55.704784699999998,13.193841300000001
Lund_02405,"55.7047847,13.1938413",AF1QipMdhQ-DFcYsbHbzi1IoG1eOakGQglfEZkPvouU9,55.704784699999998,13.193841300000001
