left,top,right,bottom,id,trad_sum_p,trad_sum_1,trad_sum_2,trad_sum_3,trad_sum_4,trad_sum_5,trad sum,id_c_n,rew_n
863663.0750757124042138,-3670128.7063381741754711,863863.0750757124042138,-3670328.7063381741754711,"1317","41.0","0.09295120061967467","0.3948584327744491","1317","1.0","0.0",0.394858432774449,0.092951200619675,0.000000000000000
860063.0750757124042138,-3669928.7063381741754711,860263.0750757124042138,-3670128.7063381741754711,"632","234.0","0.5414407436096049","1.0710915865263582","632","1572.0","2.7337587006960558",1.071091586526358,0.541440743609605,2.733758700696056
860063.0750757124042138,-3670128.7063381741754711,860263.0750757124042138,-3670328.7063381741754711,"633","24.0","0.053446940356312936","1.5024386150412032","633","1725.0","3.0",1.502438615041203,0.053446940356313,3.000000000000000
860263.0750757124042138,-3669928.7063381741754711,860463.0750757124042138,-3670128.7063381741754711,"670","1292.0","3.0","1.630955977376097","670","403.0","0.6995359628770301",1.630955977376097,3.000000000000000,0.699535962877030
860263.0750757124042138,-3670128.7063381741754711,860463.0750757124042138,-3670328.7063381741754711,"671","42.0","0.09527498063516654","1.7077488545390465","671","531.0","0.9222737819025523",1.707748854539046,0.095274980635167,0.922273781902552
860463.0750757124042138,-3669928.7063381741754711,860663.0750757124042138,-3670128.7063381741754711,"708","94.0","0.21611154144074365","0.8529194568920666","708","125.0","0.21577726218097448",0.852919456892067,0.216111541440744,0.215777262180974
860863.0750757124042138,-3669928.7063381741754711,861063.0750757124042138,-3670128.7063381741754711,"784","93.0","0.21378776142525172","0.3805489820922075","784",,,0.380548982092207,0.213787761425252,
860263.0750757124042138,-3669728.7063381741754711,860463.0750757124042138,-3669928.7063381741754711,"669","26.0","0.058094500387296674","0.8793817028347012","669","674.0","1.1711136890951275",0.879381702834701,0.058094500387297,1.171113689095127
860463.0750757124042138,-3669728.7063381741754711,860663.0750757124042138,-3669928.7063381741754711,"707","38.0","0.08597986057319906","0.5415932396824598","707","16.0","0.026102088167053363",0.541593239682460,0.085979860573199,0.026102088167053
857863.0750757124042138,-3670128.7063381741754711,858063.0750757124042138,-3670328.7063381741754711,"215","90.0","0.20681642137877612","0.4536084117953108","215",,,0.453608411795311,0.206816421378776,
860463.0750757124042138,-3669328.7063381741754711,860663.0750757124042138,-3669528.7063381741754711,"705","30.0","0.06738962044926414","0.3391361629995133","705","5.0","0.0069605568445475635",0.339136162999513,0.067389620449264,0.006960556844548
859863.0750757124042138,-3670128.7063381741754711,860063.0750757124042138,-3670328.7063381741754711,"595","36.0","0.08133230054221534","0.7881694443045836","595","82.0","0.14095127610208819",0.788169444304584,0.081332300542215,0.140951276102088
