a,word,n_w
[Danish],for,4
[Danish],er,3
[Danish],med,3
[Danish],dejlig,2
[Danish],en,2
[Danish],m,2
[Danish],meget,2
[Danish],more,2
[Danish],parken,2
[Danish],vi,2
[Danish],af,1
[Danish],alle,1
[Danish],anlagt,1
[Danish],at,1
[Danish],bes?gte,1
[Danish],bevarede,1
[Danish],blomsterbed,1
[Danish],bur,1
[Danish],bypark,1
[Danish],b?rn,1
[Danish],b?rnefamiliers,1
[Danish],da,1
[Danish],dansested,1
[Danish],de,1
[Danish],dejligt,1
[Danish],der,1
[Danish],det,1
[Danish],dog,1
[Danish],familie,1
[Danish],familien,1
[Danish],forfriskninger,1
[Danish],forskellige,1
[Danish],fugle,1
[Danish],gerne,1
[Danish],her,1
[Danish],i,1
[Danish],jeg,1
[Danish],kiosker,1
[Danish],k?mpe,1
[Danish],k?be,1
[Danish],legeomr?de,1
[Danish],masser,1
[Danish],mere,1
[Danish],min,1
[Danish],mulighed,1
[Danish],muligheder,1
[Danish],oase,1
[Danish],park,1
[Danish],pl?ner,1
[Danish],sammen,1
[Danish],se,1
[Danish],sev?rdig,1
[Danish],skaterbaner,1
[Danish],smukt,1
[Danish],springvand,1
[Danish],sted,1
[Danish],stor,1
[Danish],s?,1
[Danish],s?er,1
[Danish],temaer,1
[Danish],var,1
[Danish],ville,1
[Danish],voldanl?g,1
[English],the,114
[English],a,96
[English],and,79
[English],is,52
[English],to,51
[English],of,50
[English],for,43
[English],park,41
[English],in,37
[English],there,35
[English],more,29
[English],nice,28
[English],or,24
[English],it,23
[English],with,23
[English],you,19
[English],place,17
[English],are,16
[English],lund,16
[English],playground,14
[English],can,13
[English],i,13
[English],kids,13
[English],on,13
[English],walk,12
[English],around,11
[English],at,11
[English],city,11
[English],have,11
[English],that,11
[English],an,10
[English],children,10
[English],has,10
[English],was,10
[English],also,9
[English],as,9
[English],good,9
[English],lots,9
[English],one,9
[English],stadsparken,9
[English],this,9
[English],all,8
[English],beautiful,8
[English],birds,8
[English],enjoy,8
[English],here,8
[English],summer,8
[English],april,7
[English],but,7
[English],go,7
[English],if,7
[English],just,7
[English],people,7
[English],restaurant,7
[English],run,7
[English],s,7
[English],small,7
[English],some,7
[English],stroll,7
[English],very,7
[English],we,7
[English],well,7
[English],year,7
[English],climbing,6
[English],great,6
[English],green,6
[English],lake,6
[English],many,6
[English],my,6
[English],outdoor,6
[English],relax,6
[English],spring,6
[English],take,6
[English],were,6
[English],be,5
[English],close,5
[English],ducks,5
[English],during,5
[English],fun,5
[English],new,5
[English],not,5
[English],play,5
[English],pond,5
[English],see,5
[English],area,4
[English],day,4
[English],do,4
[English],feed,4
[English],gym,4
[English],had,4
[English],only,4
[English],out,4
[English],picnic,4
[English],places,4
[English],recently,4
[English],running,4
[English],sit,4
[English],students,4
[English],when,4
[English],will,4
[English],wonderful,4
[English],30,3
[English],always,3
[English],any,3
[English],best,3
[English],big,3
[English],botanical,3
[English],cafe,3
[English],caf?,3
[English],center,3
[English],coffee,3
[English],equipment,3
[English],especially,3
[English],events,3
[English],every,3
[English],exercise,3
[English],garden,3
[English],gardens,3
[English],huge,3
[English],love,3
[English],me,3
[English],other,3
[English],our,3
[English],perfect,3
[English],picnics,3
[English],quite,3
[English],really,3
[English],relaxing,3
[English],so,3
[English],than,3
[English],time,3
[English],town,3
[English],up,3
[English],visit,3
[English],walking,3
[English],weather,3
[English],where,3
[English],which,3
[English],000,2
[English],activities,2
[English],amazing,2
[English],areas,2
