,Jan_Freq,Jan_Term,Feb_Freq,Feb_Term,Mar_Freq,Mar_Term,Apr_Freq,Apr_Term,May_Freq,May_Term,Jun_Freq,Jun_Term,Jul_Freq,Jul_Term,Aug_Freq,Aug_Term,Sep_Freq,Sep_Term,Oct_Freq,Oct_Term,Nov_Freq,Nov_Term,Dec_Freq,Dec_Term
0,29.88811769,landmark,25.08808311,architecture,60.43455461,house,52.79349531,estate,69.28070287,palace,91.29293118,mansion,53.8026412,church,130.9753969,home,84.31708773,mansion,56.38098507,palace,30.26475905,architecture,45.34491519,architecture
1,23.16352631,estate,14.08291316,landmark,53.83845207,estate,41.49944252,home,67.52229961,mansion,63.98975642,stately,52.39288114,place,122.0810889,mansion,72.7727085,stately,45.09200951,mansion,16.14761347,building,28.03005349,building
2,26.84149255,house,9.438045206,mansion,34.10985233,mansion,37.07856601,stately,48.52165528,stately,49.35806787,residence,52.39222662,worship,123.359402,palace,93.97279029,home,44.03621955,home,10.50668732,landmark,18.41605941,landmark
3,19.33990119,property,9.440394708,estate,32.16896085,home,33.45943635,mansion,75.44941212,home,49.35886582,official,40.39235596,cathedral,92.76171858,stately,82.70802443,palace,49.62704733,house,7.716671494,facade,14.57904753,town
4,20.29966324,home,9.445350387,house,23.70451618,stately,18.6945138,chateau,30.47659024,chateau,54.88724849,chateau,84.63062955,town,61.53998754,residence,43.1169987,residence,37.33570682,stately,7.667065077,house,11.7014905,medieval
5,81.36051972,architecture,7.602859931,home,36.73873882,palace,16.5346544,official,26.57349413,official,98.74013342,palace,23.70794992,steeple,61.54575344,official,43.11236065,official,33.82783883,classical,6.75403419,palace,11.69272772,urban
6,17.40485132,medieval,7.588155489,palace,34.925737,property,16.53009117,residence,26.573448,residence,22.39430034,manor,27.44427092,tower,38.93118549,manor,17.60525608,manor,29.61998555,medieval,6.768593194,classical,10.74382383,church
7,16.41543079,facade,6.629661606,facade,16.0961663,chateau,12.06316487,manor,11.18529332,manor,11.78343257,presidential,33.85206128,real,27.97137751,real,100.0263748,property,84.37001194,landmark,6.730475482,estate,10.75690452,house
8,12.64724219,mansion,6.665033539,classical,9.602798866,residence,7.600905824,real,10.98905271,castle,130.9020167,estate,9.601279333,downtown,58.86361318,chateau,12.41689493,square,28.36023769,facade,5.813267966,medieval,10.74088681,city
9,12.61608802,stately,6.668809206,stately,9.59917289,official,4.261225936,campus,9.319094335,spire,76.94195691,home,9.492505422,street,186.2739272,estate,8.99801584,plaza,25.85361187,official,4.876495033,place,9.826251169,facade
10,12.62565684,palace,5.727215389,official,6.780379917,manor,28.51996773,property,88.07295982,house,5.743998101,courthouse,8.972680847,spire,15.18647904,castle,108.6154893,house,25.85895776,residence,4.882973204,church,5.950368457,cathedral
11,11.66432654,classical,5.728461735,residence,4.875340718,courthouse,3.746200527,college,5.515006484,presidential,116.4301874,house,8.504590495,gothic,15.128806,presidential,6.818115571,presidential,25.63468968,chateau,4.861657611,mansion,5.931130912,place
12,49.60777331,building,15.79755796,building,4.869416438,attraction,3.452753941,castle,5.303622369,cottage,4.389946928,seat,8.275547007,chapel,173.9961342,house,115.7916391,estate,21.46247201,church,4.885158918,worship,5.94043266,worship
13,8.798811654,real,3.884587934,property,4.859811317,tourist,24.47837859,palace,103.9179001,estate,4.392107993,government,7.460550002,square,7.586057053,tourist,33.56660324,chateau,17.68966862,cathedral,4.848129882,home,5.938065216,estate
14,7.851210513,worship,2.026947592,chateau,4.877858793,castle,1.77434067,presidential,2.562501291,government,4.389011737,local,57.7635744,medieval,7.57520527,attraction,21.30808827,space,14.9784174,place,3.941007484,city,5.942034548,property
15,7.844314134,place,2.016702042,human,27.13740457,classical,32.81591703,house,2.561622748,courthouse,80.73425472,property,15.20350155,roof,5.153239201,courthouse,21.30192588,public,14.9778927,worship,3.942093009,town,4.953422542,human
16,6.838121399,human,2.014852293,medieval,3.931665902,monument,1.928129427,neighbourhood,2.565481645,local,4.054287113,column,5.6606961,brick,137.4394024,property,11.85669791,real,13.68841517,tower,3.924904468,stately,4.964396152,neighbourhood
17,6.84581695,urban,2.023981433,worship,3.913989324,almshouse,47.80250233,building,2.559509078,parish,6.937812801,attraction,5.361238974,arch,7.956070844,cottage,3.433354146,almshouse,13.50115558,spire,2.995543471,residence,4.979246994,spire
18,6.827372136,settlement,2.026641059,neighbourhood,4.529781755,real,2.274182424,roof,2.561492121,seat,6.938237243,tourist,4.455978281,almshouse,3.556814996,farmhouse,2.735444528,brickwork,173.5091187,architecture,3.007062561,wall,4.959010047,settlement
19,5.925162582,historic,2.023963755,settlement,3.910738214,daytime,3.122637579,residential,2.293013015,fortification,3.397171105,monument,3.324189161,parish,3.52011523,fortification,2.717202541,college,10.57441622,manor,2.991553874,official,4.034244791,home
