,"[Chinese, (Sim.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[Finnish]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-0.29174173,-1.1346859,-0.4985518,-0.70995694,-1.1254786,-0.8982199,-0.5150301,-0.36313847,-0.6886098,-1.2514168,-0.68267655,-1.3932387,-1.5405711,-0.88231766,-1.0649292,-0.84979826
1,-0.049988307,0.0099671725,-0.19003078,-0.015811525,-0.8001038,-0.089333266,-0.16245237,-0.3891734,-0.19934349,-0.22189789,-0.53083,-0.15009838,-0.0064038658,0.11507263,-0.30268115,0.20098978
2,0.20997876,0.580837,-0.15975456,0.34875438,-0.18851,0.10444191,-0.8530494,-0.8155291,0.21901733,0.51226896,-0.0075116134,0.11679805,0.34511185,0.53906614,0.024745917,-0.070712745
3,0.06754956,-0.034700204,0.57730186,0.024600888,-0.37009716,0.05504542,0.012519262,-0.14064385,-0.40559316,0.36676833,0.35840923,-0.04802607,-0.28253925,-0.191804,0.06384762,0.74199224
4,0.027967868,-0.111968614,0.14204718,0.34382474,0.58703303,0.48846707,0.41964495,0.105307825,0.254895,0.02712329,0.3726054,0.14388064,-0.045237474,0.0349569,0.2617467,0.15168726
5,-0.25387138,-0.57152385,-0.4495069,-0.8787062,-0.11134149,-0.14367852,-0.6957845,-0.24005973,-0.044736743,-0.31862622,-0.30542433,-0.5290834,-0.13300769,-0.2637458,-0.066953115,-0.48517308
6,-1.0012882,-0.8352451,-0.56692445,-0.58444285,-0.343209,-1.2595773,-0.2693078,-0.2863216,-0.15407152,-0.98507386,-0.5871674,-1.0700996,-0.43270537,-0.38303524,-1.0867523,-0.62950194
7,-0.096642874,-0.31227195,0.7844619,-0.09908518,0.22288485,0.072765164,0.063058175,0.76256067,0.33483982,-0.16787477,0.13977696,-0.5778104,-0.33521572,-0.15116683,0.354573,0.21158028
8,-0.07068959,0.5202997,-0.02332002,0.9928215,0.006172874,0.38196936,-0.31152356,-0.38321555,-0.17826754,0.19783817,0.4484908,0.85598207,0.95902044,0.23324555,0.5865482,0.6647278
9,0.93134576,0.23501462,0.5719326,0.13498287,0.2911449,0.3105347,-0.37552583,-0.41978496,-0.009896918,0.4674849,0.71816933,-0.23253986,0.25008294,0.33998805,0.17308989,0.40209362
10,0.67365366,-0.06925573,0.29485774,0.0936613,-0.2467274,0.09798128,0.6394048,0.9069058,-0.113724604,-0.43001732,0.2215717,-0.24405652,-0.11821052,0.19562379,0.39804038,0.06462632
11,-0.5744266,-0.36341408,-0.07735327,-0.6371666,-0.39853773,-0.5834972,-0.5234368,-0.05453801,-0.6053587,-0.30927822,-0.48444214,-0.6744257,-0.8677786,-0.012373009,-0.73597574,-0.65301436
12,0.8811379,0.46528724,0.71440583,0.27525294,0.37255993,0.55188465,0.69912374,1.1318488,0.80353,1.0737053,0.4146581,0.87731,0.8786026,0.33469737,0.38852647,0.48929954
13,0.332409,0.080972336,0.30564594,0.11340943,0.24850485,0.21720178,0.16892357,0.24754041,0.1743718,0.3988594,0.35841694,0.23553145,0.3941862,0.01633273,0.39263308,0.53052884
14,-0.119769506,0.06036356,-0.37257415,-0.69232726,-0.9041764,-0.46246287,-0.69639945,-0.5599323,-0.18792097,-0.7520713,-0.18310504,-0.7251328,-0.4552377,-0.06254365,0.047996473,-0.15049678
15,-0.2906117,-0.42524022,-0.91895956,-0.23765627,-0.20184068,-0.38529652,-0.39233017,-0.5986139,-0.3492828,-0.06593852,-0.18767743,-0.044789787,-0.19764782,-0.4678266,-0.49274945,-0.22514431
16,-0.13465008,-0.3040576,-0.5344904,-0.33077392,0.26111695,-0.042444587,-0.24213451,-0.2595229,0.015682802,-0.005091037,0.31843588,-0.16927095,-0.5888649,-0.05747633,-0.37645406,-0.046544347
17,0.28137556,0.62672484,0.47438446,0.8176153,0.41200027,0.2435183,-0.30581287,-0.255329,0.53089076,0.42027408,0.5657291,0.3767996,0.31378096,0.28756553,0.553718,0.30606672
18,0.9455232,0.52659804,1.4756806,0.64346176,0.564428,1.156201,1.3022155,1.1418322,0.84729034,1.0298468,1.1481396,0.7944732,0.7327924,0.99931026,0.97861654,0.78588414
