Grant Numbers	records	% of 478
61572022	1	0.209
6215648902	1	0.209
63366	1	0.209
65793	1	0.209
65A0337	1	0.209
71071003	1	0.209
71173099	1	0.209
71371014	1	0.209
71471172	1	0.209
71473117	1	0.209
71573231	1	0.209
71771140	1	0.209
73/2013	1	0.209
81173146	1	0.209
81373707	1	0.209
8142008	1	0.209
84549	1	0.209
90AM2752	1	0.209
90AM2768	1	0.209
AG12806	1	0.209
AG13842	1	0.209
ANR-11-LABX-0002-01	1	0.209
ARRA 1RC4AG038176-01	1	0.209
B13011	1	0.209
B14001	1	0.209
BR/175/A1/URBANMYCOSERVE	1	0.209
C7028-16G	1	0.209
CA-40356	1	0.209
CA40356	1	0.209
CBA120108	1	0.209
COST FP1106	1	0.209
CRG/14/01	1	0.209
CT95-0497	1	0.209
CTR16A012	1	0.209
Conicyt/Fondap 15110020	1	0.209
DAMD17-02-1-0126	1	0.209
DP130104090	1	0.209
DP140103171	1	0.209
DP160102114	1	0.209
E 2000069-20001	1	0.209
EP/K037323/1	1	0.209
EP/P505445/1	1	0.209
ES/N010892/1	1	0.209
ESRC/BSB/01	1	0.209
F32 NR 011271	1	0.209
FEL-0905	1	0.209
FPU13/02363	1	0.209
FV14210AT	1	0.209
GA526/08/1050	1	0.209
GJHZ1862	1	0.209
GZ1201	1	0.209
HS-079-69	1	0.209
HS-09499	1	0.209
IGA 43/2013	1	0.209
IGA 51/2013	1	0.209
INTEGRAL-121859	1	0.209
IRACDA-K12GM074869	1	0.209
ITMS 26240120014	1	0.209
IUT21-04	1	0.209
JG08181	1	0.209
JYYKJXM(2017)011	1	0.209
K 12 HD052902	1	0.209
K23AG032870	1	0.209
K23DK090304	1	0.209
K24 DK02643	1	0.209
KB-04-05	1	0.209
KF-2018-03-006	1	0.209
KL2RR025000	1	0.209
KZ200610025014	1	0.209
LDF_VP_2016014	1	0.209
LO1415	1	0.209
LOTFOR-150205	1	0.209
LOTFOR150205	1	0.209
LP130100164	1	0.209
M01 RR000052	1	0.209
M01-RR00052	1	0.209
MRC G0500247	1	0.209
MVI-313-99-140	1	0.209
N N303 109234	1	0.209
