Authors	records	% of 478
BERRY M	1	0.209
BEUVING JJ	1	0.209
BEYNON D	1	0.209
BHASIN S	1	0.209
BHATNAGAR R	1	0.209
BI JL	1	0.209
BIALOSTOZKY E	1	0.209
BIAN M	1	0.209
BIBER P	1	0.209
BINDAJAM AAA	1	0.209
BJORK J	1	0.209
BLASZCZYK M	1	0.209
BLOOM BS	1	0.209
BOBIC J	1	0.209
BOGNAR J	1	0.209
BOHDAN A	1	0.209
BOIKO S	1	0.209
BONTJE M	1	0.209
BOOK RK	1	0.209
BORCH C	1	0.209
BORGESIUS JJ	1	0.209
BORNMAN JF	1	0.209
BOTTERO M	1	0.209
BOWEN WM	1	0.209
BOX H	1	0.209
BOYD RL	1	0.209
BRACK C	1	0.209
BRADDOCK CH	1	0.209
BRANDS J	1	0.209
BRANQUINHO C	1	0.209
BRAUN P	1	0.209
BREGMAN A	1	0.209
BRENGMAN M	1	0.209
BREUSTE JH	1	0.209
BRIGSTOCKE J	1	0.209
BROKMANN JC	1	0.209
BROMFIELD EB	1	0.209
BROMLEY RDF	1	0.209
BROOKS CA	1	0.209
BROOKS GC	1	0.209
BRUCE C	1	0.209
BRUMBY S	1	0.209
BRUSE M	1	0.209
BU ZJ	1	0.209
BUCKLEY S	1	0.209
BUITELAAR E	1	0.209
BULL A	1	0.209
BUNTINX B	1	0.209
BURD-EDEN R	1	0.209
BURINSKIENE M	1	0.209
BUTLER C	1	0.209
BUTLER RN	1	0.209
BUYSSE DJ	1	0.209
BYSTRZEJEWSKA-PIOTROWSKA G	1	0.209
CACHINHO H	1	0.209
CAI BP	1	0.209
CAI ZH	1	0.209
CALDENTEY JM	1	0.209
CALISKAN O	1	0.209
CALLOW D	1	0.209
CAMANHO AS	1	0.209
CAMARERO JJ	1	0.209
CAMPO M	1	0.209
CAPRASECCA E	1	0.209
CARBAJALES-DALE A	1	0.209
CARDILLO A	1	0.209
CARLETTI L	1	0.209
CARRASCO-TURIGAS G	1	0.209
CARROLL DA	1	0.209
CARROT F	1	0.209
CASTELLANI B	1	0.209
CASTRO PML	1	0.209
CEKSTERE G	1	0.209
CERMAK J	1	0.209
CEULEMANS R	1	0.209
CEULEMANS T	1	0.209
CHABOWSKI M	1	0.209
CHAN SF	1	0.209
CHANDRASEKARA A	1	0.209
CHANG YC	1	0.209
CHARLESTON J	1	0.209
CHATTOPADHYAY S	1	0.209
CHEAIB A	1	0.209
CHEN C	1	0.209
CHEN JY	1	0.209
CHEN KB	1	0.209
CHEN TC	1	0.209
CHEN WQ	1	0.209
CHEN X	1	0.209
CHEN Y	1	0.209
CHEN YW	1	0.209
CHENG JR	1	0.209
CHENG SD	1	0.209
CHENG XQ	1	0.209
CHI LY	1	0.209
CHIN MH	1	0.209
CHINNA K	1	0.209
CHION M	1	0.209
CHIOU SC	1	0.209
CHIRGWIN SR	1	0.209
CHO SE	1	0.209
CHOI J	1	0.209
CHOU P	1	0.209
CHU JQ	1	0.209
CHUNG S	1	0.209
CIAPARRA D	1	0.209
CIRAC-CLAVERAS J	1	0.209
CIRACH M	1	0.209
CLABEAUX R	1	0.209
CLANCY GP	1	0.209
CLARK C	1	0.209
CLARK J	1	0.209
CLARK TN	1	0.209
CLARKE J	1	0.209
CLASQUIN E	1	0.209
CLOCHIATTI R	1	0.209
COLLINS AL	1	0.209
COLLOMB P	1	0.209
COMPEAN-DARDON MS	1	0.209
CONDON PM	1	0.209
COPELAND G	1	0.209
CORBIN A	1	0.209
COROVIC N	1	0.209
COURSE M	1	0.209
COWELL M	1	0.209
CRABTREE J	1	0.209
CRICHTON G	1	0.209
CRONIN S	1	0.209
CROW S	1	0.209
CRUZ CO	1	0.209
CUDDIHY J	1	0.209
CUFAR K	1	0.209
CUNY H	1	0.209
CURRID-HALKETT E	1	0.209
CZAPLIK M	1	0.209
DA SILVA FMR	1	0.209
DABROWSKI P	1	0.209
DAEGELMANN C	1	0.209
DAMASCENO A	1	0.209
DANIELSON J	1	0.209
DARWISH-YASSINE M	1	0.209
DAUDIN L	1	0.209
DAVIES KA	1	0.209
DAVIS A	1	0.209
DAVYDENKO K	1	0.209
DAWSON H	1	0.209
DE ARAUJO FF	1	0.209
DE ASSIS LF	1	0.209
DE BLOOM J	1	0.209
DE BOER A	1	0.209
DE BRITO J	1	0.209
DE FARIA JP	1	0.209
DE LAAT-LUKKASSEN M	1	0.209
DE LUIS M	1	0.209
DECOUX V	1	0.209
DEDELE A	1	0.209
DEFORGE BR	1	0.209
DEL CASTILLO EM	1	0.209
DELHAYE JP	1	0.209
DELPIERRE N	1	0.209
DELSHAMMAR T	1	0.209
DEMERS RY	1	0.209
DEMIRAL Y	1	0.209
DENG K	1	0.209
DERWING TM	1	0.209
DESAUTELS S	1	0.209
DESLAURIERS A	1	0.209
DEVOE-WESTON M	1	0.209
DEYO RA	1	0.209
DHANANI A	1	0.209
DHINGRA M	1	0.209
DI FAZIO S	1	0.209
DI LELLA LA	1	0.209
DIAZ-BONE RA	1	0.209
DICIUNAITE-RAUKTIENE R	1	0.209
DIETZ A	1	0.209
DILAVER Z	1	0.209
DINARDI C	1	0.209
DIONISIO I	1	0.209
DJURDJEVIC LL	1	0.209
DOLMAN N	1	0.209
DOMINGUES G	1	0.209
DONAHOE MP	1	0.209
DONAIRE-GONZALEZ D	1	0.209
DONG D	1	0.209
DONG J	1	0.209
DONG L	1	0.209
DONG YR	1	0.209
DOS SANTOS PD	1	0.209
DOTCHIN C	1	0.209
DOUGHERTY P	1	0.209
DOVEY K	1	0.209
DRENKHAN R	1	0.209
DRVODELIC D	1	0.209
DU YY	1	0.209
DUAN YQ	1	0.209
DUCCI ME	1	0.209
DUESTER L	1	0.209
DUNFORD M	1	0.209
DUNN RCM	1	0.209
DURIASZ J	1	0.209
DURKOVIC J	1	0.209
DVORAK M	1	0.209
DWORETZKY BA	1	0.209
EASTON PS	1	0.209
EGER RJ	1	0.209
EILERTSEN O	1	0.209
EISINGER P	1	0.209
ELLEY CR	1	0.209
ELLIS N	1	0.209
ELSADEK M	1	0.209
ELZERMAN K	1	0.209
EMILSSON T	1	0.209
ENGEL-YAN J	1	0.209
ENGSTROM S	1	0.209
ERDOGAN E	1	0.209
EREMIJA MS	1	0.209
ERFANIFARD Y	1	0.209
ERGOR G	1	0.209
ESCAMILLA V	1	0.209
ESPER J	1	0.209
ESPOSITO S	1	0.209
ETMINANI-GHASRODASHTI R	1	0.209
EVANS B	1	0.209
EVERARD M	1	0.209
EXTRA G	1	0.209
FABBRE VD	1	0.209
FACKOVCOVA Z	1	0.209
FAGERLIN A	1	0.209
FAGGIAN A	1	0.209
FAJSTAVR M	1	0.209
FALLICK A	1	0.209
FAN DD	1	0.209
FAN XY	1	0.209
FARAHANI LM	1	0.209
FARRAR ME	1	0.209
FARRER G	1	0.209
FASSNACHT FE	1	0.209
FEGHHI J	1	0.209
FEI T	1	0.209
FELLANDER-TSAI L	1	0.209
FENG YH	1	0.209
FERNANDES CLF	1	0.209
FERNANDEZ BG	1	0.209
FILLIT H	1	0.209
FINKELSTEIN J	1	0.209
FINKELSTEIN M	1	0.209
FITZGERALD D	1	0.209
FLETCHALL AM	1	0.209
FLORES Z	1	0.209
FLORES-MARTINEZ MN	1	0.209
FONTI P	1	0.209
FOORD J	1	0.209
FOREMAN S	1	0.209
FORJAZ MJ	1	0.209
FORSYTH A	1	0.209
FOULKES JL	1	0.209
FRAGA S	1	0.209
FRANCK U	1	0.209
FRANKE WD	1	0.209
FRATI L	1	0.209
FREEMAN CG	1	0.209
FREITAS MC	1	0.209
FREITAS MD	1	0.209
FREUND B	1	0.209
FRIED LP	1	0.209
FRITZ A	1	0.209
FU LJ	1	0.209
FUKUDA H	1	0.209
FULMAN N	1	0.209
GABE TM	1	0.209
GAERTIG T	1	0.209
GAGGI C	1	0.209
GAJIC G	1	0.209
GALAKO VA	1	0.209
GALSTER G	1	0.209
GANESAN S	1	0.209
GAO WJ	1	0.209
GARCIA S	1	0.209
GARCIA-CAMACHA I	1	0.209
GARCIA-ORENES F	1	0.209
GARLINGHOUSE C	1	0.209
GARRICK NW	1	0.209
GARROCHO C	1	0.209
GASBARRE LC	1	0.209
GAUCHAT G	1	0.209
GAUDINO S	1	0.209
GAUVIN L	1	0.209
GAYER L	1	0.209
GEERTS W	1	0.209
GEITH C	1	0.209
GENG QS	1	0.209
GIAGLI K	1	0.209
GIBSON C	1	0.209
GIDLOW C	1	0.209
GIDLOW CJ	1	0.209
GILLESPIE GL	1	0.209
GILLNER S	1	0.209
GIM THT	1	0.209
GIORDANI P	1	0.209
GIORDANO G	1	0.209
GIRIDHARAN R	1	0.209
GIVEN BA	1	0.209
GO DH	1	0.209
GODDARD HC	1	0.209
GOLANI A	1	0.209
GOLDBERG P	1	0.209
GOLTSEV V	1	0.209
GONZALEZ-MEDINA RE	1	0.209
GORDON P	1	0.209
GORNOSTAEVA G	1	0.209
GORTER D	1	0.209
GOSSELIN C	1	0.209
GOUGE TR	1	0.209
GOZDZICKA-JOZEFIAK A	1	0.209
GRAF W	1	0.209
GRAGSON T	1	0.209
GRAHAM L	1	0.209
GRAMS M	1	0.209
GRASSI A	1	0.209
GRAY B	1	0.209
GRAY-DONALD K	1	0.209
GRAZULEVICIUS T	1	0.209
GREENING HS	1	0.209
GREGUROVIC G	1	0.209
GREIF MJ	1	0.209
GRELLER MM	1	0.209
GRICAR J	1	0.209
GRIFFIN A	1	0.209
GRIFFIN M	1	0.209
GRIFFITH DA	1	0.209
GROGAN CM	1	0.209
GROGAN R	1	0.209
GUAN P	1	0.209
GUARNACCIA CA	1	0.209
GUERRINI F	1	0.209
GUILLEMIN F	1	0.209
GUITE HF	1	0.209
GUO AM	1	0.209
GUPTA RS	1	0.209
GURSKIENE V	1	0.209
GUSTAFSON S	1	0.209
GUTIERREZ A	1	0.209
GUTIERREZ-RODRIGUEZ M	1	0.209
HACKLANDER K	1	0.209
HACKLER D	1	0.209
HACURA J	1	0.209
HALERZ-NOWAKOWSKA B	1	0.209
HALEY SM	1	0.209
HALL SM	1	0.209
HAMIDI S	1	0.209
HAN MH	1	0.209
HAN SS	1	0.209
HANAKI K	1	0.209
HANSEN G	1	0.209
HANSSON E	1	0.209
HAO R	1	0.209
HAO Z	1	0.209
HARCOURT M	1	0.209
HARMAN SM	1	0.209
HARPER RC	1	0.209
HARTIG F	1	0.209
HASLAM R	1	0.209
HAUG I	1	0.209
HAWLENA J	1	0.209
HAYES W	1	0.209
HAYSLETT KL	1	0.209
HE H	1	0.209
HE Q	1	0.209
HE WS	1	0.209
HE ZY	1	0.209
HECKMAN PE	1	0.209
HEIN M	1	0.209
HELZLSOUER KJ	1	0.209
HENDRICK R	1	0.209
HENDRIKSEN IJM	1	0.209
HERB J	1	0.209
HERMANS C	1	0.209
HEUBECK S	1	0.209
HEYNEN N	1	0.209
HIGDON R	1	0.209
HIJAZI IH	1	0.209
HILDEBRANDT VH	1	0.209
HINES JR	1	0.209
HIRNER AV	1	0.209
HIRSCH F	1	0.209
HOCH DB	1	0.209
HODSON CB	1	0.209
HOFFMAN LA	1	0.209
HOFFMANN D	1	0.209
HOFMANN M	1	0.209
HOHLING HJ	1	0.209
HOLLOWAY KFC	1	0.209
HOLMES-ROVNER M	1	0.209
HOLSTEIN L	1	0.209
HOLUB K	1	0.209
HONNAY O	1	0.209
HOPKINS E	1	0.209
HORWITZ JR	1	0.209
HOSCHA LC	1	0.209
HOSNI J	1	0.209
HOSU I	1	0.209
HOU QH	1	0.209
HOWE AW	1	0.209
HOWELL KL	1	0.209
HOY L	1	0.209
HOZOVA J	1	0.209
HU G	1	0.209
HU MM	1	0.209
HU PF	1	0.209
HU SH	1	0.209
HU XY	1	0.209
HUANG BX	1	0.209
HUANG CC	1	0.209
HUANG H	1	0.209
HUANG JG	1	0.209
HUANG SL	1	0.209
HUANG Y	1	0.209
HUANG YP	1	0.209
HUPPERT F	1	0.209
HURST G	1	0.209
IACOFANO DS	1	0.209
IHARA M	1	0.209
IM HN	1	0.209
IRWIG L	1	0.209
IRWIN MR	1	0.209
ISHII M	1	0.209
ISLAS-RODRIGUEZ L	1	0.209
ISOLA ML	1	0.209
JAIN P	1	0.209
JAKOBSSON K	1	0.209
JANCZAK D	1	0.209
JANICKI AJ	1	0.209
JARIC S	1	0.209
JARVIK JG	1	0.209
JEANS ME	1	0.209
JENDRYKE M	1	0.209
JENSEN I	1	0.209
JERRET M	1	0.209
