Source Titles	records	% of 478
CITIES	17	3.556
SUSTAINABILITY	17	3.556
URBAN FORESTRY URBAN GREENING	16	3.347
LANDSCAPE AND URBAN PLANNING	9	1.883
URBAN STUDIES	9	1.883
URBAN DESIGN INTERNATIONAL	8	1.674
JOURNAL OF URBAN AFFAIRS	7	1.464
PLOS ONE	7	1.464
TRANSPORTATION RESEARCH RECORD	7	1.464
HABITAT INTERNATIONAL	6	1.255
JOURNAL OF URBAN HISTORY	6	1.255
CITY COMMUNITY	4	0.837
ENVIRONMENTAL POLLUTION	4	0.837
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	4	0.837
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	4	0.837
LAND USE POLICY	4	0.837
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS MUNICIPAL ENGINEER	4	0.837
QUALITY OF LIFE RESEARCH	4	0.837
SCIENCE OF THE TOTAL ENVIRONMENT	4	0.837
SUSTAINABLE CITIES AND SOCIETY	4	0.837
TREES STRUCTURE AND FUNCTION	4	0.837
URBAN GEOGRAPHY	4	0.837
BMC PUBLIC HEALTH	3	0.628
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS	3	0.628
CONTEMPORARY PROBLEMS OF ECOLOGY	3	0.628
ECOLOGICAL INDICATORS	3	0.628
ENVIRONMENT AND PLANNING A	3	0.628
FORESTS	3	0.628
HEALTH AND QUALITY OF LIFE OUTCOMES	3	0.628
IFOREST BIOGEOSCIENCES AND FORESTRY	3	0.628
JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH	3	0.628
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION	3	0.628
OPEN HOUSE INTERNATIONAL	3	0.628
SOCIAL INDICATORS RESEARCH	3	0.628
URBAN ECOSYSTEMS	3	0.628
ACADEMIC MEDICINE	2	0.418
AMERICAN JOURNAL OF PREVENTIVE MEDICINE	2	0.418
CULTURAL GEOGRAPHIES	2	0.418
ECONOMIC DEVELOPMENT QUARTERLY	2	0.418
EKOLOJI	2	0.418
ENVIRONMENT AND BEHAVIOR	2	0.418
ENVIRONMENT AND PLANNING B PLANNING DESIGN	2	0.418
ENVIRONMENT AND PLANNING B URBAN ANALYTICS AND CITY SCIENCE	2	0.418
ENVIRONMENTAL MONITORING AND ASSESSMENT	2	0.418
EUROPEAN JOURNAL OF FOREST RESEARCH	2	0.418
EUROPEAN PLANNING STUDIES	2	0.418
EUROPEAN URBAN AND REGIONAL STUDIES	2	0.418
FRONTIERS IN MICROBIOLOGY	2	0.418
FRONTIERS IN PSYCHOLOGY	2	0.418
HEALTH PLACE	2	0.418
HEALTH PROMOTION INTERNATIONAL	2	0.418
HEALTH SOCIAL CARE IN THE COMMUNITY	2	0.418
INTERNATIONAL DEVELOPMENT PLANNING REVIEW	2	0.418
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH	2	0.418
ISPRS INTERNATIONAL JOURNAL OF GEO INFORMATION	2	0.418
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING	2	0.418
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY	2	0.418
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	2	0.418
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	2	0.418
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	2	0.418
JOURNAL OF URBAN HEALTH BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE	2	0.418
JOURNAL OF URBAN PLANNING AND DEVELOPMENT	2	0.418
OECOLOGIA	2	0.418
PREVENTIVE MEDICINE	2	0.418
PROFESSIONAL GEOGRAPHER	2	0.418
REGIONAL STUDIES	2	0.418
SCIENTIA HORTICULTURAE	2	0.418
SCRIPTA NOVA REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES	2	0.418
SPACE AND CULTURE	2	0.418
THEORY CULTURE SOCIETY	2	0.418
TRANSPORT POLICY	2	0.418
WATER SCIENCE AND TECHNOLOGY	2	0.418
ACTA BOTANICA CROATICA	1	0.209
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	1	0.209
ACTA GEOGRAPHICA SLOVENICA GEOGRAFSKI ZBORNIK	1	0.209
AFRICAN AFFAIRS	1	0.209
AGEING RESEARCH REVIEWS	1	0.209
AGRICULTURAL AND FOREST ENTOMOLOGY	1	0.209
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	1	0.209
ALLGEMEINE FORST UND JAGDZEITUNG	1	0.209
AMBIO	1	0.209
AMERICAN ANTHROPOLOGIST	1	0.209
AMERICAN JOURNAL OF ARCHAEOLOGY	1	0.209
AMERICAN JOURNAL OF BIOETHICS	1	0.209
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	1	0.209
AMERICAN REVIEW OF PUBLIC ADMINISTRATION	1	0.209
ANNALES DES SCIENCES FORESTIERES	1	0.209
ANNALS OF REGIONAL SCIENCE	1	0.209
ANNUAL REVIEW OF APPLIED LINGUISTICS	1	0.209
ANTHROPOLOGICAL QUARTERLY	1	0.209
ANTIPODE	1	0.209
APPETITE	1	0.209
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	1	0.209
APPLIED SOIL ECOLOGY	1	0.209
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES	1	0.209
ARCHIVES OF BIOLOGICAL SCIENCES	1	0.209
ARCHIVES OF GERONTOLOGY AND GERIATRICS	1	0.209
ARCHIVES OF SEXUAL BEHAVIOR	1	0.209
ASIAN AND PACIFIC MIGRATION JOURNAL	1	0.209
ATMOSPHERIC ENVIRONMENT	1	0.209
BIG DATA	1	0.209
BIOLOGIA	1	0.209
BIOTECHNOLOGY BIOTECHNOLOGICAL EQUIPMENT	1	0.209
BJU INTERNATIONAL	1	0.209
BMC GERIATRICS	1	0.209
BMC NEPHROLOGY	1	0.209
BMC PREGNANCY AND CHILDBIRTH	1	0.209
BMJ BRITISH MEDICAL JOURNAL	1	0.209
BMJ OPEN	1	0.209
BRAIN RESEARCH BULLETIN	1	0.209
BRITISH MEDICAL JOURNAL	1	0.209
BUILDING AND ENVIRONMENT	1	0.209
BUILDING RESEARCH AND INFORMATION	1	0.209
CAHIERS D ETUDES AFRICAINES	1	0.209
CANCER	1	0.209
CHEMOSPHERE	1	0.209
CHILDRENS GEOGRAPHIES	1	0.209
CHINESE EDUCATION AND SOCIETY	1	0.209
CHINESE GEOGRAPHICAL SCIENCE	1	0.209
CIENCIA E INVESTIGACION AGRARIA	1	0.209
COMPARATIVE STUDIES IN SOCIETY AND HISTORY	1	0.209
CONSERVATION BIOLOGY	1	0.209
CRITICAL CARE MEDICINE	1	0.209
DEMOGRAPHIC RESEARCH	1	0.209
DEMOGRAPHY	1	0.209
DEVELOPMENT AND CHANGE	1	0.209
DRUSTVENA ISTRAZIVANJA	1	0.209
EAST AFRICAN MEDICAL JOURNAL	1	0.209
ECOLOGY AND EVOLUTION	1	0.209
ECONOMIC THEORY	1	0.209
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	1	0.209
ENTROPY	1	0.209
ENVIRONMENT AND PLANNING A ECONOMY AND SPACE	1	0.209
ENVIRONMENT AND PLANNING C GOVERNMENT AND POLICY	1	0.209
ENVIRONMENT AND URBANIZATION	1	0.209
ENVIRONMENTAL EDUCATION RESEARCH	1	0.209
ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL	1	0.209
ENVIRONMENTAL MANAGEMENT	1	0.209
ENVIRONMENTAL POLICY AND GOVERNANCE	1	0.209
ENVIRONMENTAL RESEARCH	1	0.209
ENVIRONMENTAL RESEARCH LETTERS	1	0.209
ENVIRONMENTAL TOXICOLOGY	1	0.209
EPIDEMIOLOGIA PREVENZIONE	1	0.209
EPILEPSIA	1	0.209
EURE REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES	1	0.209
EUROPEAN JOURNAL OF PLANT PATHOLOGY	1	0.209
EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH	1	0.209
EUROPEAN PHYSICAL JOURNAL B	1	0.209
EVIDENCE BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE	1	0.209
FEMS MICROBIOLOGY ECOLOGY	1	0.209
FERTILITY AND STERILITY	1	0.209
FINANCE ECONOMICS AND ECONOMIC DEVELOPMENT 2005	1	0.209
FRESHWATER BIOLOGY	1	0.209
FRONTIERS IN MARINE SCIENCE	1	0.209
FRONTIERS OF ENVIRONMENTAL SCIENCE ENGINEERING	1	0.209
GENDER SOCIETY	1	0.209
GEOFORUM	1	0.209
GEOGRAFIE	1	0.209
GEOGRAPHICAL RESEARCH	1	0.209
GEOGRAPHICAL REVIEW	1	0.209
GERONTOLOGY	1	0.209
GISCIENCE REMOTE SENSING	1	0.209
GLOBAL CHANGE BIOLOGY	1	0.209
HEAD FACE MEDICINE	1	0.209
HEALTH SERVICES RESEARCH	1	0.209
HIGH OCCUPANCY VEHICLE SYSTEMS AND DEMAND MANAGEMENT 2001	1	0.209
HISTORY OF THE HUMAN SCIENCES	1	0.209
HOMO JOURNAL OF COMPARATIVE HUMAN BIOLOGY	1	0.209
HORTTECHNOLOGY	1	0.209
HUMAN RELATIONS	1	0.209
IEEE COMMUNICATIONS MAGAZINE	1	0.209
IEEE COMPUTER GRAPHICS AND APPLICATIONS	1	0.209
IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE	1	0.209
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	1	0.209
INDIANA LAW JOURNAL	1	0.209
INDOOR AND BUILT ENVIRONMENT	1	0.209
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY	1	0.209
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	1	0.209
INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH	1	0.209
INTERNATIONAL JOURNAL OF TOURISM RESEARCH	1	0.209
INTERNATIONAL MIGRATION REVIEW	1	0.209
INTERNATIONAL REGIONAL SCIENCE REVIEW	1	0.209
INTERNATIONAL REVIEW OF SOCIAL HISTORY	1	0.209
INTERNATIONAL SOCIOLOGY	1	0.209
JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY	1	0.209
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	1	0.209
JOURNAL OF APPLIED ENTOMOLOGY	1	0.209
JOURNAL OF ASIAN AND AFRICAN STUDIES	1	0.209
JOURNAL OF CANCER SURVIVORSHIP	1	0.209
JOURNAL OF EASTERN AFRICAN STUDIES	1	0.209
JOURNAL OF ENVIRONMENTAL MONITORING	1	0.209
JOURNAL OF EPIDEMIOLOGY	1	0.209
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	1	0.209
JOURNAL OF FOOD AGRICULTURE ENVIRONMENT	1	0.209
JOURNAL OF GENERAL INTERNAL MEDICINE	1	0.209
