Publication Years	records	% of 478
2019	48	10.042
2018	62	12.971
2017	35	7.322
2016	33	6.904
2015	36	7.531
2014	24	5.021
2013	35	7.322
2012	23	4.812
2011	26	5.439
2010	17	3.556
2009	18	3.766
2008	9	1.883
2007	16	3.347
2006	16	3.347
2005	8	1.674
2004	11	2.301
2003	6	1.255
2002	11	2.301
2001	8	1.674
2000	10	2.092
1999	5	1.046
1998	7	1.464
1997	4	0.837
1996	2	0.418
1994	2	0.418
1992	2	0.418
1991	2	0.418
1989	2	0.418
(0 records (0.000%) do not contain data in the field being analyzed.)
