,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
19,Lund_02400,Transport,Mode of transport,,,,,,,,,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
20,Lund_02083,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd 9,@ T4, Jul 2017
21,Lund_00735,Estate,Property,Building,Mansion,House,Landmark,Home,Architecture,Sky,Palace,Lundagérd,ri‘ Debra Beight, Sep 2016
22,Lund_02833,Building,Palace,Estate,Landmark,Mansion,Stately home,Classical architecture,Official residence,,,Lundagérd,q Aleksandra Zhely, Jun 2015
23,Lund_02378,Swimming pool,Leisure,Leisure centre,Water,,,,,,,Killbybadet b,M Maria Ponsler, Jul 2018
24,Lund_00332,Estate,Building,Palace,Property,Mansion,Stately home,Official residence,,,,Lundagérd,“’ Adrian Popescu, Sep 2016
25,Lund_02863,Building,Town,Neighbourhood,Landmark,Architecture,Property,House,Urban area,City,,Lund Cathedral,Benjamin Chen, Sep 2017
26,Lund_00141,Sky,Landmark,Building,Architecture,Estate,Mansion,Palace,Stately home,,,[T 8,a Diana Picus, May 2017
27,Lund_01491,Building,Architecture,Estate,,,,,,,,Lundagérd,% LEVL GRGET ), Oct 2017
28,Lund_01471,Estate,Building,Mansion,Palace,Property,Stately home,Château,Official residence,Landmark,Manor house,Lundagérd,umberto mazzoc, Aug 2014
29,Lund_01322,Town square,Building,Town,Human settlement,Public space,City,,,,,Stortorget Restaurar,maciejadams, Mar 2017
30,Lund_03194,Building,Property,Estate,Mansion,Palace,Architecture,Stately home,,,,Lundagérd,Pattara Kiatisevi, Sep 2018
31,Lund_00030,Property,Building,Mansion,Estate,Stately home,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
32,Lund_01956,Landmark,Architecture,Building,Town,City,,,,,,Lund Cathedral,Per-Inge Strém, Jul 2017
33,Lund_00593,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,,,,Lundagérd,@ Anna Banszelové, May 2017
34,Lund_02409,Sky,Tree,Grass,Spring,Cloud,,,,,,Botanical Garden,ag‘:ggﬁ ), Apr 2018
35,Lund_01362,Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany,Lundagérd,% Mohammad A.M, May 2018
36,Lund_02823,Building,Property,Estate,Mansion,Architecture,Palace,House,Official residence,,,Lundagérd &,‘ Ménica Plaza, Jun 2018
37,Lund_02026,Garden,Botanical garden,Botany,Tree,Grass,,,,,,Stadsparken,v‘\ﬁv;‘; Aktham Yousef, May 2018
38,Lund_03171,Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse,Nobbel6vs mosse,L 1T T, May 2014
39,Lund_00919,Building,Architecture,Property,Town,,,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
40,Lund_00548,Landmark,Architecture,Building,Sky,City,,,,,,Lund Cathedral,"f“""‘ Benjamin Zingse", Aug 2017
41,Lund_02627,Land lot,Tree,Fence,Rural area,,,,,,,Rinnebick Gorge,Florian Weissbac, Aug 2018
42,Lund_01613,Building,Town,Property,Human settlement,Architecture,Neighbourhood,City,,,,University Library,(NN TR o= Tal o], Oct 2016
43,Lund_02167,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,Dillon Cower, Sep 2018
44,Lund_01788,Estate,Building,Palace,Mansion,Classical architecture,Landmark,Architecture,Property,Château,Stately home,Lundagérd c,ahmed adnan, Jan 2016
45,Lund_00874,Building,Landmark,Architecture,Medieval architecture,Property,Church,,,,,Lund Cathedral,(ﬁ TR TS, Sep 2018
46,Lund_01096,Landmark,Building,Architecture,Sky,Steeple,City,Spire,Tower,Town,Human settlement,Lundagérd 9,@ DLCI@L T, Jul 2017
47,Lund_00934,Fountain,Botanical garden,Landmark,Garden,Public space,Botany,,,,,Lundagérd 9,Pavel Jicha,
48,Lund_01478,Landmark,Medieval architecture,Building,Architecture,Steeple,Town,,,,,Lund Cathedral,Gabriele Kreiner, Aug 2017
49,Lund_03186,Landmark,Sky,Architecture,Building,Town,City,Human settlement,,,,Lund Cathedral,C Carl O. Thygesen, Sep 2017
50,Lund_02329,Plant community,Soil,Shrubland,,,,,,,,Rinnebick Gorge 2,Tomas Kulle, Jul 2018
51,Lund_02800,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,Sky,Church,Steeple,Lund,ﬁ’ Viadislav Juricky, Aug 2013
52,Lund_00361,Estate,Building,Mansion,Garden,Palace,Official residence,Stately home,Botany,,,Universitit Lund,ﬁ Michael Neitzel, Jun 2015
53,Lund_02673,Natural environment,Natural landscape,Sky,Land lot,Pasture,Plain,Water,,,,|G AT,L 1T T, Feb 2014
54,Lund_00870,Building,Estate,Property,Mansion,House,Architecture,Landmark,Stately home,Home,,Lundagérd 9,@ Daniel Klein, Aug 2018
55,Lund_01125,Property,House,Landmark,Architecture,Building,Home,Town,Sky,,,,, Jun 2017
56,Lund_01233,Body of water,Natural landscape,Nature,Waterway,Tree,Canal,Water,Bank,River,Vegetation,Stadsparken,Peter Nordensva, May 2017
57,Lund_02931,Sky,Landmark,Estate,Building,Mansion,Château,Atmospheric phenomenon,Morning,House,Palace,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018
58,Lund_03200,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,,,,,Lundagérd,Krystian Czernek, Oct 2017
59,Lund_01648,Architecture,Building,Facade,,,,,,,,Nova .,5‘3.‘..@ Khoo Kay Joe, May 2016
60,Lund_02757,Body of water,Water,Bank,Natural landscape,Water resources,Lake,Vegetation,Reservoir,Natural environment,Pond,Alexanders Golv & K,zg{ Bygg Alexander, Aug 2016
61,Lund_00634,Building,Architecture,Estate,Water,,,,,,,L (LT T,@ Robert Jacobser, Jul 2017
62,Lund_00975,Medieval architecture,Landmark,Architecture,Building,Church,Place of worship,Steeple,Gothic architecture,,,Lund Cathedral,p Christian Kinnun, May 2017
63,Lund_02209,Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness,Janus Wojtaszcz,Janus Wojtaszcz, Oct 2017
64,Lund_01955,Building,Landmark,Palace,Estate,Architecture,Mansion,Official residence,,,,Lundagérd 9,Luisa Cunial, Aug 2018
65,Lund_00496,Building,Landmark,Property,Architecture,Mansion,Estate,House,Palace,Tree,,Lundagérd,ﬂ Jaime Mora Salv, Jun 2018
66,Lund_01785,Property,House,Building,Home,Real estate,Architecture,,,,,Scandic Star Lund,Conny Flink, Jul 2018
67,Lund_00292,Building,Landmark,Property,Architecture,Estate,Palace,Sky,Town,City,Stately home,University Library,(S VYA, Oct 2010
68,Lund_02847,Building,Landmark,Architecture,Medieval architecture,,,,,,,[T L He 1 BT,""" [V EWEEEG)", Jun 2018
69,Lund_01833,Property,Building,Landmark,Architecture,House,Château,Estate,Town,,,Bantorget,A’ Stefanos Karidak, Jun 2017
70,Lund_02797,Landmark,Building,Architecture,Medieval architecture,Sky,Town,Classical architecture,Facade,City,Church,Lundagérd,@ cissio Oliveira, Oct 2017
71,Lund_00554,Building,Property,Architecture,Mansion,Stately home,Estate,,,,,Grand Hotel Lund,M Martin Mc Anesp, Sep 2017
72,Lund_00288,Building,Property,Estate,Architecture,Stately home,Château,,,,,Akademiska Forenin,@ Jun Luo, Jun 2017
73,Lund_00298,Estate,Palace,Building,Mansion,Property,Official residence,Stately home,Château,Architecture,,g’ Vladislav Juricky,g’ Vladislav Juricky, Aug 2013
74,Lund_00961,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
75,Lund_00651,Building,Mansion,Palace,Estate,Landmark,Classical architecture,Architecture,Official residence,Stately home,,6 LT YN,ORI ),
76,Lund_01396,Building,Property,House,Architecture,Real estate,Home,Estate,Mansion,,,Kulturskolan Lund,f@: Mister No,
77,Lund_00040,Building,Classical architecture,Landmark,Palace,Estate,Architecture,Property,Mansion,Stately home,Château,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
78,Lund_01498,Building,Architecture,Landmark,,,,,,,,Lundagérd |,RS R, Sep 2017
79,Lund_02497,Natural landscape,Geological phenomenon,,,,,,,,,Rinnebick Gorge,{5@ (V=G, Jan 2018
80,Lund_01640,Tree,Architecture,Building,,,,,,,,[T L He 1 BT,. EECIen, Sep 2017
81,Lund_02145,Natural landscape,Nature,Vegetation,Nature reserve,Tree,Natural environment,Bank,Waterway,Canal,Wilderness,Botanical Garden,Dennis Svartek, Aug 2017
82,Lund_02341,Sky,Residential area,Property,Cloud,House,Home,Building,Architecture,,,Klostergérdens IP,M  Minghua Zhang, Jul 2017
83,Lund_00703,Body of water,Reflection,Water,Waterway,Natural landscape,Canal,Pond,Bank,River,Sky,Botanical Garden,ﬁ Sumeet Ranjan S, May 2017
84,Lund_02396,Transport,Yellow,Building,,,,,,,,Netto 3,o Travel to, Jun 2017
85,Lund_01763,Landmark,Architecture,Building,Sky,,,,,,,Lund Cathedral,Minh Do-Quang, Mar 2016
86,Lund_02834,Landmark,Statue,Building,Estate,Architecture,Monument,Mansion,,,,Lund Cathedral :,Hauke Salmen, Apr 2017
87,Lund_02086,Garden,Flower,,,,,,,,,Lundagérd 9,Pavel Jicha, May 2015
88,Lund_02794,Sky,Natural landscape,Morning,Grass,Green,Tree,Atmospheric phenomenon,Daytime,Lawn,Leaf,q) houzan suliman,LGRSl b),
89,Lund_02447,Transport,Public space,,,,,,,,,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
90,Lund_00447,Landmark,Architecture,Sky,Building,Place of worship,Church,Cathedral,Steeple,Medieval architecture,,Lund Cathedral,§f' Niels Peter Thorr, Jun 2017
91,Lund_03043,Animal sports,Sports,,,,,,,,,Restaurant Thuleher,D) Daniel Pereyra, Jun 2017
92,Lund_01826,White,Black,Mansion,Building,Black-and-white,Estate,Landmark,House,Property,Monochrome,Lundagérd,B Benjamin Kiintze, Aug 2018
93,Lund_01203,Classical architecture,Building,Architecture,Landmark,Facade,Palace,,,,,Lundagérd 9,@ DLCI@L T, Jul 2017
94,Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
95,Lund_00466,Building,Landmark,Palace,Architecture,Château,Facade,Estate,,,,Lundagérd,G  Giliana Gallegra, Aug 2018
96,Lund_01914,Property,House,Building,Landmark,Architecture,,,,,,Stadsparken,RV O A, Mar 2018
97,Lund_01718,Vehicle,Car,,,,,,,,,Lund Cathedral,Anthony Amina,
98,Lund_01466,Landmark,Architecture,Medieval architecture,Building,Gothic architecture,Sky,Cathedral,Place of worship,Church,Spire,Lundagérd 8,David Ekberg, Sep 2018
99,Lund_00697,Classical architecture,Building,Landmark,Architecture,,,,,,,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
100,Lund_01263,Landmark,Building,Architecture,Town,Sky,Tower,,,,,Lund Cathedral c,Martin Dérner, Aug 2017
101,Lund_01220,Building,Property,Estate,Architecture,Stately home,Palace,Human settlement,City,Campus,,Lundagérd,@ Juca Felix Galino, Jul 2016
102,Lund_01502,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,,,Lundagérd 8,@ Martin Giles, Mar 2014
103,Lund_01647,Building,Landmark,Mansion,Estate,Architecture,Palace,Stately home,,,,Lundagérd 9,\g Piyush Goyal, Sep 2018
104,Lund_00860,Town,Town square,City,Human settlement,Public space,Plaza,Building,Street,,,Lundagérd,'v Rafael Schwartz, May 2018
105,Lund_01901,Sky,Transport,Building,Vehicle,,,,,,,Valentin Kuhn,Valentin Kuhn, Mar 2017
106,Lund_01132,Landmark,Building,Estate,Sky,Architecture,Castle,Château,Palace,,,Lundagérd,& Magnus Nilsson, Mar 2017
107,Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,,,Lundagérd 9,Vanja Matic, May 2017
108,Lund_00955,Building,Architecture,Palace,,,,,,,,Lundagérd,\'D Ireneusz Sakowi, May 2017
109,Lund_00127,Water,,,,,,,,,,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
110,Lund_01492,Landmark,Building,Architecture,Medieval architecture,Cathedral,Place of worship,Classical architecture,Church,Facade,,Lund Cathedral,RICUCEIEE, Aug 2016
111,Lund_00799,Building,Landmark,Architecture,Medieval architecture,Facade,,,,,,Lund Cathedral,"""R ET TS T", Sep 2016
112,Lund_01469,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018
113,Lund_00966,Building,Landmark,Architecture,Classical architecture,Estate,House,,,,,Lundagérd 9,@ Daniel Klein, Aug 2018
114,Lund_00013,Building,Landmark,Architecture,Facade,Town,,,,,,Lund - Nov 2017,M) Manos Orfanos,
115,Lund_00132,Tree,Yellow,Leaf,Lane,Grass,Road surface,Road,Spring,,,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
116,Lund_00278,Building,Estate,Property,Mansion,Château,Palace,Stately home,Architecture,,,Grand Hotel Lund,6 IR DL,
117,Lund_02066,Sky,Sport venue,Natural landscape,Grass,Green,Land lot,Grassland,Property,Natural environment,Tree,Lund Oval 3,Abin Thomas, Aug 2016
118,Lund_01874,Property,Estate,Building,House,Home,,,,,,Kulturen,CamodJan, Aug 2016
119,Lund_00218,Night,Light,Lighting,Architecture,Building,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
120,Lund_00079,Building,Landmark,Architecture,Estate,,,,,,,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
121,Lund_01227,Architecture,Landmark,Medieval architecture,Building,Place of worship,Cathedral,Classical architecture,Gothic architecture,Sky,Facade,[T T o1 T 1T,A Abdo Fadl, Jul 2017
122,Lund_02379,Transport,Lane,Road,Asphalt,Town,Street,Vehicle,,,,Klostergérdens IP,M) Matthew H. Motz, Apr 2018
123,Lund_02051,Building,Wall,Architecture,Medieval architecture,Town,Sky,Church,,,,Lund Cathedral,"""b Meartin Bollhalde",
124,Lund_02079,Town,Building,Architecture,,,,,,,,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
125,Lund_02678,Vegetation,Grass,Natural environment,Natural landscape,Nature reserve,Property,Tree,Garden,Biome,Botany,L TG 8,g Mats Lund, Jul 2016
126,Lund_00967,Property,Garden,Lawn,Estate,Natural landscape,Grass,Tree,Landscaping,House,Botanical garden,Botanical Garden,"':,(”; Bin Ma", Aug 2017
127,Lund_00232,Lighting,Night,Building,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
128,Lund_01244,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd,Centar Prevencij:, Oct 2016
129,Lund_01029,Sky,Garden,Tree,Natural landscape,Estate,Leaf,Lawn,Botanical garden,Botany,Grass,Stadsparken,5 m Anna Sadowska, Oct 2018
130,Lund_02631,Plain,Grassland,Natural environment,Land lot,Pasture,Field,Grass,Ecoregion,,,Klosteréngshojden,& YRt, May 2017
131,Lund_01340,Property,Garden,House,Estate,Botany,Spring,,,,,Botanical Garden,Olga Bachkala, Aug 2016
132,Lund_00293,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,,Lundagérd 9,= Norbert Derbl, Jul 2018
133,Lund_00005,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,,,Botanical Garden #L,@ Hans Jirgen Klai, Sep 2018
134,Lund_02245,Building,Architecture,,,,,,,,,ICA Supermarket Lin,[ETERTG RG], Sep 2017
135,Lund_00277,Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,,Lundagérd,;&g peter kurnavka, Oct 2017
136,Lund_01576,Property,Estate,Building,Mansion,Architecture,Stately home,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
137,Lund_02591,,,,,,,,,,,MAX IV Laboratory,S;. Bjarne Rosengrel, Jul 2016
138,Lund_01530,Sky,Architecture,Tree,Castle,Building,,,,,,Lundagérd,Zoltén Berndth, Sep 2017
139,Lund_00077,Medieval architecture,Landmark,Building,Architecture,Historic site,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
140,Lund_02052,Town,Urban area,Neighbourhood,Building,City,Human settlement,Architecture,,,,StadshallLund ¢,Elsa Storlind,
141,Lund_02184,Water resources,Body of water,Natural landscape,Nature,Water,Watercourse,Nature reserve,Vegetation,Stream,Riparian zone,Rinnebick Gorge 2,Jef Kong, May 2017
142,Lund_02149,Property,Building,House,Real estate,Architecture,Neighbourhood,Residential area,Apartment,,,OLYMPUS DIGITAL C,Anna Lagerkvist, Aug 2003
143,Lund_01192,Water,Landmark,Waterway,Reflection,Reflecting pool,,,,,,Lundagérd,S GEERS Wy, Aug 2018
144,Lund_01177,Garden,Botanical garden,Botany,Tree,,,,,,,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
145,Lund_02680,Residential area,Property,Sky,Architecture,Urban area,Building,Roof,Home,,,Lund Nordanvig,/ isam altaliqani, Apr 2018
146,Lund_03190,Landmark,Architecture,Building,Church,Medieval architecture,Sky,Steeple,Town,Place of worship,,Lundagérd ¢,Janek Friesen, May 2016
147,Lund_00295,Landmark,Building,Architecture,,,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
148,Lund_01737,Medieval architecture,Landmark,Architecture,Place of worship,Building,Cathedral,Gothic architecture,Spire,Steeple,Church,Lund Cathedral 3,Filip Tvetberg, Sep 2016
149,Lund_00436,Landmark,Architecture,Building,Tree,Estate,Sky,,,,,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
150,Lund_01599,Classical architecture,Building,Architecture,Landmark,Palace,Facade,,,,,Lundagérd 9,*9 Bogdan Tatar, Aug 2018
151,Lund_02789,Architecture,Sky,Race track,Sport venue,,,,,,,Rabysjon och Raby s,"r,& Tihomir Vukovic", Mar 2018
152,Lund_02445,Building,Architecture,Property,Neighbourhood,Residential area,House,Apartment,Human settlement,Urban area,,Asylen,ﬁ BN PN R, Aug 2017
153,Lund_03153,Natural landscape,Natural environment,Grassland,,,,,,,,Stadsodlingen pa Br,Sanja Blomberg, Jun 2017
154,Lund_01563,Nature,Water,Botanical garden,Fountain,Garden,Reflecting pool,Natural landscape,Landmark,Botany,Tree,Fountain,Q Jonas Kirkegaart,
155,Lund_01279,Estate,Building,Property,Landmark,Architecture,,,,,,Lundagérd {,Bogdan Kostiv, Feb 2018
156,Lund_01539,Landmark,Building,Architecture,Medieval architecture,Sky,Facade,,,,,Lund Cathedral,; P RS E, Aug 2017
157,Lund_00347,Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,,[T 8,. DIl, May 2016
158,Lund_02850,Landmark,Architecture,Building,Water,,,,,,,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
159,Lund_01533,Landmark,Building,Medieval architecture,Architecture,Classical architecture,Place of worship,Cathedral,Gothic architecture,Tower,Facade,LT T o1 T T T,Furkan Yayla, Jul 2017
160,Lund_00369,Building,Architecture,Landmark,Property,,,,,,,Lundagérd,C Carmelo Pellegri, Aug 2017
161,Lund_01403,Landmark,Architecture,Building,Medieval architecture,Tower,Church,Sky,Place of worship,,,Lund Cathedral,Mark Stevenson, Dec 2015
162,Lund_02021,Building,Campus,College,Property,Estate,Public space,Town,Human settlement,,,Lundagérd,Salvatore De Pao, Aug 2017
163,Lund_00418,Building,Architecture,Landmark,Property,Stately home,Medieval architecture,Town,,,,Lund 2016 .4.29 :,& saad al saifi, Apr 2016
164,Lund_01306,Grass,Public space,Natural landscape,Walkway,Daytime,Tree,Road,Lawn,Land lot,Park,LRI EL Y T,5‘3.‘..@ LU G, May 2016
165,Lund_03151,Roof,,,,,,,,,,Killbybadet,Aleksander Szyci, Sep 2018
166,Lund_01258,Garden,Estate,Sky,Grass,Building,House,Botany,,,,Lundagérd,[T (T ), Jul 2017
167,Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant,Lund 9,@ David Bjarup, Oct 2016
168,Lund_03164,Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree,Rinnebiéck Gorge,% Daniel Nilsson, Jun 2018
169,Lund_00460,Tree,Sky,Grass,Public space,Architecture,Botany,,,,,[T L He 1 BT,% William Térneber, May 2018
170,Lund_02074,Sky,Architecture,Landmark,Building,Photography,Fisheye lens,,,,,[T T e T T T,Mark Vartok, Oct 2015
171,Lund_01212,Building,Public space,Property,City,Tree,Architecture,Human settlement,Town,Campus,Neighbourhood,Lundagérd,‘i\; MONICA MARIN(, Aug 2017
172,Lund_00910,Building,Architecture,Property,Landmark,Town,Human settlement,Facade,City,House,,[T T VT,é Sergey Mishenév,
173,Lund_01290,Garden,Botanical garden,Shrub,Lawn,Tree,Natural landscape,Flower,Plant,Spring,Botany,Botanical Garden,Krisztina Boldisn, Aug 2016
174,Lund_02902,Floor,,,,,,,,,,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
175,Lund_00809,Building,Estate,Palace,Mansion,Property,Landmark,Architecture,,,,Lundagérd ¢,J) Janek Friesen,
176,Lund_03039,Property,Road,Road trip,,,,,,,,"Lund, Skane County",". Google, Inc.",
177,Lund_01055,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Place of worship,Historic site,Church,Facade,Sky,Lund Cathedral,M Michael Bippes, Jul 2017
178,Lund_00990,Medieval architecture,Building,Landmark,Town,Church,Architecture,Wall,,,,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
179,Lund_01349,Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,,Botanical Garden,} Pl, May 2018
180,Lund_02203,Transport,Building,,,,,,,,,@ Steven Vancoillie,@ Steven Vancoillie, Sep 2016
181,Lund_02314,Architecture,Land lot,,,,,,,,,MAX IV Laboratory,@ BT PR, Jun 2016
182,Lund_00547,Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture,Lundagérd,'v Rafael Schwartz, May 2018
183,Lund_00672,Landmark,Building,Architecture,Classical architecture,Palace,Mansion,Sky,Estate,,,Lundagérd,& Bea Kovacsovics, Mar 2018
184,Lund_02832,Aerial photography,Residential area,Suburb,Bird's-eye view,Metropolitan area,Urban area,Neighbourhood,Urban design,City,Human settlement,Lundagérd 8,@ Daniel Klein, Aug 2018
185,Lund_02835,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd,Aleksandras Ples, Aug 2013
186,Lund_02630,First-class cricket,Goal,Grass,Soccer,Sky,Sport venue,Team sport,Player,Sports equipment,,Klostergérdens IP,Florian Weissbac, Sep 2018
187,Lund_02023,Architecture,Medieval architecture,Landmark,Building,Place of worship,Cathedral,Classical architecture,Gothic architecture,Facade,Church,Q Fabien Desserp,Q Fabien Desserp,Photo
188,Lund_02431,Freshwater marsh,Natural environment,Natural landscape,Wetland,Marsh,Nature reserve,Fen,Tidal marsh,Salt marsh,Bog,Nobbel6vs mosse,i\ 1T T, Jul 2014
189,Lund_00428,Estate,Property,Building,Architecture,Stately home,,,,,,University Library,A  Alejandro Carrillc, Aug 2016
190,Lund_02185,Natural landscape,Nature,Reflection,Water,Sky,Tree,Natural environment,Bank,Cloud,River,L TR TR,RELEESLL TS (], Jul 2016
191,Lund_01569,Building,,,,,,,,,,L RN LT,    , Apr 2017
192,Lund_03199,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Church,Steeple,Place of worship,,,[T L He 1 BT,qﬁi Maxime LMA, Aug 2018
193,Lund_01137,Town,Public space,Town square,City,Human settlement,Plaza,Sky,Building,,,Stortorget Restaurar,ﬂ Dara Banna, Jul 2018
194,Lund_01165,Body of water,Natural landscape,Nature,Bank,River,Water,Water resources,Reflection,Watercourse,Natural environment,Stadsparken,g * Alexander Engstr, Jun 2017
195,Lund_02229,Body of water,Natural landscape,Freshwater marsh,Natural environment,Water resources,Nature,Nature reserve,Vegetation,Water,Marsh,|G AT,L Bengt Jiirs, Jul 2014
196,Lund_00042,Walkway,Botanical garden,Natural landscape,Garden,Tree,Botany,Public space,,,,@ Mohammad Wat,@ Mohammad Wat, Oct 2017
197,Lund_01140,Building,Landmark,Architecture,Property,Classical architecture,House,Mansion,,,,Lundagérd 9,Vbntr Vbntr, Jul 2018
198,Lund_01951,Building,Tower block,Metropolitan area,Condominium,Architecture,Human settlement,City,Commercial building,Mixed-use,Residential area,Elite Hotel Ideon,Alexander Beliak, Jul 2017
199,Lund_01777,Architecture,Building,Sky,Commercial building,,,,,,,Sigma Connectivity /,Birgit Pia Nghr, Aug 2016
200,Lund_01681,Water,,,,,,,,,,Lundagérd,) ravio ERachici, May 2018
201,Lund_00376,Building,Classical architecture,Palace,Landmark,Mansion,Architecture,Official residence,Estate,Presidential palace,Château,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017
202,Lund_01049,Landmark,Architecture,Building,Medieval architecture,Place of worship,Church,Sky,Tower,Classical architecture,,[T T o1 T T T,[T T o1 T T T, Jul 2014
203,Lund_02561,Natural landscape,Vegetation,Natural environment,Nature reserve,Prairie,Grass,Plant,Grass family,Plant community,Sky,L TR TR,vg Aymeric Rivollier, Jul 2018
