,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
0,Lund_00747,Landmark,Building,Architecture,Medieval architecture,Place of worship,Church,Sky,Cathedral,Facade,,[T L He 1 BT,6 Markus Krysande, Jul 2018
1,Lund_00983,Landmark,Building,Architecture,Steeple,Church,Town,Cathedral,City,Sky,Place of worship,Lundagérd 9,@ Daniel Klein, Aug 2018
2,Lund_02369,Sky,Transport,,,,,,,,,MAX IV Laboratory,MAX IV Laboratory, Jun 2015
3,Lund_00768,Building,Mansion,Estate,Landmark,Property,Architecture,Palace,House,Stately home,Château,Lundagérd 9,T ) Tom Zeitlos, Jun 2016
4,Lund_00074,Landmark,Architecture,Building,Tree,Church,Tower,,,,,[T J,. Nenad Fatic, Jul 2017
5,Lund_02517,Greenhouse,Building,Houseplant,Botany,,,,,,,0spAB Plant Departr,D Day Time, Sep 2018
6,Lund_02220,Architecture,Building,Commercial building,Property,Facade,Headquarters,Corporate headquarters,,,,MAX IV Laboratory,‘ John Eckerdal, Sep 2018
7,Lund_03093,Sky,Morning,Grass,,,,,,,,|G AT,L Bengt Jiirs, Feb 2014
8,Lund_01775,Property,House,Building,Estate,Architecture,Home,,,,,Kulturen,@ DLCI@L T, Jul 2017
9,Lund_01680,Estate,Property,Building,Palace,Mansion,House,,,,,[TV T,Helen Lindholm, Aug 2014
10,Lund_00539,Building,Estate,Property,Mansion,Architecture,Stately home,House,Palace,,,Lundagérd ¢,S ) Sookyong Lee, May 2017
11,Lund_02159,Building,Landmark,Architecture,Town,City,Human settlement,,,,,Lundagérd 9,éb e, Aug 2014
12,Lund_02450,Property,House,Building,Chapel,Roof,Cottage,,,,,\E e L ET T T T,6 IR DL, Dec 2016
13,Lund_01636,Landmark,Building,Architecture,Palace,,,,,,,Lundagérd,Vincent Séguin, Jan 2015
14,Lund_01391,Property,Building,House,Home,Town,Architecture,,,,,Lundagérd 9,@ Daniel Klein, Aug 2018
15,Lund_01997,Race track,Road,,,,,,,,,Park Inn by Radissor,Leo Overby,
16,Lund_00527,Building,Mixed-use,Urban area,Human settlement,City,Residential area,Town,,,,Vegalyckan,J | Jakob Navrozidis, Jun 2017
17,Lund_00094,Spire,Landmark,Architecture,Building,Steeple,Church,Place of worship,Medieval architecture,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
18,Lund_01938,Landmark,Steeple,Architecture,Building,Spire,Tower,,,,,Lund Cathedral,Leif Bengtsson, May 2016
