a,b
1949,1
1957,1
1962,2
1964,1
1965,1
1970,1
1971,1
1972,2
1973,1
1974,1
1975,4
1976,1
1978,4
1979,6
1980,3
1981,2
1982,4
1983,1
1984,6
1985,6
1986,5
1987,3
1988,6
1989,6
1990,4
1991,6
1992,6
1993,5
1994,6
1995,9
1996,3
1997,9
1998,7
1999,14
2000,24
2001,16
2002,16
2003,23
2004,23
2005,26
2006,35
2007,35
2008,36
2009,34
2010,54
2011,69
2012,50
2013,73
2014,45
2015,57
2016,72
2017,69
2018,72
2019,29
