a,b
1953,1
1963,1
1966,1
1967,2
1968,1
1970,4
1972,1
1973,3
1974,4
1975,2
1976,3
1977,5
1978,7
1979,7
1980,9
1981,4
1982,4
1983,8
1984,9
1985,10
1986,5
1987,10
1988,12
1989,10
1990,7
1991,15
1992,16
1993,10
1994,17
1995,26
1996,28
1997,32
1998,34
1999,37
2000,58
2001,48
2002,55
2003,73
2004,78
2005,83
2006,96
2007,146
2008,89
2009,123
2010,156
2011,193
2012,240
2013,282
2014,249
2015,283
2016,330
2017,369
2018,367
2019,200
