topic,Freq,cluster,topics,x,y
1,40.36447346243849,1,1,-0.1628962079471354,0.04103703725439806
8,12.231659309908153,1,2,0.1516207449675533,0.06865985936163217
3,11.149886580916982,1,3,0.03614438208436089,-0.14940451025152462
0,10.496902343664546,1,4,-0.013319839027891696,0.023848808346168256
6,8.296310571468835,1,5,0.03207571697655442,0.05853591555569765
2,4.069820221780337,1,6,0.03154836864435304,-0.009196841154002804
4,3.708892746530542,1,7,-0.025369763733550856,0.03556086807000437
7,3.38290737918266,1,8,-0.042409477400706136,-0.025138918117912926
9,3.31143771325703,1,9,-0.006649914753846614,-0.03526256459607021
5,2.9877096708524413,1,10,-0.000744009809690871,-0.00863965446838972
