topic,Freq,cluster,topics,x,y
5,51.32148990378257,1,1,0.1850481852724058,0.005651952414786963
0,10.212557187346572,1,2,-0.00023460811845239766,-0.07621485997555123
9,9.224821940083151,1,3,-0.09608315314991624,0.1445361156607562
4,9.172588013002425,1,4,-0.11134432863324292,-0.12721553141712963
8,7.144851625827017,1,5,0.0637250123392636,-0.007513440171510325
3,5.995795809794179,1,6,0.041812055937408076,0.024082393733292233
1,3.6544396404128836,1,7,-0.02912249493745085,0.0031277067312350405
7,2.5507396264012816,1,8,-0.043472097302023824,0.04189667912077134
6,0.3613581266749548,1,9,-0.008478839139375001,-0.004198046890966854
2,0.3613581266749548,1,10,-0.0018497322686162566,-0.004152969205683531
