topic,Freq,cluster,topics,x,y
0,24.426496693554707,1,1,0.10107248936900996,0.08714611007746993
8,17.634642575855093,1,2,0.06822748626816003,0.019045049853127785
3,17.35309968667075,1,3,0.08021745984206384,-0.039734267098290935
7,16.760597743925317,1,4,-0.10245403426248502,0.06500474956777065
1,9.65722622556469,1,5,-0.14256654437941027,-0.0016362871728562004
9,7.8189970146846175,1,6,0.025187574778141302,-0.10653535816649097
6,4.141802828960627,1,7,0.012936948993796151,0.04761737517988894
2,1.9613903633792156,1,8,-0.02602527093807143,-0.05561204253006565
5,0.12287343370248993,1,9,-0.008112735117961789,-0.008363636425973896
4,0.12287343370248993,1,10,-0.0084833745532429,-0.006931693284579483
