[Swedish],2,178,33,3,"March 5, 2016 ",Bra mat till ok priser.,,Både pizzorna och gyros rullarna är goda. Ett jätte plus är att de använder gyros kött (fläskkarre) istället för den...More
[Swedish],2,3,,4,"May 27, 2014 ",Lokala pizzerian!,,"Liten trevlig pizzeria med härlig personal. Maten är god, smakar som en pizza ska. Går snabbt och lätt att få...More"
